"","nomes","cargo_funcao","fala"
"1","




  @import ""https://www.senado.leg.br/atividade/css/impressao.css"";

	
		08/06/2021 - 16ª - CPI da Pandemia
	
	
		
			
				     Horário   Texto com revisão           ","




  @import ""https://www.senado.leg.br/atividade/css/impressao.css"";

	
		08/06/2021 - 16ª - CPI da Pandemia
	
	
		
			
				     Horário   Texto com revisão            ","




  @import ""https://www.senado.leg.br/atividade/css/impressao.css"";

	
		08/06/2021 - 16ª - CPI da Pandemia
	
	
		
			
				     Horário   Texto com revisão            "
"2","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","Havendo número regimental, declaro aberta a 16ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da Covid-19, bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se à apreciação de requerimentos e ao depoimento do Ministro da Saúde, Marcelo Queiroga. Nós iríamos votar requerimentos hoje; mais tarde nós debateremos com os Senadores se serão amanhã ou na quinta-feira os requerimentos que iremos votar. "
"3","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Presidente... "
"4","PRESIDENTE","(Omar Aziz. PSD - AM)","Pois não. "
"5","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Questão de ordem. "
"6","PRESIDENTE","(Omar Aziz. PSD - AM)","Pois não. "
"7","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS. Pela ordem.)","Nós temos o debate na sexta-feira... "
"8","PRESIDENTE","(Omar Aziz. PSD - AM)","Sim. "
"9","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","... com a Dra. Natalia e acho que com o Maierovitch. Eu tinha já um pedido de dois médicos, o Dr. Francisco Cardoso e também o Dr. Zimmermann, para que pudessem estar presentes nesse debate. Então, eu estou fazendo a colocação para nós colocarmos na pauta para que eles possam ser convidados. "
"10","PRESIDENTE","(Omar Aziz. PSD - AM)","Eu responderei a sua questão de ordem daqui a pouco, Senador Luis Carlos Heinze. Fique tranquilo. "
"11","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE)","Pela ordem. "
"12","PRESIDENTE","(Omar Aziz. PSD - AM)","Senador Izalci Lucas. "
"13","IZALCI LUCAS","(Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF. Pela ordem.)","Sr. Presidente, eu só queria pedir a V. Exa. e aos colegas para que a gente colocasse na pauta o Requerimento 114, de autoria do Senador Eduardo Girão, que é a convocação do Secretário daqui do Distrito Federal, Francisco – é o nº 114, Francisco de Araújo Filho. Eu acho que tem todo o apoio aqui da bancada nossa aqui do DF. "
"14","PRESIDENTE","(Omar Aziz. PSD - AM)","O.k. "
"15","IZALCI LUCAS","(Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF)","Está bom? "
"16","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE)","Pela ordem... "
"17","PRESIDENTE","(Omar Aziz. PSD - AM)","Peço à Secretaria da Mesa que atenda o requerimento do Senador Eduardo Girão. Senador Eduardo Girão, com a palavra, por favor. "
"18","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Pela ordem.)","Muito bom dia, Presidente Omar Aziz, colegas Senadores. Desejo uma semana de muita paz, harmonia a todos nós aqui, neste início de trabalho. Eu queria apoiar, Presidente, os dois pedidos dos colegas aqui de hoje: um do Senador Izalci, sobre a questão do Secretário de Saúde daqui do Distrito Federal; e outro com relação aos cientistas que já foram convocados pela CPI, inclusive, compraram passagens. É uma questão até de respeito e democracia, para que a gente possa ouvir os dois lados, e não ficar apenas com um lado.         Então, eu reitero este apelo ao senhor: já que a gente quer ouvir a verdade, quer entender exatamente o contraditório dessa questão do tratamento precoce, que a gente possa ouvir cientistas. E eu, sem qualquer temor, Presidente Omar Aziz, de me tornar repetitivo, ressaltando a minha posição independente, mas observando os requerimentos a serem votados na semana, constato que, na sua enorme maioria, os que estão na pauta têm, mais uma vez, o único objetivo que é de investigar ações e omissões do Governo Federal no âmbito da pandemia – concordo. Portanto, vislumbra-se que pouca atenção ou quase nenhuma atenção tem sido dada ao meu requerimento, que foi assinado por 45 Senadores e tem como objetivo investigar os possíveis desvios de verbas federais repassadas aos Estados e Municípios. Não é possível que, quase um mês e meio de CPI instalada, ou seja, quase a metade do primeiro período regulamentar dos 90 dias, apenas tenha sido marcada a vinda de um depoente, no caso, o Governador do Amazonas, para tratarmos da malversação de verbas públicas, sobre corrupção. Nenhum outro requerimento foi votado ou pautado nesse sentido. Eu acredito que as pessoas estão clamando nas ruas, cada vez mais, para que a gente tenha um olhar – como teve a CPI do Mensalão, a CPI do Petrolão – para a corrupção, que seja algo pautado neste nosso trabalho. Então, eu solicito ao senhor que também inclua para votar, seja amanhã ou na próxima quinta-feira, o Requerimento nº 95, de 2021, que requer a convocação do Sr. Paulo Maiurino, Diretor-Geral da Polícia Federal, para nos esclarecer sobre as mais de 70 operações realizadas em Estados e Municípios; o Requerimento 102, de 2021, que requer a convocação do Sr. Carlos Eduardo Gabas, ex-Secretário Executivo do Consórcio Nordeste, para esclarecer os desmandos na compra de 300 respiradores por quase R$49 milhões pagos antecipadamente, e nunca entregues, nas mãos de uma empresa que comercializa produtos à base da maconha; e, por último, Sr. Presidente, o Requerimento 699, de 2021, que requer a convocação de Wagner Rosário, Ministro da Controladoria-Geral da União, para nos ajudar a compreender as mais de 53 operações realizadas pela CGU, em parceria com a Polícia Federal, TCU e Ministério Público Federal, que apuram um desvio de verbas estimado em mais de R$164 milhões. Presidente, para encerrar, também os Prefeitos e ex-Prefeitos que estavam na pauta da semana retrasada – inclusive, foi divulgado na imprensa –, a gente gostaria de pautar isso. Eu lhe faço esse apelo para que paute novamente, para que a gente possa buscar a verdade sobre o caso da corrupção no Brasil, que é um valor que o povo brasileiro abomina hoje em dia. Muito obrigado. "
"19","PRESIDENTE","(Omar Aziz. PSD - AM)","Os Governadores... "
"20","REGUFFE","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - DF)","Pela ordem. "
"21","PRESIDENTE","(Omar Aziz. PSD - AM)","Só um minutinho. Pela ordem. Depois eu respondo a V. Exa., já, já.         "
"22","REGUFFE","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - DF. Pela ordem.)","Muito obrigado, Sr. Presidente. Apenas também solicitar a V. Exa. que seja apreciado o Requerimento 114, de convocação do ex-Secretário de Saúde do Distrito Federal, que inclusive foi preso. Houve um desvio de verbas públicas grave aqui no Distrito Federal e é importante que esta CPI também se debruce sobre isso. É importante que a CPI continue cumprindo um papel no campo nacional, a população quer vacina. É muito importante que nós consigamos acelerar esse processo de vacinação e investigar também o porquê da demora na vacinação, porque nós estamos muito atrasados em relação a vários países do mundo. O Brasil não está sequer entre os 50 em termos proporcionais. E vacina é o que salva vida. Agora, é importante também... E eu fiz questão de assinar os dois requerimentos de CPI: tanto o da União, como também o dos Estados e do Distrito Federal. Houve um desvio sério de recursos públicos aqui. Qualquer desvio de dinheiro público é algo grave; na saúde, mais grave ainda; numa pandemia, uma crueldade. Então, isso precisa ser apurado sem prejulgamentos, mas precisa ter uma apuração firme e profunda um desvio que houve aqui na Capital da República. Então, eu queria solicitar a V. Exa. que colocasse para votação o Requerimento 114, de convocação do ex-Secretário de Saúde do Distrito Federal. "
"23","PRESIDENTE","(Omar Aziz. PSD - AM)","Já foi pedido pelo Senador Izalci e o Senador Girão. Eu acho que eu aqui já pedi à Comissão... "
"24","REGUFFE","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - DF)","Eu me somo a eles. "
"25","PRESIDENTE","(Omar Aziz. PSD - AM)","Obrigado, Senador. Senador Eduardo Girão, os Governadores já estão agendados: dia 29, o Governador do Pará, Helder Barbalho; dia 30, Wellington Dias, Governador do Estado do Piauí; dia 1º, Governador Ibaneis Rocha; dia 2, Governador Mauro Carlesse; dia 6, Governador Carlos Moisés; dia 7, Antonio Oliverio Garcia de Almeida, Governador de Roraima; e, dia 8, Waldez Góes, Governador do Estado do Amapá. Conforme nós acordamos e nós votamos esse requerimento, já está marcada aqui a vinda deles. "
"26","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE)","E quanto ao... "
