"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","1","2021-04-27","Otto Alencar","PRESIDENTE","(Otto Alencar. PSD - BA. Fala da Presidência.)","PSD","BA","Fala da Presidência","Invocando a proteção de Deus, declaro aberta a sessão para eleição, já que temos quórum suficiente para a abertura e para a eleição do Presidente da Comissão Parlamentar de Inquérito, por decisão do Presidente Rodrigo Pacheco e com publicação da sua decisão para que pudesse ser feita a investigação, através do requerimento do Senador Randolfe Rodrigues e outros e também do requerimento que foi encaminhado pelo Senador Eduardo Girão, este apensado ao primeiro requerimento, para investigação das dificuldades que foram encontradas no atendimento às pessoas no Estado de Amazonas, em Manaus, por falta de oxigênio, de insumos necessários à preservação da vida dos pacientes; além disso, a fiscalização e apuração dos recursos federais que foram destinados aos Estados e Municípios para o combate à Covid-19. Portanto, está aberta a sessão. Pela ordem, passo a palavra ao Senador Ciro Nogueira. "
"2","1","2021-04-27","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI. Para questão de ordem.)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","Para questão de ordem","Sr. Presidente, Sras. e Srs. Senadores, eu achava que nós deveríamos suspender a atual sessão até que seja sanado um vício que não vejo como ser superado: o nosso Regimento Interno, no Capítulo XIV, art. 145, inciso III, expressa – e não deixa a menor dúvida – que um Senador só pode fazer parte de Comissões Parlamentares de Inquérito sendo em uma Comissão como titular e em outra Comissão como suplente, e nós temos alguns casos aqui de Senadores que fazem parte de mais de uma CPI – perdoe-me por dizer –, inclusive V. Exa., porque o senhor faz parte da CPI da Pandemia, como titular, e da CPI da Chapecoense. Eu não quero criar nenhum problema, mas eu quero que isso seja sanado. Antes, acho que as Lideranças têm que comunicar a saída – acho que o senhor vai querer... Nós temos outros Senadores, como o Senador Jorginho Mello, aqui também, pelo que vi aqui, e acho que pode haver outros Senadores, o Girão também... Então, nós temos que sanar, e eu acho que temos que suspender a CPI até que esse vício insuperável seja sanado.         "
"3","1","2021-04-27","Otto Alencar","PRESIDENTE","(Otto Alencar. PSD - BA)","PSD","BA","","Senador Ciro Nogueira, esta é uma Comissão Parlamentar de Inquérito, V. Exa. sabe que não é temática. Então, é uma Comissão Parlamentar de Inquérito para investigar, de acordo com decisão do Presidente do Senado Federal, Senador Rodrigo Pacheco. Em outras oportunidades, várias CPIs foram aqui instaladas, funcionando, inclusive aquela a que V. Exa. se referiu – V. Exa. se refere à CPI da Chapecoense, da qual eu participo –, e V. Exa. não questionou à época. Portanto, eu indefiro a questão de ordem de V. Exa. "
"4","1","2021-04-27","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","","Sr. Presidente, não é o caso de indeferir ou não. Isso aqui... "
"5","1","2021-04-27","Otto Alencar","PRESIDENTE","(Otto Alencar. PSD - BA)","PSD","BA","","Eu indeferi. Sou Presidente e posso indeferir. "
"6","1","2021-04-27","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","","O senhor está indo contra o Regimento. Não é isso. O senhor faz parte da CPI da Pandemia e da CPI da Chapecoense. "
"7","1","2021-04-27","Otto Alencar","PRESIDENTE","(Otto Alencar. PSD - BA)","PSD","BA","","Por que V. Exa. não questionou à época essa questão de ordem? "
"8","1","2021-04-27","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","","Porque eu estou questionando hoje. "
"9","1","2021-04-27","Otto Alencar","PRESIDENTE","(Otto Alencar. PSD - BA)","PSD","BA","","V. Exa. está querendo dificultar a instalação da Comissão... "
"10","1","2021-04-27","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","","Não estou querendo dificultar... "
