"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","15","2021-06-02","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Havendo número regimental, declaro aberta a 15ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia do Covid-19, bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se ao depoimento da Dra. Luana Araújo, que seria secretária de enfrentamento à Covid no Ministério da Saúde. Tem uma questão de ordem do Senador Izalci. Vou passar a palavra ao Senador Izalci. "
"2","15","2021-06-02","IZALCI LUCAS","(Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF. Pela ordem. Por videoconferência.)","Bloco Parlamentar PODEMOS/PSDB/PSL","PSDB","DF","Pela ordem Por videoconferência","Presidente, é uma questão só com relação a requerimentos. À iminência da não vinda dos Governadores, eu indago a V. Exa. – ainda mais agora, que teve mais uma operação hoje no Amazonas – se a gente não poderia aprovar o requerimento de convocação do Secretário – tem aí o Requerimento 114, do Eduardo Girão – de Saúde do DF, que estava preso e está solto, que está dentro do processo da CPI? Quando é que nós podíamos aprovar esse requerimento?         "
"3","15","2021-06-02","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Senador Izalci, os Governadores estão convocados e começam a depor a partir do dia 29. Inclusive, o primeiro Governador a depor é do meu Estado, o Governador Wilson Lima. Até agora, não tem nenhuma decisão que possa ter mudado. Eu não vou discutir possibilidades de não haver. Se tiver alguma decisão contrária ao que nós já aprovamos aqui, a gente discute. Não dá para colocar a carroça na frente dos bois neste momento. O primeiro Governador a ser ouvido dia 29 é o Governador do Amazonas. E, dia 15, está marcado o Secretário do Estado do Amazonas aqui – já está marcado. Então, até hoje, não tenho nenhum pensamento ao contrário do que seguir aquele cronograma que já foi apresentado de os Governadores virem aqui depor. "
"4","15","2021-06-02","IZALCI LUCAS","(Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF)","Bloco Parlamentar PODEMOS/PSDB/PSL","PSDB","DF","","Tem alguma previsão de votação de requerimentos para votar alguns secretários? Ou não? "
"5","15","2021-06-02","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Deve ter... Hoje tem. Agora, podemos também pautar para terça-feira que vem. É só entrarem os requerimentos que a gente vota aqui na terça-feira que vem, conforme acordo que nós fizemos aqui. Ontem, nós votamos um extra, decorrente de um problema que aconteceu no Estado de Sergipe, na cidade de Aracaju, em que um hospital teve um sinistro e isso acabou tendo vítimas fatais. Então, o Senador Alessandro, ontem, pediu esse requerimento para a gente ter algumas informações. "
"6","15","2021-06-02","IZALCI LUCAS","(Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF)","Bloco Parlamentar PODEMOS/PSDB/PSL","PSDB","DF","","O.k. Eu vou pedir, então, para terça-feira, vou pedir para votar aqui. "
"7","15","2021-06-02","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","O.k. "
"8","15","2021-06-02","IZALCI LUCAS","(Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF)","Bloco Parlamentar PODEMOS/PSDB/PSL","PSDB","DF","","Obrigado, Presidente. "
"9","15","2021-06-02","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Senador... "
"10","15","2021-06-02","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","","Sr. Presidente... "
"11","15","2021-06-02","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","... Marcos do Val. Ele pediu antes, por favor. Senador Marcos do Val, com a palavra. "
"12","15","2021-06-02","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Na sequência, Sr. Presidente. "
"13","15","2021-06-02","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Senador Ciro e depois Senador Marcos Rogério. "
"14","15","2021-06-02","MARCOS DO VAL","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - ES. Pela ordem. Por videoconferência.)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","ES","Pela ordem Por videoconferência","Obrigado, Presidente. Obrigado pela oportunidade. Eu vou tentar ser breve, mas eu preciso fazer aqui um desabafo pelo que eu assisti ontem. Eu fiquei muito sentido: o desrespeito com uma mulher – não foi a primeira –, a forma humilhante com que foi conduzida ontem a CPI, ao ponto de colocar que até a voz dela já insinuava mentira... E uma pessoa com um currículo, uma especialização... Eu até compreendo que hoje – hoje – não tem espaço mais para falar de hidroxicloroquina. Hoje é vacina. Isso já está definido, já está ponto encerrado, mas, como as perguntas estavam para aquela época, todas as vezes em que ela respondia, parecia como se ela estivesse falando e fazendo nos dias atuais. Gerou, esta noite, uma nota de repúdio dos Médicos pela Vida. Na minha família, grande parte é de médicos, e estão todos muito revoltados, estão todos assim... Ela foi linchada virtualmente ontem! Eu queria pedir ao Presidente, que é uma pessoa que está conduzindo com muito equilíbrio, além de ser uma pessoa que eu admiro muito, que a gente possa... Ontem, até o próprio Relator conduziu superbem. Eu fiquei muito triste com a posição e a forma como o Otto fez. Eu fiquei envergonhado. Eu queria ter oportunidade de conversar com o Otto Alencar, quando eu estiver pessoalmente. Eu estou em tratamento aqui no meu Estado e, por isso, eu não pude estar aí, mas, na próxima semana, estarei. Faço questão de conversar com ele, porque a forma como ele está conduzindo está trazendo um desconforto para todo mundo, integrantes da CPI, para os brasileiros, para as pessoas que estão sendo convidadas.         Então, eu peço a todos que nós possamos conduzir isso de forma mais profissional, mais equilibrada, sem atitudes passionais e sem querer humilhar ninguém. Se a gente tem conhecimento, a gente busca compartilhar esse conhecimento, e não usar esse conhecimento de forma a humilhar, constranger. Eu fiquei com muita vergonha; muita vergonha de ser Senador e muita vergonha de estar participando desta CPI. Eu espero que o nosso grande líder, Presidente, de quem eu gosto muito, possa voltar a segurar as rédeas e a gente conduzir essas oitivas com mais equilíbrio. Obrigado, Presidente. "
"15","15","2021-06-02","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Senador Marcos do Val, o Senador Otto é médico e ele questionou a Dra. Yamaguchi tecnicamente. "
"16","15","2021-06-02","MARCOS DO VAL","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - ES)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","ES","","Mas ele não deu tempo a ela de responder. "
"17","15","2021-06-02","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Perguntou qual a diferença entre protozoário e vírus. Mas eu acho que... "
"18","15","2021-06-02","MARCOS DO VAL","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - ES)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","ES","","Mas ele não deu tempo a ela nem de responder. "
