"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","21","2021-06-16","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Bom dia, bom dia a todos. Havendo número regimental, declaro aberta a 21ª Reunião da Comissão Parlamentar de Inquérito, criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da Covid-19, bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais e municipais, no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se à apreciação da reclassificação de documentos e de requerimentos, bem como a ouvirmos o ex-Governador Wilson Witzel, do Rio de Janeiro. Havendo número regimental, coloco em votação as Atas da 19ª e da 20ª Reuniões, solicitando a dispensa de sua leitura. Os Srs. Senadores que as aprovam permaneçam como se encontram.  Aprovada. "
"2","21","2021-06-16","OTTO ALENCAR","(PSD - BA)","(PSD - BA)","PSD","BA","","Sr. Presidente... "
"3","21","2021-06-16","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois não, Senador Otto. "
"4","21","2021-06-16","OTTO ALENCAR","(PSD - BA. Pela ordem.)","(PSD - BA. Pela ordem.)","PSD","BA","Pela ordem","Sr. Presidente, apenas para registar aqui, mais uma vez, uma informação que pode levar o povo brasileiro a não aceitar as vacinas. O Presidente da República ontem em Roraima defendeu, claro, como ele defende sempre, o tratamento precoce e colocou em dúvida a eficácia da vacina CoronaVac, feita pelo Butantan, dizendo e fazendo contraponto com a Pfizer, dizendo que a CoronaVac, não sabia se dava imunidade ou não. É bom que o povo brasileiro tome conhecimento de que isso é uma falácia. Ele não tem conhecimento científico nenhum pra falar isso, ele não fez nenhuma pesquisa. Ele não sabe absolutamente como significa a construção, se fazer uma vacina, o trabalho que dá, os pesquisadores do Butantan... E a população que o segue pode tomar essa decisão de achar que a CoronaVac não imuniza. Sr. Presidente, eu, por exemplo, tomei as duas vacinas da CoronaVac. Estou completamente imunizado, com imunidade celular. Estou aqui por isso até, tenho comorbidade, 73 anos. Estou aqui por causa da CoronaVac, pra mostrar ao Brasil que essa mentira do Presidente da República não pode se sustentar. As agressões ao povo chinês e ao Estado chinês, querendo desqualificar a vacina, isso pode comprometer, inclusive, o encaminhamento de insumos para o Brasil. É uma coisa em que ele não deve permanecer, nessa batida de querer desqualificar aquilo que hoje serve para salvar a vida do povo brasileiro, numa posição meramente política e completamente desqualificada do ponto de vista da seriedade e da honestidade da fala do Presidente da República ontem em Roraima.         É isso que eu queria registrar, para que vocês todos que estão assistindo pela TV Senado, brasileiros, não levem em conta as afirmações do Presidente da República. Ele não tem nenhum conhecimento a respeito do tema, ele não se formou, ele não é médico, ele não é cientista, ele nunca construiu nenhuma vacina. Ele fala aleatoriamente de forma muito até irresponsável, para causar confusão na mente do povo brasileiro. Então, esse é o registro. A vacina CoronaVac tem sua eficiência comprovada pela Anvisa – e está sentado na Anvisa um almirante, colocado pelo Presidente da República – e pelos técnicos da Anvisa, que têm todo o nosso respeito e sincera consideração, Sr. Presidente. "
"5","21","2021-06-16","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Sr. Presidente... "
"6","21","2021-06-16","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois não. Senador Marcos Rogério, pela ordem. "
"7","21","2021-06-16","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO. Pela ordem.)","Bloco Parlamentar Vanguarda","DEM","RO","Pela ordem","Eu queria fazer uma ponderação com V. Exa. Eu sei que está na programação da Comissão hoje deliberar sobre o requerimento que propõe levantar sigilo de documentos encaminhados a esta CPI. Eu até concordo com V. Exa. e também com o Relator que há muitos documentos que são encaminhados à CPI em que não se justifica você ter o sigilo porque nada a se proteger do ponto de vista de sigilo. Ocorre que quem determina o sigilo é justamente a autoridade que manda; ela manda com essa recomendação, com essa cautela do sigilo. E, à luz do Regimento do Senado Federal e também de lei própria, isso configura infração legal, isso configura... Levantar isso configura quebra, inclusive, do próprio decoro. Por exemplo, nós temos documentos em que há problema de natureza legal objetiva. Em documentos encaminhados, por exemplo, pelo Itamaraty, é algo grave fazer o levantamento dessas informações. O art. 104 do Regimento do Senado Federal trata disso, quanto à natureza sigilosa desses documentos, e o parágrafo único desse artigo fala das consequências dessa inobservância. Então, eu queria fazer uma ponderação a V. Exa. no sentido de a gente ter cautela com relação ao levantamento desses sigilos. Talvez fosse o caso... Não diria isso com relação ao Itamaraty, porque, quando envolve relações internacionais, não é possível fazer esse levantamento de sigilo, mas, com relação a outros documentos enviados por autoridades outras, que de repente a Comissão provocasse quem está enviando essas informações no sentido de tomarem providências para levantar esse sigilo a partir da desnecessidade. Agora, de forma unilateral a Comissão levantar esse sigilo... E eu não estou entrando no mérito dos documentos, porque eu concordo que para muitos daqueles que vieram realmente não se justifica ter, mas atribuíram isso. Então, o apelo que faço a V. Exa. é que, antes de praticar esse ato, que é um ato grave e que ofende o nosso Regimento Interno e ofende também a Resolução nº 20, de 1993, que se providenciasse a notificação de quem enviou no sentido de verificar para quais se justifica ter a manutenção do sigilo e para quais não se justifica, para a gente não incorrer aqui em uma medida ilegal, arbitrária. É apenas o apelo que faço a V. Exa., considerando, sobretudo, a gravidade no tocante àqueles documentos oriundos do Itamaraty.         "
"8","21","2021-06-16","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","","Apenas como sugestão, Sr. Presidente... "
"9","21","2021-06-16","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Bloco Parlamentar Senado Independente","REDE","AP","","Presidente, Presidente... "
"10","21","2021-06-16","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Até hoje, Senador... Vou só responder o Senador Rogério Carvalho... Ah, Marcos Rogério, desculpa. Primeiro que até agora não vazou nenhum documento. O que tem são frases que esporadicamente podem sair no meio de comunicação, e aí é impossível a gente controlar isso, porque qualquer Senador... E cada Senador tem assessores aqui que leem esses documentos. Segundo, V. Exa. diz muito bem: tem até documentos que estão no Portal da Transparência que o Governo mandou pra cá como sigilosos. Estão no Portal da Transparência, e ele manda como sigiloso. Uma forma de tentar obstruir a investigação, correto? Porque é muito fácil botar lá o carimbo ""sigiloso""... "
"11","21","2021-06-16","ALESSANDRO VIEIRA","(Bloco Parlamentar Senado Independente/CIDADANIA - SE)","Bloco Parlamentar Senado Independente","CIDADANIA","SE","","Presidente, um pouco de má-fé, né? "
"12","21","2021-06-16","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Não, eu não entraria... Eu digo que mais pra obstruir ou retardar a investigação; nos dá dificuldade pra investigar. Pra vocês terem uma ideia, Srs. Senadores, nós já estamos com um 1,5TB,1,500TB, sei lá... É uma quantidade bastante expressiva. Só um minutinho, Senador Ciro. Em relação ao Ministério das Relações Exteriores, ontem eu recebi um telefonema do Presidente Rodrigo Pacheco, que o Chanceler entrou em contato com ele, e nós vamos ter todos os cuidados, se necessários, até porque queremos manter a CPI não na politização dos fatos, mas, sim, na investigação concreta daquilo que nós nos propomos a fazer, sem politizar. Agora, há de convir... Por isso, essa questão de levantar e reclassificar os documentos, é isso que o senhor está falando. Vamos reclassificar o que a gente entende por sigiloso e o que a gente não entende por sigiloso do que estão mandando aqui com carimbo. Agora, mandar de volta pra eles dizerem o que é sigiloso ou não, aí, isso aí, nós vamos terminar a CPI e não vamos ter essa resposta. Senador Ciro. "
"13","21","2021-06-16","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI. Pela ordem.)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","Pela ordem","Não, Sr. Presidente, eu acho que aí nós temos que sair um pouco da disputa política nesse caso, porque a preocupação do Senador Marcos Rogério é mais do que pertinente. Talvez até... Acho que aqui temos bons juristas. Aqui, o nosso Senador Randolfe, que pode participar de uma triagem dessa. Enfim, acho que não existe menor intenção da CPI de criar constrangimentos pra quem quer que seja, mas existe uma preocupação e até que está bem expressa no nosso Conselho de Ética, não é? Nós não podemos revelar documentos sigilosos que estejam em poder da CPI. Eu acho que tem que haver um cuidado extremo aqui da CPI. Eu não vejo aqui a menor intenção de revelar, através de disputa política, essa situação, mas tem que haver cuidado. Acho que, se houver talvez um pequeno comitê aí, comandado aqui pelo Senador Randolfe, Marcos Rogério, pra dar uma avaliada nisso, o senhor, eu acho que pode chegar a bom termo e nós não cometermos nenhum tipo de crime que esteja expresso e que a própria Comissão possa sofrer alguma sanção e ser levantado isto no futuro – de a nossa Comissão ter cometido algum crime. "
"14","21","2021-06-16","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","O.k. Senador Randolfe. "
"15","21","2021-06-16","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP. Pela ordem.)","Bloco Parlamentar Senado Independente","REDE","AP","Pela ordem","Presidente, é só um rápido comentário. Veja, essa deliberação nós já tomamos, em relação a levantar sigilo. Eu quero só lembrar aos caríssimos colegas Senadores que, há duas semanas, esta Comissão apreciou requerimento de igual sorte do Senador Relator Renan Calheiros e definiu pela desclassificação de sigilo. O que ocorreu, a partir daí, foi um trabalho exaustivo – sou testemunha – da Consultoria desta Casa em conjunto com a Secretaria desta Comissão para ver, dos documentos que estão, quais aqueles que têm a devida classificação de sigilo ou é necessário o afastamento.         Muito bem disse o colega: o que faz a classificação de sigilo é a lei. O que ocorre é que, veja, Sr. Presidente, vieram pra esta Comissão documentos... Entre os documentos que estão aí de afastamento de sigilo tem documento de empresa privada, empresa privada fazendo classificação de sigilo, o que claramente faz ofensa à legislação, não é? Então, esse trabalho de esmiuçar o que pode ser enquadrado e o que não pode ser enquadrado já foi feito pela Comissão. Tanto é que, de quase um terabyte de documento que consta no âmbito da Comissão, em quase mais de dois terços não ocorrerá desclassificação de sigilo porque quase dois terços desses documentos de fato tratam de classificação de sigilo. Exemplos: inquéritos que no âmbito do Ministério Público Federal, dos Ministérios Públicos estaduais, não cabe a nós, nós não temos competência pra fazer o afastamento de sigilo desses documentos. Agora, outros que são simples correspondência, ocorreu uma desclassificação... "
"16","21","2021-06-16","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","","Senador Randolfe, só para contribuir com uma coisa. "
"17","21","2021-06-16","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Bloco Parlamentar Senado Independente","REDE","AP","","Pois não, Senador. "
"18","21","2021-06-16","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI. Pela ordem.)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","Pela ordem","Minha preocupação é de que a própria Comissão coloque em dúvida isso. Ela própria colocou aqui: ""Podem conter informações sigilosas"". Eu quero é esclarecer. Eu não sou contra aqui eu não quero que a população e o País... "
"19","21","2021-06-16","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Até porque é o MRE... "
"20","21","2021-06-16","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","","... tomem conhecimento, mas a própria Comissão está colocando isso em dúvida! "
"21","21","2021-06-16","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Não, não, não. "
"22","21","2021-06-16","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP. Fora do microfone.)","Bloco Parlamentar Senado Independente","REDE","AP","Fora do microfone","É o MRE que manda. "
"23","21","2021-06-16","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Quem mandou assim foi o Ministério das Relações Exteriores. "
"24","21","2021-06-16","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Bloco Parlamentar Senado Independente","REDE","AP","","É a origem. "
"25","21","2021-06-16","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","É a origem... "
"26","21","2021-06-16","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Bloco Parlamentar Senado Independente","REDE","AP","","Parece que esses que estão aí vêm da origem. "
"27","21","2021-06-16","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","... ela vem já carimbada da origem, Senador Ciro, não é a Comissão: ""Pode conter documentos sigilosos"" é o MRE que manda. "
"28","21","2021-06-16","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Bloco Parlamentar Senado Independente","REDE","AP","","E aí, me permita, caríssimo Ciro... "
"29","21","2021-06-16","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Você está me entendendo? "
"30","21","2021-06-16","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Bloco Parlamentar Senado Independente","REDE","AP","","... inclusive o verbo está muito bem aplicado por parte do órgão de origem: ""pode"". Quando coloca a possibilidade, acaba limitando, porque eles fazem o julgamento da possibilidade. "
"31","21","2021-06-16","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","","Mas, é só uma dúvida que eu tenho, Senador Randolfe, até o senhor tem muito mais conhecimento... "
"32","21","2021-06-16","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Bloco Parlamentar Senado Independente","REDE","AP","","Não, é... "
"33","21","2021-06-16","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","","Aqui nós temos algumas situações de Ministério das Relações Exteriores que não dizem respeito somente ao nosso país, não é? Nós temos outros países envolvidos nisso. O nosso país tem o direito de tornar isso público? "
"34","21","2021-06-16","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Vamos fazer o seguinte? Nós iremos provar e depois vamos fazer uma reunião. A gente senta – eu, o Vice-Presidente, o Relator e o Marcos Rogério –, sem problema nenhum. Eu acho que isso aí, o interesse de todos aqui é saber da verdade, independente de posicionamento. "
"35","21","2021-06-16","CIRO NOGUEIRA","(Bloco Parlamentar Unidos pelo Brasil/PP - PI)","Bloco Parlamentar Unidos pelo Brasil","PP","PI","","Exatamente. "
