"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","23","2021-06-18","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Havendo número regimental, declaro aberta a 23ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos 371 e 372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da Covid-19, bem como outras ações e omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se à apreciação de requerimentos e ao depoimento dos médicos Ricardo Ariel Zimerman e Francisco Eduardo Cardoso Alves, em atendimento ao requerimento do Senador Luis Carlos Heinze.         Em relação aos requerimentos, eu quero comunicar à CPI que nós votaremos na terça-feira. Tendo em vista que ontem entraram vários requerimentos e para a gente dar aquele prazo que a gente tinha estipulado aqui, iremos votar na terça-feira os requerimentos. Então, nós vamos tirar de pauta os requerimentos, Sr. Relator, em virtude da quantidade de requerimentos e fatos novos que foram relatados aqui, na CPI, e houve requerimentos. Então, eu acho por bem, para que a gente não crie nenhum tipo de celeuma aqui, a gente votar na terça-feira, já comunicando e pautando, viu? Eu quero que V. Exa. paute os requerimentos para que os membros da Comissão tenham ciência do que nós iremos votar na terça-feira que vem, o.k.? (Intervenção fora do microfone.) "
"2","23","2021-06-18","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE)","Bloco Parlamentar da Resistência Democrática","PT","PE","","Sr. Presidente, pela ordem. "
"3","23","2021-06-18","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois não, Senador Humberto. "
"4","23","2021-06-18","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE. Pela ordem.)","Bloco Parlamentar da Resistência Democrática","PT","PE","Pela ordem","É apenas para entregar à Comissão uma nota que foi preparada por um conjunto de cientistas renomados brasileiros. É uma nota sobre o uso da cloroquina e hidroxicloroquina para o tratamento da Covid-19. Assinam esse texto o Dr. Celso Ferreira Ramos, o Dr. Cláudio Daniel-Ribeiro, o Daniel Tabak, a Djane Baia da Silva, o ex-Ministro José Gomes Temporão, o Marcus Vinícius Lacerda, a Dra. Margareth Dalcolmo, o Mauro Schechter, a Dra. Natalia Pasternak e a Dra. Patrícia Brasil. Eu o passo às mãos do Relator como uma contribuição desse grupo de cientistas. Muito obrigado, Sr. Presidente. "
"5","23","2021-06-18","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Bloco Parlamentar Unidos pelo Brasil","PP","RS","","Questão de ordem, Sr. Presidente. "
"6","23","2021-06-18","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Senador Luis Carlos Heinze. "
"7","23","2021-06-18","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS. Pela ordem.)","Bloco Parlamentar Unidos pelo Brasil","PP","RS","Pela ordem","Eu queria só fazer um esclarecimento sobre a investigação – não se trata de condenação – de questões em 2019 do hospital onde Didier Raoult é apenas um dos diretores e não presidente – foi citado aqui pelo Senador Otto Alencar. O texto é de matéria do jornal France Bleu Provence sobre uma busca em andamento nessa segunda-feira, 14 de junho, desde as 9h30, no Instituto Hospital Universitário de Marselha, na França, localizado próximo ao Hospital La Timone. Segundo informações oficiais, uma dezena de policiais foram mobilizados para essa busca, acompanhados por um promotor público. O Ministério Público de Marselha confirmou que uma investigação preliminar foi iniciada a partir da publicação de um relatório da agência anticorrupção francesa em 2019, visando o Instituto de Pesquisa para o Desenvolvimento, um estabelecimento público científico e tecnológico. A investigação incide sobre ligações financeiras entre o Instituto Hospital Universitário de Marselha e o IRD, mas também sobre o funcionamento interno do IRD na utilização de fundos públicos para despesas não relacionadas com missões do IRD ou missões injustificadas. As buscas efetuadas decorrem dessa investigação e decorreram sem dificuldades, e a investigação prossegue em nome da exploração dos documentos apreendidos, especificou o Ministério Público. Didier Raoult não tem nada a ver com isso, segundo seu advogado. Esse pesquisador é membro da diretoria do hospital, atuando no corpo técnico e não financeiro, e tampouco as pesquisas de eficácia de medicamentos estudados por essa renomada instituição são alvos dessas buscas. Isso é diferente do que foi colocado aqui pelo nosso Senador Otto Alencar, no sentido de que estavam trabalhando contra a pesquisa com hidroxicloroquina e outras questões. Então, eu já busquei do advogado dele, estou recebendo o material, e depois eu vou deixá-lo nesta Comissão. Então, é apenas este esclarecimento: é uma questão fiscal, que também não tem nada a ver, não é questão contrária às pesquisas que são realizadas pelo Dr. Didier Raoult.         Muito obrigado. "
"8","23","2021-06-18","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Eu não vou nem falar sobre esse assunto, Senador Luis Carlos Heinze, porque eu vou esperar o Senador Otto na reunião para que ele possa falar sobre esse assunto. Eu não estou por dentro disso, então não... "
"9","23","2021-06-18","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Bloco Parlamentar Unidos pelo Brasil","PP","RS","","Eu estou falando... Ele deu a versão dele, eu estou dando a versão real. Essa é a versão real. "
"10","23","2021-06-18","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Sim, mas é que eu não estou inteirado do assunto, então eu não posso nem falar sobre esse assunto. "
