"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","30","2021-07-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Bom dia! Havendo número regimental, declaro aberta a 30ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos 371 e 372 para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da Covid-19, bem como outras ações e omissões cometidas por administrações públicas federais, estaduais e municipais, no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se ao depoimento do Luiz Paulo Dominguetti Pereira, em atendimento aos requerimentos dos Senadores Alessandro Vieira, Humberto Costa, Randolfe Rodrigues e Renan Calheiros.         Havendo número regimental, coloco em votação a Ata da 29ª Reunião, solicitada a dispensa de sua leitura. Os Srs. Senadores que a aprovam permaneçam como se encontram.  Aprovada. Informo que a Advocacia do Senado Federal, durante a madrugada de hoje, pediu a reconsideração da decisão da Ministra Rosa Weber no Habeas Corpus n° 203.800, Distrito Federal, impetrado em favor do depoente Francisco Maximiano e, não sendo deferida a reconsideração, solicitou-se que a manifestação fosse recebida como agravo regimental. Entendemos, com a devida vênia da Ministra Rosa Weber, que a decisão de conferir o direito ao silêncio à testemunha nesta Comissão foi equivocada. Respeitamos a decisão, mas entendemos que está equivocada. Eu irei chamar o depoente. Eu queria que ele entrasse, por favor.  V. Sa. promete, sob a palavra de honra, nos termos do art. 203 do Código de Processo Penal, dizer a verdade do que souber e lhe for perguntado? "
"2","30","2021-07-01","LUIZ PAULO DOMINGUETTI PEREIRA","","","","","","Sim, senhor, Excelência. "
"3","30","2021-07-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","A partir deste momento, V. Sa. está sujeito ao compromisso de dizer a verdade, nos termos do art. 203 do Código de Processo Penal. V. Sa. quer usar os 15 minutos iniciais para falar? "
"4","30","2021-07-01","LUIZ PAULO DOMINGUETTI PEREIRA","","","","","","Não, Excelência, estou pronto. "
"5","30","2021-07-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Senador Renan Calheiros com a palavra, por favor. "
"6","30","2021-07-01","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","Como Relator","Sr. Presidente, Srs. Senadores, a Folha de S.Paulo divulgou que o Sr. Luiz Paulo Dominguetti Pereira negociou a venda de vacinas ao Ministério da Saúde como representante da empresa Davati Medical. Ao jornal O Globo, o Presidente da empresa, o Sr. Herman Cárdenas, confirmou a oferta de 400 milhões de doses da vacina AstraZeneca, mas nega ter tido conhecimento do pedido de propina. Já a AstraZeneca declarou que não negocia vacinas com entes privados, negou ter trabalhado com a Davati e disse que todas as vendas no Brasil foram tratadas pela Fiocruz. Eu queria fazer a primeira pergunta.         A empresa Davati Medical afirma que seu representante no Brasil é o Sr. Cristiano Alberto Carvalho, mas o nome de V. Sa., Sr. Luiz Paulo Dominguetti, está incluído nas ofertas encaminhadas ao Ministério da Saúde, segundo a proposta obtida pela imprensa. O Presidente da Davati, Herman Cárdenas, afirma que foi orientado pela representação no Brasil a incluir o nome de V. Sa. nas propostas, mas V. Sa. não estava representando a empresa. Adicionou que a Davati não tinha conhecimento de que V. Exa. era, então, presumiu que V. Exa. era um representante legal. Em função dessas informações, eu gostaria de saber, em nome desta Comissão Parlamentar de Inquérito, em primeiro lugar, quais são exatamente as funções suas nesse processo de negociação junto ao Ministério da Saúde? "
"7","30","2021-07-01","LUIZ PAULO DOMINGUETTI PEREIRA","","","","","","Posso responder? "
"8","30","2021-07-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fora do microfone.)","PSD","AM","Fora do microfone","Pode. "
"9","30","2021-07-01","LUIZ PAULO DOMINGUETTI PEREIRA","","","","","","Excelência... "
"10","30","2021-07-01","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Por favor. "
