"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","31","2021-07-06","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Havendo número regimental, declaro aberta a 31ª Reunião da Comissão Parlamentar Inquérito, criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da Covid, bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais e municipais, no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se ao depoimento da Sra. Regina Célia Silva Oliveira, servidora do Ministério público da Saúde, em atendimento ao requerimento do Senador Humberto Costa. Senador Girão. "
"2","31","2021-07-06","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Pela ordem.)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","CE","Pela ordem","Muito obrigado, Sr. Presidente. Desejo a todos os colegas uma semana de luz, de harmonia. Eu queria informar, Sr. Presidente, que, nos documentos enviados para esta CPI, a Controladoria-Geral da União enviou dados analíticos completos das 53 operações especiais integradas pela CGU que envolvem recursos federais destinados à pandemia entre março de 2020 e abril de 2021. Foi investigado nas 53 operações o montante de R$1,6 bilhão – bi, bilhão de reais. O prejuízo efetivo apurado até agora atingiu quase R$39,2 milhões...         "
"3","31","2021-07-06","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","É 1,6 bilhão. Não é o valor da Covaxin? "
"4","31","2021-07-06","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","CE","","... e o prejuízo potencial é de 124... "
"5","31","2021-07-06","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","É de 1,614 bilhão. "
"6","31","2021-07-06","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","CE","","Eu peço, Presidente, que o senhor reitere a palavra, para eu concluir. "
"7","31","2021-07-06","OTTO ALENCAR","(PSD - BA)","(PSD - BA)","PSD","BA","","Presidente! "
"8","31","2021-07-06","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","A palavra está garantida para o Senador Eduardo Girão. "
"9","31","2021-07-06","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","CE","","Muito obrigado. "
"10","31","2021-07-06","OTTO ALENCAR","(PSD - BA. Fora do microfone.)","(PSD - BA. Fora do microfone.)","PSD","BA","Fora do microfone","Queria a palavra pela ordem depois. "
"11","31","2021-07-06","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois não. "
"12","31","2021-07-06","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","CE","","O prejuízo efetivo apurado até agora atingiu quase 39,2 milhões.. "
"13","31","2021-07-06","MARCOS DO VAL","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - ES)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","ES","","Também pela ordem, Presidente. "
