"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","32","2021-07-07","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Havendo número regimental, declaro aberta a 32ª Reunião da Comissão Parlamentar Inquérito criada pelos Requerimentos nºs 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da Covid-19, bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se ao depoimento do Sr. Roberto Ferreira Dias, ex-Diretor do Departamento de Logística em Saúde da Secretaria Executiva do Ministério da Saúde, em atendimento aos requerimentos de autoria dos Senadores Humberto Costa e Otto Alencar.         Eu quero, primeiro, cumprimentar pelo aniversário o Senador Humberto Costa e o Senador Marcos Rogério. Muita saúde, e que Deus possa abençoar o caminho de vocês dois! "
"2","32","2021-07-07","LUIS CARLOS HEINZE","(Bloco Parlamentar Unidos pelo Brasil/PP - RS)","Bloco Parlamentar Unidos pelo Brasil","PP","RS","","E a festa, onde é que é hoje? O convite para a festa? É só dar o local aí!  (Risos.) "
"3","32","2021-07-07","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Nós retiramos os requerimentos que iríamos votar hoje e só ficaram três requerimentos, todos de autoria do Senador Randolfe Rodrigues; os outros foram retirados por determinação minha. Enquanto não houver... E vou pedir aos Senadores que fizeram pedidos de quebra de sigilo e de informações... O local onde ficam essas informações, muitos deles, ainda não foram nem analisados. É preciso ser analisado, não adianta sair pedindo informações e quebra de sigilo sem análise. Então, é preciso que a gente faça isso para que a gente possa ter informações para poder trabalhar na CPI. Todos os pedidos de quebra de sigilo vão ter que ser justificados, porque nós estamos perdendo algumas ações no Supremo por falta de embasamento jurídico para que a gente possa quebrar sigilo fiscal e bancário. Na CPI da Covid nós temos tido isso. Ontem eu conversei com os advogados do Senado e eles comunicaram à gente que é preciso ter fatos concretos para poder quebrar o sigilo. Senador Izalci. "
"4","32","2021-07-07","IZALCI LUCAS","(Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF. Pela ordem.)","Bloco Parlamentar PODEMOS/PSDB/PSL","PSDB","DF","Pela ordem","Presidente, eu já venho solicitando a V. Exa. e à CPI a aprovação de alguns requerimentos e a marcação de alguns que já foram aprovados. Na prática, toda a documentação solicitada já chegou à CPI há algum tempo. Então eu indago a V. Exa., porque era na semana passada, passou para ontem, hoje, e, agora, foi mais uma vez adiado. V. Exa. tem... (Intervenção fora do microfone.) "
"5","32","2021-07-07","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","O secretário de... "
"6","32","2021-07-07","IZALCI LUCAS","(Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF)","Bloco Parlamentar PODEMOS/PSDB/PSL","PSDB","DF","","Nós aprovamos e questionamos toda a questão lá de Manaus. Aqui no DF é a mesma coisa... "
"7","32","2021-07-07","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Não, não, nós questionamos as questões de Manaus, Senador Izalci, mas, infelizmente, na hora do ""pega pra capar"", as coisas dão uma ré. Nós temos que aprofundar, mas ir até o fim, não dá para as coisas ficarem pela metade. "
"8","32","2021-07-07","IZALCI LUCAS","(Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF)","Bloco Parlamentar PODEMOS/PSDB/PSL","PSDB","DF","","Mas é que eu posso dizer a V. Exa. que, no caso específico aqui do DF, V. Exa. está tratando, já nessas últimas audiências, sobre a Precisa, que assinou o contrato, e é exatamente ela que deu aqui no DF o motivo principal da Falso Negativo. Então, acho que tem todos... "
"9","32","2021-07-07","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Resolveremos o mais rápido possível essa questão. "
"10","32","2021-07-07","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","CE","","Sr. Presidente... "
