"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","34","2021-07-09","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Bom dia, Sra. Senadora, Srs. Senadores! Havendo número regimental, declaro aberta a 34ª Reunião desta Comissão Parlamentar de Inquérito. A presente reunião destina-se ao depoimento de William Amorim Santana, servidor do Ministério da Saúde, em atendimento ao requerimento do Senador Randolfe Rodrigues. Peço que o servidor possa ser encaminhado aqui, por favor.  "
"2","34","2021-07-09","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE)","Bloco Parlamentar da Resistência Democrática","PT","PE","","Sr. Presidente, quando possível, eu queria pedir a palavra pela ordem. "
"3","34","2021-07-09","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois não, Senador, com a palavra. "
"4","34","2021-07-09","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE. Pela ordem.)","Bloco Parlamentar da Resistência Democrática","PT","PE","Pela ordem","Sr. Presidente, acho que foi de conhecimento de todos matéria publicada pelo site The Intercept que trata de matéria também relativa à aquisição de vacinas pelo Governo Federal. A matéria constata que o Governo Federal adquiriu dez milhões de doses da vacina Sputnik, russa. Essas vacinas foram compradas por intermédio da empresa farmacêutica União Química. Essas vacinas foram compradas ao preço de US$11,95, enquanto o Consórcio Nordeste e outros governos – aliás, o Consórcio Nordeste, é sempre aqui citado com tanta ênfase por alguns companheiros – adquiriram essas doses por US$9,95, portanto uma diferença de US$2 por dose, ou seja, o custo final dessas doses levaria a uma situação de um dano ao Erário na base de R$693 milhões, dos quais R$100 milhões representariam o que poderia ser chamado de superfaturamento. A matéria – eu próprio também tive a oportunidade de conversar com representantes do Consórcio Nordeste – coloca como alegação do Governo Federal e da União Química o custo de frete e outros preços e outras coisas para desembaraço. No entanto, o frete mais caro chega a US$0,63 centavos por dose. Portanto, me parece, Sr. Relator, mais um tema que precisa ser objeto da nossa investigação, porque tudo faz crer que há aqui um processo de superfaturamento. É a mesma vacina, comprada da mesma fonte, utilizando os mesmos caminhos, no entanto com uma diferença de US$2 por dose.         Eu vou proceder à solicitação dos requerimentos que se fazem necessários para esta investigação, mas é importante que incluamos no radar da nossa CPI mais esse, que parece ser outro escândalo. Muito obrigado, Sr. Presidente. "
"5","34","2021-07-09","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Eu vou ler aqui um... V. Sa. promete, sob palavra de honra, nos termos do art. 203 do Código de Processo Penal, dizer a verdade do que souber e lhe for perguntado? "
"6","34","2021-07-09","WILLIAM AMORIM SANTANA","","","","","","Eu me comprometo. "
"7","34","2021-07-09","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","A partir deste momento, V. Sa. está sujeito ao compromisso de dizer a verdade, nos termos do art. 203 do Código de Processo Penal. Se V. Sa. assim desejar, passo a palavra por 15 minutos para o senhor. "
"8","34","2021-07-09","WILLIAM AMORIM SANTANA","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Bom dia! Bom dia a todos! Cumprimento mui respeitosamente o Exmo. Sr. Presidente e o Exmo. Sr. Relator desta renomada Comissão Parlamentar de Inquérito. Também cumprimento os demais Exmos. Srs. Senadores e os demais aqui presentes. Meu nome é William Amorim Santana, sou consultor técnico da Organização Pan-Americana da Saúde – portanto, não sou servidor – e, atualmente, desenvolvo essa atividade na Divisão de Importação da Coordenação-Geral de Logística de Insumos Estratégicos para a Saúde do Departamento de Logística em Saúde. Eu queria explanar para vocês aqui as competências da área técnica da qual eu faço parte: realizar a análise técnica da documentação para a abertura da licença de importação; solicitar deferimento da licença de importação aos órgãos anuentes; providenciar os trâmites necessários para viabilizar o desembaraço alfandegário de mercadorias; acompanhar os processos de importação e exportação de medicamentos, equipamentos e insumos estratégicos para a saúde; emitir documentação necessária para o processo de importação e exportação; acompanhar as anuências dos registros de exportação no sistema de comércio exterior. Na condição de consultor técnico, desenvolvo atividades de apoio, devidamente designadas e supervisionadas pela minha chefia imediata. E, nesse contexto, meu papel se restringe a analisar a commercial invoice, em paridade com o objeto legal, nesse contexto do contrato, e, este estando em conformidade, solicitar a abertura da licença de importação. Também é meu papel realizar interface junto ao despachante oficial do ministério, realizar o peticionamento de documentos junto à Agência Nacional de Vigilância Sanitária e acompanhar o desembaraço aduaneiro. Destaco que não participei do processo de aquisição ou celebração do Contrato 29/2021, tampouco estive presente em quaisquer reuniões ou encontros com essa temática, tendo sido meu papel nessa questão, estritamente, o recebimento e a análise da invoice, o peticionamento dos documentos de caráter técnico junto à Anvisa e, amparado pelas devidas autorizações, solicitar a abertura da licença de importação. Quanto ao que me cabe nesta análise, conforme designado por minha chefia, devo observar os seguintes pontos principais. Na invoice, quando eu vou pegar a invoice que eu vou analisar, o que é que eu tenho que observar? Os dados do consignatário – no caso, o importador, que é o Ministério da Saúde –; o prazo de entrega da parcela, em paridade com o contrato; o quantitativo que está disposto no contrato – os valores também têm que estar correspondentes aos valores do contrato –; e, se necessário, solicitar as devidas correções.         No caso do imunizante em questão, que está sendo debatido, essa importação é regida pela RDC 476, de 2021, e, no meu setor, o que me cabe é apenas o item V do art. 12, que é providenciar a licença de importação que vai compor o dossiê técnico junto à referida agência. E, por fim, eu queria fazer aqui uma breve síntese do transcurso do processo. A Diimp, área onde eu trabalho, recebeu da empresa citada, a Precisa Medicamentos, um e-mail no dia 16/03, solicitando providências para... "
"9","34","2021-07-09","ELIANA MARIA DIAS SANTIAGO","(Para expor. Fora do microfone.)","(Para expor. Fora do microfone.)","(Para expor. Fora do microfone.)","(Para expor. Fora do microfone.)","(Para expor Fora do microfone","Foi no dia 16. "
"10","34","2021-07-09","WILLIAM AMORIM SANTANA","","","","","","Em 16/03. O primeiro e-mail veio dia 16/03, solicitando providências para a abertura da licença de importação. Neste e-mail, continha apenas o contrato em anexo. No dia 18/03, recebemos um segundo e-mail, onde a referida empresa encaminhava um dossiê com os documentos dispostos em um link Dropbox; havia documentos de caráter técnico, e, dentre esses documentos, estava presente a invoice. No mesmo dia... "
"11","34","2021-07-09","Randolfe Rodrigues","PRESIDENTE","Bloco Parlamentar Senado Independente","REDE","AP","Para interpelar","Que dia foi isso? "
"12","34","2021-07-09","WILLIAM AMORIM SANTANA","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Dia 18/03. "
"13","34","2021-07-09","Randolfe Rodrigues","PRESIDENTE","Bloco Parlamentar Senado Independente","REDE","AP","","Dia 18? "
"14","34","2021-07-09","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Fora do microfone.)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","Fora do microfone","Dia 18 de março. "
"15","34","2021-07-09","WILLIAM AMORIM SANTANA","","","","","","Dia 18 de março, 18/03. "
"16","34","2021-07-09","SIMONE TEBET","(Bloco Parlamentar Unidos pelo Brasil/MDB - MS)","Bloco Parlamentar Unidos pelo Brasil","MDB","MS","","Eu também perdi. Eu peço desculpas, eu perdi a fala dele. Se o senhor puder voltar um pouquinho... "
"17","34","2021-07-09","WILLIAM AMORIM SANTANA","","","","","","Volto. "
"18","34","2021-07-09","Randolfe Rodrigues","PRESIDENTE","Bloco Parlamentar Senado Independente","REDE","AP","","O senhor podia retomar... "
"19","34","2021-07-09","SIMONE TEBET","(Bloco Parlamentar Unidos pelo Brasil/MDB - MS)","Bloco Parlamentar Unidos pelo Brasil","MDB","MS","","Obrigada. "
"20","34","2021-07-09","WILLIAM AMORIM SANTANA","","","","","","É claro! É claro, claro! Vou retomar de onde eu parei. A Diimp (Divisão de Importação), área onde eu trabalho, recebeu da empresa citada um e-mail no dia 16/03; foi o primeiro e-mail que nós recebemos da empresa. Este e-mail tinha, em anexo, o contrato e solicitava providências para abertura da licença de importação. No dia 18/03, recebi o segundo e-mail – eu digo ""recebi"", mas, na verdade, a empresa mandou para mim, mandou para a nossa lista de divisão, mandou para o nosso departamento, mandou para várias pessoas, para vários entes ali do Departamento de Logística. Ela enviou o segundo e-mail no dia 18/03. "
"21","34","2021-07-09","IZALCI LUCAS","(Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF. Para interpelar.)","Bloco Parlamentar PODEMOS/PSDB/PSL","PSDB","DF","Para interpelar","No e-mail pessoal? No e-mail... "
"22","34","2021-07-09","WILLIAM AMORIM SANTANA","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Não. "
"23","34","2021-07-09","IZALCI LUCAS","(Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF)","Bloco Parlamentar PODEMOS/PSDB/PSL","PSDB","DF","","... pessoal? "
"24","34","2021-07-09","WILLIAM AMORIM SANTANA","","","","","","Todas as tratativas minhas com a empresa se deram por meios institucionais, pelo e-mail do Ministério da Saúde, o @saúde. E, quando eu precisei ligar para a empresa, eu utilizei o telefone da minha mesa, e, inclusive, a conversa era em viva-voz, para que todos ouvissem. Então, só repetindo, no dia 18/03, recebemos um segundo e-mail da empresa, onde ela encaminhava um dossiê, uma relação de documentos para a abertura de licença de importação, e, dentro deste link Dropbox, tinha vários documentos; um deles era a commercial invoice. No dia 18/03, submeti esse referido e-mail à área de fiscalização. O processo estava se iniciando... (Intervenção fora do microfone.) "
"25","34","2021-07-09","WILLIAM AMORIM SANTANA","","","","","","No dia 18/03. Ainda no dia 18/03.         "
"26","34","2021-07-09","Randolfe Rodrigues","PRESIDENTE","Bloco Parlamentar Senado Independente","REDE","AP","Para interpelar","No mesmo dia? "
"27","34","2021-07-09","WILLIAM AMORIM SANTANA","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","No mesmo dia. "
"28","34","2021-07-09","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator. Fora do microfone.)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","Como Relator Fora do microfone","No dia 18 de março? "
"29","34","2021-07-09","WILLIAM AMORIM SANTANA","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Isso. Eu estou frisando a data, para que fique bem registrado. "
"30","34","2021-07-09","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Fora do microfone.)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","Fora do microfone","É muito importante. "
"31","34","2021-07-09","Randolfe Rodrigues","PRESIDENTE","Bloco Parlamentar Senado Independente","REDE","AP","","É muito importante, William. Esse, eu diria, é o centro, inclusive, do seu depoimento aqui. Obrigado. (Intervenção fora do microfone.) "
"32","34","2021-07-09","WILLIAM AMORIM SANTANA","","","","","","O que é que acontece? Eu trouxe os e-mails. Vou colocar à disposição de vocês, porque eu não consegui decorar os horários. "
"33","34","2021-07-09","Randolfe Rodrigues","PRESIDENTE","Bloco Parlamentar Senado Independente","REDE","AP","","Muitíssimo obrigado, William. "
"34","34","2021-07-09","WILLIAM AMORIM SANTANA","","","","","","Mas eu vou colocar à disposição de vocês este material que eu trouxe. "
"35","34","2021-07-09","SIMONE TEBET","(Bloco Parlamentar Unidos pelo Brasil/MDB - MS. Para interpelar.)","Bloco Parlamentar Unidos pelo Brasil","MDB","MS","Para interpelar","Às 16h48. "
"36","34","2021-07-09","WILLIAM AMORIM SANTANA","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Às 16h48? "
"37","34","2021-07-09","SIMONE TEBET","(Bloco Parlamentar Unidos pelo Brasil/MDB - MS. Fora do microfone.)","Bloco Parlamentar Unidos pelo Brasil","MDB","MS","Fora do microfone","Às 16h48. "
"38","34","2021-07-09","WILLIAM AMORIM SANTANA","","","","","","O.k.! Não me recordo da hora, não posso afirmar categoricamente. Mas eu me recordo da data, foi dia 18/03. No dia 18/03, submeti o referido e-mail à área de fiscalização, para conhecimento e orientação acerca das tratativas para esse processo. No dia 19/03, recebi um e-mail da representante da empresa, perguntando pelo status do andamento do processo. Eu não respondi. "
"39","34","2021-07-09","Randolfe Rodrigues","PRESIDENTE","Bloco Parlamentar Senado Independente","REDE","AP","Para interpelar","Desculpe, William. Esse outro e-mail foi de quando, de que dia? "
"40","34","2021-07-09","WILLIAM AMORIM SANTANA","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Dezenove. "
"41","34","2021-07-09","Randolfe Rodrigues","PRESIDENTE","Bloco Parlamentar Senado Independente","REDE","AP","","Quem foi que mandou esse e-mail? "
"42","34","2021-07-09","WILLIAM AMORIM SANTANA","","","","","","A representante da empresa, a Emanuela Medrades. "
"43","34","2021-07-09","Randolfe Rodrigues","PRESIDENTE","Bloco Parlamentar Senado Independente","REDE","AP","","Perfeito. "
"44","34","2021-07-09","WILLIAM AMORIM SANTANA","","","","","","Basicamente, as tratativas entre a Divisão de Importação e a empresa foram com ela, na parte que me cabe. No dia 19/03, recebi um e-mail da representante da empresa, pedindo o status do processo, mas eu não respondi. Como eu havia submetido à área de fiscalização, eu deveria esperar a manifestação deles. No dia 22/03, submeti novamente... "
"45","34","2021-07-09","SIMONE TEBET","(Bloco Parlamentar Unidos pelo Brasil/MDB - MS. Para interpelar.)","Bloco Parlamentar Unidos pelo Brasil","MDB","MS","Para interpelar","Desculpa! Já estava com o invoice então? É que eu estou anotando. Já estava com o invoice. O senhor já tinha em mão o primeiro invoice. "
"46","34","2021-07-09","WILLIAM AMORIM SANTANA","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Tinha em mão sim. "
"47","34","2021-07-09","SIMONE TEBET","(Bloco Parlamentar Unidos pelo Brasil/MDB - MS)","Bloco Parlamentar Unidos pelo Brasil","MDB","MS","","Obrigada. "
