"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","35","2021-07-13","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Bom dia. Havendo número regimental, declaro aberta a 35ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da Covid-19 bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se ao depoimento da Sra. Emanuela Batista de Souza Medrades, Diretora Técnica da Precisa Medicamentos, em atendimento aos requerimentos de autoria dos Senadores Alessandro Vieira e Otto Alencar. "
"2","35","2021-07-13","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","CE","","Sr. Presidente, pela ordem. "
"3","35","2021-07-13","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois não, Senador. "
"4","35","2021-07-13","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Pela ordem.)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","CE","Pela ordem","Na sessão do dia 26 de maio, estavam na pauta desta CPI as convocações de vários Prefeitos de cidades, majoritariamente capitais, onde ocorreram operações da Polícia Federal. Após uma reunião fechada, sem a minha concordância, tais requerimentos foram retirados da pauta e, desde esse momento, apesar da minha insistência e do anseio do povo brasileiro no sentido de que se investigue a malversação de verbas federais pelos Estados e Municípios, não retornaram para nossa deliberação ainda. Portanto, lá se vão mais de 45 dias sem que esta Comissão tenha voltado a se manifestar sobre esse assunto. Tal silêncio, no meu modo de entender, é inaceitável. Desde o início da pandemia, foram centenas de Municípios que entraram na mira da Polícia Federal, da Controladoria-Geral da União e do Ministério Público Federal em operações conjuntas que se espalharam por todo o País. Apenas a título de exemplo, foram alvo das operações da CGU 178 atores públicos; desses, 103 eram municipais; 73, agentes públicos; e 36, fundos ou órgãos públicos. Os possíveis crimes imputados aos gestores municipais são os mais diversos, entre eles: irregularidades no processo de licitação; utilização de empresa fantasma; adulteração, falsificação documental; contratação de empresa sem capacidade técnica e operacional; sobrepreço; superfaturamento na aquisição de bens ou prestação de serviços. Portanto, são crimes gravíssimos contra administração pública, principalmente em época de pandemia, quando tantos estão morrendo ou passando fome. Aproveito para dizer que podemos estar perdendo, Sr. Presidente, uma ótima oportunidade de chamarmos ainda esta semana o Ministro Wagner Rosário, convocação aprovada por todos nós no dia 10 de junho, ou seja, há mais de um mês, e que poderia se materializar nessa quarta-feira no lugar, por exemplo, do Sr. Amilton Gomes, que já apresentou atestado médico, alegando estar momentaneamente impossibilitado de vir à CPI. Entendo não ser tão necessária a convocação tão urgente do Reverendo para perícia médica a fim de comprovar a alegada enfermidade. Por mais que esse depoimento seja relevante – e é – para o rumo das investigações, acredito particularmente que mais alguns dias – um ou dois dias – não trariam solução de continuidade para as apurações, ao passo que abririam espaço para a vinda do Ministro da CGU, importante personagem para esclarecer desvios de dinheiro público em Estados e Municípios. Aliás, o Ministro disse que quer vir – já deu entrevista dizendo que quer vir.         Para encerrar, Sr. Presidente, diante de todo o exposto... "
"5","35","2021-07-13","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","É bom que ele também esclarece do Governo Federal, não é? "
"6","35","2021-07-13","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","CE","","Perfeito! "
"7","35","2021-07-13","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Deveria fazer o papel... "
"8","35","2021-07-13","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","CE","","Inclusive foi a alegação do Senador Randolfe no dia em que a gente aprovou. E eu concordo com ele: acho que tem que trazer para investigar Governo Federal, Estados e Municípios. Para encerrar, Sr. Presidente, diante de todo o exposto e dos demais indícios graves de mau uso de verbas públicas federais por diversos Municípios do nosso País é que recorro a V. Exa. para que voltemos a colocar em pauta todos os requerimentos de convocação de Prefeitos e ex-Prefeitos das cidades onde foram realizadas operações de órgãos federais de fiscalização e controle já apresentados. Muito obrigado, Sr. Presidente. Aproveito para perguntar também sobre os requerimentos da semana passada: quando é que o senhor prevê colocar em votação? Muito obrigado. "
"9","35","2021-07-13","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA)","Bloco Parlamentar Senado Independente","CIDADANIA","MA","","Sr. Presidente, eu queria fazer um registro. "
"10","35","2021-07-13","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Senador Eduardo Girão, eu teria o maior prazer de fazer o que V. Exa. me pede, mas está se tornando rotineiro que todas as pessoas que estão sendo investigadas – até porque a lei é assim e o permite – consigam habeas corpus para ficar em silêncio aqui. No caso que V. Exa. está falando, dessas pessoas que já estão sendo investigadas e que o senhor quer convocar, elas também teriam o mesmo direito se estivessem aqui. Isso tem atrapalhado um pouco as nossas investigações e é uma coisa que nós temos que conversar sobre como nós podemos fazer isso. V. Exa. não tenha dúvida de que lhe dou toda razão em relação a Município ou a qualquer outro órgão; sem problema nenhum. A omissão de muitos tribunais de contas no Brasil afora, que estão vendo tudo acontecer e, por incrível que pareça, não tomam nenhuma providência, isso está acontecendo no meu Estado inclusive. Tudo que aconteceu no meu Estado tem liminar. Veja bem, tem liminar do Tribunal de Contas para pagar indenizatório no meu Estado. Só isso: liminar na área de saúde! Mas isso é uma coisa nossa lá, eu não quero entrar aqui em detalhes. V. Exa. tem toda a razão, mas, como estão se apegando à questão de investigação já sendo feita pela Polícia Federal, pelo Ministério Público, para aqui chegarem e se manterem calados, nós temos que ter uma estrutura. Eu acho que a gente pode conversar sobre isso, sim, Senador. Será um prazer falar com V. Exa. Senadora Simone. "
