"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","36","2021-07-14","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Bom dia aos Srs. Senadores. Havendo número regimental, declaro aberta a 36ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos nºs 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública durante a vigência da calamidade originada pela pandemia. Eu quero pedir... (Soa a campainha.) "
"2","36","2021-07-14","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Eu quero pedir para a secretaria encaminhar a Sra. Emanuela Batista de Souza Medrades.          Quanto à depoente, Emanuela Batista de Souza Medrades, conforme anunciado ontem esta Comissão foi notificada de decisões do Ministro Luiz Fux, no Habeas Corpus 204422, conforme dado conhecimento a este Colegiado no dia de ontem. Apenas reforço alguns pontos da mais recente decisão. Ontem, a Senadora Eliziane questionou a depoente, e ela respondeu. Vou reforçar aqui: o que a autoincrimina, ela não precisa responder. O.k.? Então, a senhora, Sra. Emanuela, baseado no habeas corpus dado pelo Ministro Luiz Fux, baseado... Apenas reforço alguns pontos da mais recente decisão. [...] a não autoincriminação tem assento constitucional, instaurando direito subjetivo [...]. Por óbvio, o primeiro juízo sobre o conteúdo desse direito compete ao seu próprio titular [que é a senhora], a quem cabe a avaliação inicial sobre os impactos da produção de determinada informação sobre a sua própria esfera jurídica [...]. [...] às Comissões de Parlamentares de Inquérito, como autoridades investidas de poderes judiciais, recai o poder-dever de analisar, à luz de cada caso concreto, a ocorrência de alegado abuso do exercício do direito de não-incriminação. Se assim entender configurada a hipótese, dispõe a CPI de autoridade para a adoção fundamentada das providências legais cabíveis. Foi essa a decisão exarada ontem pelo Ministro Luiz Fux. E ontem, com o questionamento da Senadora Eliziane, eu volto aqui a afirmar: a senhora ainda está com o habeas corpus que lhe garante a não autoincriminação em qualquer pergunta que a senhora achar que pode a autoincriminar. Questão de ordem, Senadora Eliziane? "
"3","36","2021-07-14","ELIZIANE GAMA","(Bloco Parlamentar Senado Independente/CIDADANIA - MA. Pela ordem.)","Bloco Parlamentar Senado Independente","CIDADANIA","MA","Pela ordem","Presidente, eu quero cumprimentar os colegas, só reafirmando exatamente isto: ontem a depoente colocou algumas vezes que estava exausta; então, nós reafirmamos, atendemos o pleito feito por ela para hoje, lembrando que ela se colocou à disposição para falar. De todos os assuntos, eu conversei com ela, a Emanuela, e, logo após, falando, inclusive lembrei, Presidente, o que nós vivenciamos aqui com a Coordenadora do Programa Nacional de Imunizações. Ela veio a esta CPI, Emanuela, na condição de investigada, e saiu na condição de testemunha, com as suas quebras de sigilos revogadas por esta Comissão, dado o nível de contribuição que ela deu a este trabalho.         Então, aqui na CPI, o objetivo é, sobretudo, aprofundar a investigação. Não há, por parte de nenhum de nós, a tentativa de pressionar, a tentativa de fazer qualquer ato na contraposição daquilo que é estabelecido pela legislação brasileira e pelo processo de investigação que é adotado nesta CPI. Então eu peço mais uma vez a você que a gente possa ter hoje aqui um depoimento tranquilo, mas com a contribuição necessária por parte de V. Sa. aos trabalhos da Comissão. Muito obrigada, Presidente. "
"4","36","2021-07-14","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","O.k. Eu vou passar a palavra ao Relator... "
"5","36","2021-07-14","TICIANO FIGUEIREDO DE OLIVEIRA","(Para expor.)","(Para expor.)","(Para expor.)","(Para expor.)","(Para expor","Sr. Presidente, só para ela, então, esclarecer sobre ontem... "
"6","36","2021-07-14","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois não. Então, com a palavra, a Sra. Emanuela. "
"7","36","2021-07-14","EMANUELA BATISTA DE SOUZA MEDRADES","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Srs. Senadores, eu permaneço à disposição, permaneço colaborativa, faço questão de falar tudo e, inclusive... Não, não existe irregularidade, não existe ilegalidade. A gente recentemente teve o vídeo aí, do dia 23... Por favor, me perguntem. Gostaria muito de ter oportunidade de falar sobre esse vídeo. Então, sim, estou à disposição, continuo à disposição. "
"8","36","2021-07-14","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Obrigado. Senador Renan Calheiros, por favor. "
"9","36","2021-07-14","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","Como Relator","Muito obrigado, Presidente. Srs. Senadores, Sr. Vice-Presidente da Comissão Parlamentar de Inquérito, em função do fato de termos que ouvir hoje dois depoentes, eu vou tentar agilizar bastante as perguntas. Peço gentilmente à depoente que, na medida do possível, se puder simplificar as respostas, será melhor para o andamento dos trabalhos desta Comissão Parlamentar de Inquérito. A decisão do Supremo Tribunal Federal foi enfática – e o Presidente já a colocou aqui – no sentido de que é o titular do direito quem exterioriza a primeira manifestação de vontade em relação ao exercício de não autoincriminação. No entanto, nenhum direito fundamental é absoluto, muito menos pode ser exercido para além de suas finalidades constitucionais. Nesse ponto, enfatiza o Ministro que ""às Comissões de Parlamentares de Inquérito, como autoridades investidas de poderes judiciais, recai o poder-dever"" como autoridades competentes para analisar, à luz de cada caso concreto, a ocorrência de alegado abuso do exercício do direito de não incriminação. Em função disso, passamos às perguntas. Qual é a sua relação com a Precisa Medicamentos? "
"10","36","2021-07-14","EMANUELA BATISTA DE SOUZA MEDRADES","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Sr. Senador, eu sou Diretora-Executiva e responsável técnica farmacêutica pela companhia. "
