"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","37","2021-07-15","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Bom dia! Havendo número regimental, declaro aberta a 37ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos nºs 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da Covid-19. A presente reunião destina-se ao depoimento do Sr. Cristiano Alberto Carvalho, representante da empresa Davati, em atendimento ao requerimento de autoria do Senador Humberto Costa. Eu vou passar a palavra ao Relator... "
"2","37","2021-07-15","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE)","Bloco Parlamentar da Resistência Democrática","PT","PE","","Sr. Presidente, pela ordem. É possível? "
"3","37","2021-07-15","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Prossiga. "
"4","37","2021-07-15","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE. Pela ordem.)","Bloco Parlamentar da Resistência Democrática","PT","PE","Pela ordem","É só para dar conhecimento – acho que todos tiveram conhecimento pela imprensa – da nota que veio como resposta a um requerimento que eu apresentei à Conitec, em que ela responde – e é muito grave, Sr. Presidente – o seguinte. A Conitec afirma que o Ministro Queiroga não fez nenhuma solicitação sobre tratamento: ""Não há nenhum pedido de solicitação, no âmbito da Conitec, para análise de incorporação da cloroquina ou hidroxicloroquina para tratamento da Covid-19."" – fecha aspas. A solicitação que tinha lá era apenas para pacientes hospitalizados, e que ainda está em consulta pública, embora diversos estudos internacionais já tenham comprovado absoluta ineficácia desse medicamento contra a Covid-19. O Ministro Queiroga mentiu para esta CPI nos afirmando que solicitou à Conitec posicionamento sobre a utilização desses medicamentos, conforme foi noticiado até ontem. Insisto em alguma recomendação desta CPI para que seja evitado o uso do kit Covid ambulatorialmente até que o Ministério da Saúde se posicione oficialmente. Temos recebido muitas manifestações de preocupações com os efeitos colaterais que pode produzir na população. Portanto, Sr. Presidente, é para informar, primeiro, que a posição que o Ministério da Saúde tem hoje é de que a cloroquina não tem efetivamente nenhuma eficácia no tratamento da Covid-19 e, além do mais, que não há estudos acontecendo no ministério para, eventualmente, avaliar a aplicação ambulatorial, ou precoce, como eles costumam dizer.         É importante relatar que esta CPI também recebeu o registro da movimentação do faturamento de empresas que produzem o chamado kit Covid, e o crescimento ao longo da pandemia foi de, no mínimo, R$500 milhões no faturamento dessas empresas, podendo chegar a até R$1 bilhão, o que demonstra que esta coisa que parecia inocente, de recomendar o uso desses medicamentos, não é tão inocente assim. Na verdade, muita gente ganhou muito dinheiro com isso aí. Há, comprovadamente – nos próximos dias nós vamos ter essa informação –, uma relação promíscua entre essas empresas e os profissionais médicos que se dedicaram a esta tarefa de prescrever esse kit Covid. Portanto, eu quero fazer aqui este registro, porque mostra mais uma ação importante da CPI no sentido do enfrentamento à Covid-19, ou seja, a de mostrar que esses medicamentos, realmente, não têm qualquer utilidade para o tratamento da Covid-19. "
"5","37","2021-07-15","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Obrigado. Em votação os requerimentos de pedido de informação, aqueles que estão pautados. Em votação. "
"6","37","2021-07-15","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Sr. Presidente, pela ordem! "
"7","37","2021-07-15","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois não. "
"8","37","2021-07-15","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO. Pela ordem.)","Bloco Parlamentar Vanguarda","DEM","RO","Pela ordem","Tem requerimentos aí que não são de informação. Neste momento estão sendo deliberados apenas os requerimentos de informação? "
"9","37","2021-07-15","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","De informações. "
"10","37","2021-07-15","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","O.k.! "
