"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","38","2021-08-03","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Havendo número regimental, declaro aberta a 38ª Reunião da Comissão Parlamentar de Inquérito, criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais e municipais, no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se ao depoimento do Sr. Amilton Gomes de Paula, em atendimento ao requerimento de autoria do Senador Randolfe Rodrigues. Com a palavra o Senador Renan Calheiros. "
"2","38","2021-08-03","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Sr. Presidente, inicialmente apenas para reparar o equívoco com relação a uma transferência de sigilo de uma emissora de rádio. Eu queria lamentar, dizer que isso aconteceu exatamente no recesso compulsório. E aproveito a oportunidade para retirá-lo, para que, de modo algum, possa eventualmente nada respingar numa coisa que preservamos, defendemos, sempre fizemos isso e vamos continuar a fazer: a liberdade de expressão. Era isso, Presidente. "
"3","38","2021-08-03","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Obrigado, Senador Renan Calheiros. "
"4","38","2021-08-03","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE)","Bloco Parlamentar da Resistência Democrática","PT","PE","","Sr. Presidente, pela ordem. "
"5","38","2021-08-03","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Como sempre, a coerência prevalece em cima do posicionamento do Senador Renan Calheiros. A CPI não está aqui pra fazer cerceamento de ninguém. Podemos até divergir em pensamentos, mas não divergimos, de forma nenhuma, da democracia brasileira. Senador Humberto Costa com a palavra. "
"6","38","2021-08-03","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE. Pela ordem.)","Bloco Parlamentar da Resistência Democrática","PT","PE","Pela ordem","Sr. Presidente, eu queria utilizar da palavra neste momento para fazer uma denúncia que eu acredito que seja do interesse de todos os Senadores. Existe um – não sei como se chama isso – blog, site, sei lá, que tem procurado atingir os Senadores desta CPI que são do campo da oposição. Desenvolveram uma ação violentíssima contra o Senador Randolfe Rodrigues, que conseguiu, por vários meios, estabelecer a verdade. E, agora, querem desenvolver a mesma ação contra mim.         Chama-se esse site – não sei o que é – Dallas Cowboy RGG. Tudo indica que é de um cidadão chamado Richards Pozzer. O que é que ele faz? O Senado Federal propõe, promove o ressarcimento das despesas do mandato de cada Senador. Muitos Senadores colocam as suas despesas no Portal da Transparência. É o meu caso. Todas! Todas as despesas que faço dentro do mandato coloco no Portal da Transparência. E o que é que esse cidadão faz? Ele pega notas que foram ressarcidas para funcionários – porque qualquer funcionário, pela resolução do Senado, pode pagar uma despesa e ser ressarcido dessa despesa – e cria a invencionice de que isso é rachadinha. As verdadeiras rachadinhas essas figuras não investigam, não é? Então, eu quero deixar antecipadamente para todas as pessoas que nos acompanham que já pedi a quebra do perfil, desse perfil aqui da internet e que vou processá-lo. Aliás, de uns tempos para cá, a quantidade de ataques que temos recebido na internet! Eu, em média, encaminho 50 representações por dia contra pessoas que nos atacam pelas redes sociais. Muitas vezes, são até robôs. Eu queria fazer este registro para que, inclusive, os demais Senadores possam se precaver e para que nós possamos ir atrás desse meliante! Isso é um tipo de milícia digital. E talvez seja porque nós estamos começando a mexer nos hospitais federais do Rio de Janeiro, e a milícia fica toda assanhada, mas, se estão pensando que vão nos intimidar, que vão nos constranger, com certeza, não vão! Então, eu quero dizer a esse Dallas Cowboy RGG que ele vai responder na Justiça se cometer qualquer ato contra a minha pessoa – que seja um ato mentiroso. Obrigado, Sr. Presidente. "
"7","38","2021-08-03","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Bloco Parlamentar Senado Independente","REDE","AP","","Presidente, pela ordem. No mesmo sentido, Presidente. (Intervenção fora do microfone.) "
"8","38","2021-08-03","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP. Pela ordem.)","Bloco Parlamentar Senado Independente","REDE","AP","Pela ordem","Perfeito, mas, se os Senadores nos permitirem, é que é no mesmo sentido do Senador Humberto. É até para corroborar o que o Senador Humberto aqui destaca. Vários membros desta Comissão têm sido atacados nessas redes de ódio com um claro intuito, como têm sido as intenções desde o início desta Comissão Parlamentar de Inquérito: a intimidação. O senhor veja, Presidente, que as intimidações buscam ser feitas de todas as formas: é com notinha encaminhada para cá, às vezes contra o Presidente da CPI; é com ameaças, como foi no começo; e, agora, é através de milícias digitais espalhando fake news. Não tenho dúvida, Senador Humberto, de que esse contra o senhor é pela linha de investigação em que o senhor está avançando: os hospitais federais do Rio de Janeiro. Eu não tenho dúvida! Há um pavor no ar enorme sobre essa linha de investigação. E eu rogo... E eu tenho certeza de que ela será promissora nesta CPI. Um dos caminhos que nós estamos aprofundando a investigação, Presidente Omar, Senador Renan, é a atuação de fake news, porque todas essas fake news é tudo bandidinho de terceira! Tudo! Tudo bandidinho de terceira!, Pensa-se que é fake news que... Posando de moralista, pensa-se que é fake news ideológica. Não é, não! Estão tudo metido em compra irregular de vacina; um desses, o Instituto Força Brasil, intermediou a compra de vacina. Então, eles têm é que vir sentar aqui, têm que ter sigilos quebrados e não somente por tentarem intimidar membros de CPI – o que per si já é crime, conforme a Lei 1.572, de 1952, art. 4º –, mas também por, além disso, estarem envolvidos com o balcão de negócios em que se transformou o Ministério da Saúde. Boa parte desses estavam intermediando a reunião da Davati com o Elcio Franco; são tudo ladrãozinho de terceira, são tudo ladrãozinho... E são ladrõezinhos mal preparados ainda.         Então, Sr. Presidente, vamos aprofundar essa linha, quebrar os sigilos, convocá-los pra cá. E nós estamos muito perto de saber como essa rede tenebrosa toda é sustentada. A hora deles, Senador Humberto, não está, não demora, não tardará. Eles não perderão por esperar. "
"9","38","2021-08-03","IZALCI LUCAS","(Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF. Pela ordem.)","Bloco Parlamentar PODEMOS/PSDB/PSL","PSDB","DF","Pela ordem","Presidente... Presidente, eu quero, nessa mesma linha que o Relator, nessa mesma linha que o Relator, Renan, colocou, nós temos, aqui na CPI, acho que um grande equívoco, não é? Existe uma empresa em Brasília, já há 33 anos, a VTCLog, que hoje tem quase 2 mil funcionários diretos e indiretos, tem uma infraestrutura no aeroporto de Guarulhos de 45 mil metros quadrados. E, se hoje tem vacina – hoje! –, no braço dos brasileiros, se deve a essa empresa. Então, eu sou um dos grandes... Eu, como contador até, procuro ser muito incisivo em todas as empresas que estejam erradas; e tem que ser mesmo. Agora, esta empresa já encaminhou – e eu tive o cuidado de entregar também ao Senador Randolfe o que foi protocolado nesta CPI, e, agora, hoje, novamente todo o material, quando saiu a primeira notícia no Jornal Nacional, porque essas empresas, Senador Renan, são empresas que têm compliance, qualquer coisa de CPI compromete a empresa no sentido de credibilidade e tudo mais. Todo mundo sabe o que é uma CPI, não é? Então, o que está sendo feito... Eu acho assim, já foi, está aí o requerimento da Andreia Lima, que é a gerente, a diretora, que cuida dela. Está disposta – já entregou todos os documentos –, está disposta a falar para depois entrar realmente, porque esses desgastes... Por isso que eu até peço aqui, para que chame, que priorize a vinda dela, para esclarecer tudo isso, porque, se tiver que buscar mais documento, quebrar sigilo, aí tudo bem, mas ela ficar quase um mês aí, porque, nesse período de recesso, ela ficou mesmo praticamente todos os dias na mídia, isso compromete a empresa. E a gente tem que também ter esse cuidado de não, aqui, sacrificar ou penalizar as empresas que são sérias. Eu tenho por essa empresa – por conhecer já há mais de 30 anos – que é uma empresa séria. Agora, se ela errou, eu sou um dos primeiros a apoiar aqui a penalização. Agora, o que não se pode é ficar na mídia, o tempo todo, com documentos claros de que não houve isso; muito pelo contrário, naquele aditivo que foi citado na mídia, há uma economia – era de 57, baixou para 18 –, está muito claro no documento, é só olhar.         Eu, como contador, talvez tenha mais facilidade de entender, mas eu quero fazer um pedido exatamente para isto: temos que preservar as empresas sérias. Se ela tem alguma coisa, tudo bem, mas não há, pelo menos que eu conheça, nenhum indício de irregularidade nessa empresa. Então, na mesma linha do que o Senador Renan colocou da Jovem Pan, eu vejo assim: com a quebra de sigilo das empresas, a gente tem que ter um certo cuidado. Se tiver de fato alguma coisa clara de que há indício disso, tudo bem. Mas simplesmente porque saiu na mídia ou alguém falou alguma coisa? Tem coisa absurda que está sendo dita aí que é muita irresponsabilidade. Então, a gente precisa ter um certo cuidado com as empresas. Eu já fui empresário, sei o quanto é difícil você manter uma empresa, uma empresa que hoje... O Senador Humberto Costa foi ministro. E assim mesmo eu trabalhava lá, no período dele. Se fosse uma picaretagem, talvez ele mesmo teria retirado essa empresa, muito pelo contrário... Então, faço um apelo a isso... "
"10","38","2021-08-03","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Senador... "
