"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","39","2021-08-04","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Havendo número regimental, declaro aberta a 39ª Reunião da Comissão Parlamentar de Inquérito, criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia do covid-19, bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se ao depoimento do Coronel Marcelo Blanco da Costa, ex-assessor do Departamento de Logística do Ministério da Saúde, em atendimento ao requerimento do Senador Alessandro Vieira. Solicito que o depoente seja conduzido à Mesa.          A Comissão foi notificada de decisão liminar do Ministro Luiz Fux no Habeas Corpus 204495, nos seguintes termos: [...] firme nos precedentes desta Corte, concedo a liminar pretendida, a fim de que, no seu depoimento perante a CPI da Pandemia, e exclusivamente em relação aos fatos que o incriminem, o paciente tenha o direito de: (i) fazer-se acompanhar de advogado; (ii) permanecer em silêncio; (iii) não sofrer ameaça ou constrangimento em razão do exercício do direito contra a autoincriminação, excluída possibilidade de ser submetido a qualquer medida privativa de liberdade ou restritiva de direitos em razão do exercício dessas prerrogativas constitucionais. Por fim, à luz dos fundamentos anteriormente lançados, e como reconhecido na própria petição inicial deste writ, restam mantidos o dever de comparecimento e permanência na sessão, impondo-se, quanto aos fatos de que o paciente tenha conhecimento na qualidade de testemunha, o dever de depor e de dizer a verdade, nos termos da legislação processual penal. Eu peço à Mesa que me encaminhe aquele agravo que fizemos em relação à Sra. Emanuela, em que o Ministro Fux nos respondeu, para que eu possa ler a ele que será tratado por esta Mesa diretora aquele agravo feito, que é o mesmo da condição de testemunha do Coronel Blanco aqui nesta sessão. Eu quero ler para os advogados o agravo que fizemos, que serve também para outros casos:  ""A decisão proferida no dia 12/07/2021, sem qualquer inovação jurisprudencial no tema, ampara-se nos inúmeros precedentes do Supremo Tribunal Federal sobre a aplicação das garantias constitucionais processuais penais no âmbito da Comissão Parlamentar de Inquérito. Com efeito, a não autoincriminação tem assento constitucional, instaurando direito subjetivo, a ser exercido por qualquer cidadão, de não produzir prova contra si mesmo. Por óbvio, o primeiro juízo sobre o conteúdo desse direito compete ao seu próprio titular, a quem cabe a avaliação inicial sobre os impactos da produção de determinada informação sobre a sua própria esfera jurídica.         Nesse sentido, é o titular do direito quem exterioriza a primeira manifestação de vontade em relação ao exercício da não autoincriminação. Por outro lado, nenhum direito fundamental é absoluto, muito menos pode ser exercido para além de suas finalidades constitucionais. Nesse ponto, às Comissões de Parlamentares de Inquérito, como autoridades investidas de poderes judiciais, recai o poder-dever de analisar, à luz de cada caso concreto, a ocorrência de alegado abuso do exercício do direito de não [...] [autoincriminação]. Se assim entender configurada a hipótese, dispõe a CPI de autoridade para a adoção fundamentada das providências legais cabíveis. Nos estreitos limites da matéria posta no presente habeas corpus, ação constitucional que não comporta revolvimento de matéria fáticoprobatória, não compete ao Supremo Tribunal [...] se imiscuir no conteúdo do depoimento da Paciente, muito menos supervisionar previamente o exercício das atribuições jurisdicionais exclusivas da Comissão Parlamentar de Inquérito. Outrossim, compete à CPI fazer cumprir os regramentos legais e regimentais, estabelecendo, para tanto, as balizas necessárias para que investigados, vítimas e testemunhas possam exercer, nos limites próprios, seus direitos fundamentais, inclusive o direito da não autoincriminação."" Então, estou lendo isso aqui, que é uma decisão proferida pelo Ministro Fux quando do agravo que fizemos para ouvir a Sra. Emanuela. Então, só pra comunicar aos advogados. E pediria também aos nobres advogados que, na hora em que o Coronel Blanco estiver respondendo, não interferissem nas respostas. Ele pode se auxiliar a qualquer hora dos senhores, os senhores também podem se posicionar e se manifestar, mas, na hora em que for feita uma pergunta, não ficarem soprando, como ontem aconteceu aqui, por favor. Eu vou passar a palavra ao Coronel Blanco por 15 minutos. V. Exa. pode se posicionar. "
"2","39","2021-08-04","MARCELO BLANCO DA COSTA","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Obrigado, Senador Omar Aziz. Bom dia a todos. Exmo. Sr. Senador Omar Aziz, Presidente desta Comissão Parlamentar de Inquérito, na pessoa do qual cumprimento os demais Senadores e Senadoras aqui presentes e todo o corpo de servidores desta Casa. Num primeiro momento, gostaria de agradecer pela oportunidade a mim conferida de esclarecer atos e fatos a mim imputados, com a finalidade de contribuir com os trabalhos desta Comissão assim como elucidar eventuais narrativas, versões e inverdades aqui postas por outros depoentes e publicadas em alguns meios de comunicação. Em seguida, gostaria de me solidarizar com todas as famílias que perderam seus estimados entes, vivenciaram seus dramas e aflições. Sei perfeitamente do que se trata, pois, assim como tantos, também perdi pessoas próximas. Ainda sobre o traiçoeiro vírus, em agosto de 2020 vi, daqui de Brasília, minha esposa com um casal de filhos pequenos – um então com sete anos e a pequena com três – contraírem o vírus na cidade do Rio de Janeiro. E eu, para um desespero ainda maior, sem poder correr em socorro de minha família, pois me encontrava internado no Hospital das Forças Armadas, onde permaneci durante 12 dias com comprometimento pulmonar e necessitando de suporte de oxigênio. Ficar longe de minha família a fim de assumir e prosseguir na missão do Ministério da Saúde me cobrou um preço.         Após os cumprimentos iniciais e breve introdução, passo a me apresentar e tratar de um histórico resumido e demais detalhes ao meu respeito. Meu nome é Marcelo Blanco da Costa e sou militar do Exército Brasileiro. Ingressei nas Forças Armadas em 1987, permanecendo por mais de 31 anos na ativa e passando para a reserva em janeiro de 2018, já no posto de coronel. Ao longo da minha carreira militar, tive uma trajetória ilibada, sem responder a processos de qualquer natureza, quer seja disciplinar, penal ou de qualquer órgão de controle. Fruto dessa carreira exitosa e após rigoroso processo seletivo, fui nomeado, em 2015, comandante de uma unidade do Exército Brasileiro, missão considerada mais nobre para um oficial e que desempenhei no biênio 2016/2017. Após pouco mais de dois anos na reserva do Exército, no final de abril de 2020, fui convidado para compor a equipe do General Pazuello no Ministério da Saúde, cuja nomeação foi encarada como missão e esforço de guerra, diante da pandemia que se alastrava. Ficou bem claro que não teríamos horário de fim de expediente, sábado, domingo ou feriado, tudo em nome da busca da solução à pandemia mundial, algo cuja resposta era desconhecida de todos naquele momento. Tal convite se deu, dentre outros fatores, pelo fato de eu ter adquirido experiência durante a carreira nas áreas orçamentária, financeira e logística, além de ter realizado curso de especialização e extensão na Fundação Getúlio Vargas e Escola de Administração Fazendária, entre outros. Dentre as condições para assumir o cargo, manifestei meu interesse em não ocupar funções nas quais executasse orçamentos ou ordenasse despesas. Assim sendo, fui nomeado ao cargo de assessor do departamento logístico em 6 de maio de 2020, cujas funções eram de natureza consultiva. Aproximadamente oito meses depois, fui exonerado em 19 de janeiro de 2021, juntamente com outros três militares: Coronel Martinelli, Major Ramon e Coronel Guilherme. Destaco que, quando convidado, a proposta realizada pelo Ministro era de permanência por 90 dias, e somente após oito meses fui substituído pelo General Ridauto, atual diretor do departamento logístico, lembrando que o cargo é de livre nomeação e exoneração, não exigindo motivo determinado e específico para tal. Durante esses oito meses, dentre tantas demandas inerentes à rotina do ministério, entre os diversos encargos e atribuições, era o de atender a diversas agendas de reunião com inúmeros representantes de várias empresas dos mais diferentes segmentos da área de saúde, momento em que vários obtinham meus dados para contato, incluindo meu número de telefone móvel particular. Um desses representantes, recebido quando estava no MS, de nome Odilon, por ter meu contato, por meio de ligação telefônica, me contactou no início de fevereiro de 2021, a fim de informar que havia uma empresa norte-americana com a disponibilidade de 400 milhões de doses de AstraZeneca para entrega imediata a um preço bastante baixo e cujo representante era o Sr. Dominguetti.         Naquele momento, o Sr. Dominguetti se apresentava como representante de uma empresa multinacional denominada Latin Air Support, que supostamente seria representante da AstraZeneca, vacina já conhecida, com sede na Flórida, Estados Unidos, país que tem reputação de seriedade nos negócios, situação muito diferente do que veio a se descortinar após sua aparição em 29 de junho de 2021, na qual se constatou a sua situação de Cabo da ativa da Polícia Militar de Minas Gerais, que não representava nenhuma empresa, que havia tentado oferecer as mesmas vacinas em diversos Municípios, Estados e países estrangeiros em troca de cartas de intenção, LOI (letter of intent), e muito menos tinha o que dizia ter. Da mesma forma, o Sr. Cristiano era, conforme palavras de Dominguetti, o CEO da multinacional supracitada, que ainda se apresentava como consultor da McKinsey, a maior empresa de consultoria do mundo segundo ele, o que lhe conferia a confiança dos executivos norte-americanos. Sobre as conversas com Dominguetti, essas se iniciaram no início de fevereiro, quando fui informado por ele de que as tratativas sobre as supostas vacinas já haviam sido iniciadas por meio da Senah, em contato com a SVS, Secretaria Executiva do Ministério, mas que gostaria de enviar tais propostas ao departamento logístico, para que diversos departamentos do ministério tivessem ciência da irrecusável proposta, bem como se desse a celeridade que o caso requeria. Em relação à manifestação de interesse pelo Sr. Dominguetti, relatada a mim, a proposta era de apresentar tal oferta de vacinas ao departamento logístico. Naquele momento, após ele confirmar as quantidades, dizer que a entrega seria CIF e que se daria de maneira imediata, simplesmente fiz uma breve explanação de como se dava o rito processual formal no ministério, visto que ele não tinha nenhum raso conhecimento de como proceder perante aquele órgão, nem sobre a ritualística da contratação pública. Em seguida às informações prestadas pelo Dominguetti, eu lhe informo os e-mails institucionais do departamento logístico e do diretor e oriento que toda a documentação probatória deveria ser enviada por intermédio daqueles endereços eletrônicos institucionais, a fim de que, caso o ministério achasse oportuno, poderia instaurar um processo administrativo no SEI, com o respectivo NUP, que é aquele número de processo. Em seguida, informo ao ex-Diretor Roberto Dias, também por ligação, da existência de uma possível oferta de 400 milhões de doses de vacina e encaminho o contato do Sr. Cristiano, autointitulado CEO da empresa Latin Air Supply, perdão, Latin Air Support, que seria substituída pela Davati somente a partir de 26 de fevereiro de 2021. Cabe salientar que eu nunca ajudei na elaboração de documentos apresentados pelas empresas. Também não intermediei envio de tal documento junto ao Ministério da Saúde. Simplesmente orientamos a utilizar os meios oficiais, conforme pode ser constatado em conversa do dia 10 de fevereiro de 2021, com o Sr. Dominguetti. Da mesma forma, nunca acompanhei representante de qualquer empresa em visitas ao Ministério da Saúde ou qualquer órgão público. O meu intuito em relação ao Sr. Dominguetti se restringia ao desenvolvimento de um possível mercado de vacinas para o segmento privado, assunto que estava em discussão na sociedade civil por meio de interesse de grandes grupos econômicos brasileiros e das propostas de regulamentação no Congresso Nacional após a sanção da Lei 14.125, de 10 de janeiro de 2021, mais especificamente no seu art. 2º, que permitia a aquisição por pessoas jurídicas de direito privado. Tais alegações podem ser comprovadas pela série de mensagens trocadas com o Sr. Dominguetti, conforme serão projetadas neste momento.         Sim, conforme eu citei aqui, Presidente, eu gostaria de já começar a passar. Então, como eu falei aqui nas minhas palavras introdutórias, Dominguetti me procurou no início de fevereiro, e em seguida nós começamos a trocar algumas mensagens. Da minha parte, sempre que se iniciava algum tipo de interlocução da minha parte, eu sempre deixei muito claro, porque foi uma coisa que ele, ao apresentar as condições da suposta proposta dele, ele dizia que também seria destinada ao meio privado – tá? –, somente necessitando de uma liberação do laboratório AstraZeneca. Eram as palavras que ele utilizava. Então, a partir das primeiras... Ali está a primeira vez que eu troco alguma mensagem no aplicativo do WhatsApp com ele, onde eu já começo a conversar com ele sobre a rede privada. O próximo, por favor. "
"3","39","2021-08-04","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP. Para interpelar.)","Bloco Parlamentar Senado Independente","REDE","AP","Para interpelar","A primeira mensagem é de 9 de fevereiro? "
"4","39","2021-08-04","MARCELO BLANCO DA COSTA","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","É de 9 de fevereiro. "
"5","39","2021-08-04","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Bloco Parlamentar Senado Independente","REDE","AP","","Aquela da rede privada é de 9 de fevereiro? "
"6","39","2021-08-04","MARCELO BLANCO DA COSTA","","","","","","É de 9 de fevereiro, sim, senhor. Ainda 9 de fevereiro, eu continuo tratando sobre mercado privado, e, em função de a gente perceber no meio privado de alguns interessados, talvez até pelo mesmo assunto que se tratava no Parlamento de regulamentação da pauta, eu perguntei a ele se ele, Cristiano – pois eu acreditava que o Cristiano era o CEO da empresa no País, assim dito pelo próprio Dominguetti –, se eles poderiam vir a Brasília numa reunião com interlocutores no meio privado – está muito claro nessa mensagem. "
"7","39","2021-08-04","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Para interpelar.)","PSD","AM","Para interpelar","Só um minutinho. O primeiro contato, Coronel, que o senhor tem com o Dominguetti é do dia 9 de fevereiro? "
"8","39","2021-08-04","MARCELO BLANCO DA COSTA","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Não. "
"9","39","2021-08-04","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","É o primeiro? "
"10","39","2021-08-04","MARCELO BLANCO DA COSTA","","","","","","Não, não. A primeira... Ele me busca, não sei precisar o dia, mas talvez uma semana antes, no iniciozinho de fevereiro. "
