"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","41","2021-08-10","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Bom dia a todos e a todas! Havendo número regimental, declaro aberta a 41ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos nºs 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações e omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se ao depoimento do Sr. Helcio Bruno de Almeida, Presidente do Instituto Força Brasil, em atendimento a requerimento de autoria do Senador Randolfe Rodrigues. Eu vou pedir para o Coronel Helcio entrar e vou fazer aqui um pronunciamento em relação ao fato acontecido hoje. Logo após... "
"2","41","2021-08-10","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE)","Bloco Parlamentar da Resistência Democrática","PT","PE","","Peço a palavra pela ordem, depois de V. Exa. "
"3","41","2021-08-10","EDUARDO BRAGA","(Bloco Parlamentar Unidos pelo Brasil/MDB - AM)","Bloco Parlamentar Unidos pelo Brasil","MDB","AM","","Eu também peço pela ordem, após V. Exa. e o Senador Humberto Costa. "
"4","41","2021-08-10","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Para discursar.)","PSD","AM","Para discursar","Enquanto abrimos esta importante sessão da CPI, o Brasil passa por um momento grave. Aqui do nosso lado, no Eixo Monumental, o Presidente Jair Bolsonaro comanda um lamentável desfile de blindados das Forças Armadas em uma clara tentativa de intimidar Parlamentares e opositores. Bolsonaro imagina, com isso, estar mostrando força, mas, na verdade, está evidenciando toda a fraqueza de um Presidente acuado pelas investigações de corrupção, inclusive desta CPI, e pela incompetência administrativa, que provoca mortes, fome e desemprego em meio a uma pandemia sem controle.         O Presidente cria uma encenação, uma coreografia para mostrar que tem o controle das Forças Armadas e pode fazer o que quiser com o País. É um absurdo inaceitável. Não é um teatro sem consequências, mas um ataque frontal à democracia que precisa ser repudiado. O papel das Forças Armadas é defender a democracia, não a ameaçar. Desfiles como este serviriam para mostrar força para conter inimigos externos que ameaçassem a nossa soberania, o que não é o caso neste momento. As Forças Armadas jamais podem ser usadas para intimidar a sua população, seus adversários, atacar a oposição legitimamente constituída. Não há nenhuma previsão constitucional para isso. O Brasil vive o maior período democrático de sua história desde 1985. Temos eleições livres, instituições fortes e independentes dos Poderes. Bolsonaro não tem o direito de usar a máquina pública para ameaçar a própria democracia que o elegeu. Em apenas dois anos e meio de mandato, Bolsonaro colocou o País nessa situação vexatória; degradou as instituições e rebaixou as Forças Armadas, formadas, em sua grande maioria, por homens sérios e honrados, como pude presenciar de perto no meu Amazonas. Todo homem público, além de cumprir suas funções constitucionais, deveria ter medo do ridículo, mas Bolsonaro não liga para nenhum desses limites, como fica claro nessa cena patética de hoje, que mostra apenas uma ameaça de um fraco que sabe que perdeu. Não haverá voto impresso, não haverá nenhum tipo de golpe conta a nossa democracia. As instituições, Congresso à frente, não deixarão que isso aconteça. A democracia tem instrumentos para defender a própria democracia contra arroubos golpistas. Agressões à Constituição não são legítimas. Defender golpe não é aceitável. E defender o fim da democracia precisa ser punido com o rigor da lei. Nós, os democratas, estamos aqui a postos para defender a democracia e o nosso País com os instrumentos que a Constituição nos confere. Era este o recado que a CPI, eu, como Presidente da CPI, queria passar: a democracia é inegociável! Não se negocia a democracia. E aqueles que usam todos os meios para apoiar um golpe estão contra a democracia, estão cometendo um crime constitucional, independentemente do meio de comunicação – independentemente do meio de comunicação. Quem esteja, neste momento, apoiando esses tipos de atos, arroubos contra a democracia brasileira não pode passar impune. Nós já temos história, e a história da democracia brasileira cada ano se fortaleceu. Não é possível que, num país democrático, em que nós votamos e somos votados, em que perdemos ou ganhamos eleição, se questione isso num momento em que temos outros temas mais importantes para tratar na Nação. Pessoas morrendo todos os dias pela covid, a fome em vários cantos do País, o desemprego em alta, a economia cambaleando, e a discussão, a pauta é uma pauta superficial, golpista, que não leva o Brasil a lugar nenhum; nos torna um país pequeno, um país sem autonomia, um país sem rosto.         Nós não somos isso e não vamos permitir que aqueles que estão de plantão comandando qualquer instituição possam querer acabar com a democracia brasileira. Não aceitamos isso! Em 1984, estava eu, aqui em Brasília, quando o General Newton Cruz colocou seus tanques contra o voto direto: não houve o enfrentamento, mas a história registra até hoje. E, lá atrás, quando esse tipo de atitude foi tomada e não houve punição... Está acontecendo de novo. Por isso, o Congresso Nacional não pode se curvar a isso, é necessário que tome providências. Punição àqueles que, mesmo brincando, falam de golpe como se fosse uma coisa normal; àqueles que, de uma forma, de brincadeira, tratam a democracia como se fosse uma coisa que não deve ser respeitada. A democracia tem que ser respeitada, a divergência de opinião faz parte da democracia; o que não faz parte da democracia são arroubos e mostrar a força contra os próprios brasileiros. Mostre forças para aqueles possíveis inimigos de fora do País, aqueles que queiram atacar a soberania brasileira; não contra os brasileiros que construíram esta Nação! Não vamos permitir isso, e eu espero que a CPI da covid tome a frente disso e continue mostrando o desmando que esse Governo tem em relação à morte de milhares de brasileiros e à morte de milhões de sonhos neste momento. Agora no último domingo, Dia dos Pais, milhares de filhos não puderam passar o dia dos pais com os seus genitores. Por quê? Porque perderam seus pais para a covid, numa omissão clara do Governo que poderia ter salvado vidas. Nesse sentido, eu quero dizer a todos aqueles que estão nos ouvindo: o Senado, nós Senadores não nos curvaremos a arroubos. "
"5","41","2021-08-10","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE. Pela ordem.)","Bloco Parlamentar da Resistência Democrática","PT","PE","Pela ordem","Sr. Presidente, Sras. Senadoras, Srs. Senadores, não somente devemos registrar aqui as coisas negativas, mas as coisas positivas. E, aqui, eu queria parabenizar os atletas brasileiros que participaram da Olimpíada, que tiveram grandes resultados. Isso, em grande parte, ainda se deve a programas que foram feitos, lá atrás, nos Governos do Partido dos Trabalhadores. Vários atletas de alto rendimento hoje ainda têm a bolsa atleta. E quero também, aqui, parabenizar os que não conseguiram o sucesso nessa competição, mas é importante registrar esse momento fundamental. Segundo, eu quero parabenizar V. Exa. Cada dia me orgulho mais de ser integrante desta Comissão presidida por V. Exa., pela firmeza de suas posições, pela coragem cívica que V. Exa. demonstra a cada dia. E eu quero me colocar integralmente de acordo com a manifestação de V. Exa. E nós, além de integrantes de uma Comissão Parlamentar de Inquérito, somos Parlamentares, somos representantes da população. E, nesses momentos, é nossa obrigação nos manifestarmos em defesa da democracia. O Presidente da República, se tivesse tomado conta adequadamente do enfrentamento à pandemia; se tivesse implementado uma política econômica que fosse capaz de promover uma recuperação do País o mais rapidamente possível; se tivesse protegido trabalhadores, empresários, autônomos, certamente a situação do Brasil seria outra e a própria popularidade dele seria outra.         Na verdade, o Presidente da República, ao invés de trabalhar – ao invés de trabalhar –, passa 24 horas por dia gerando conflitos, fazendo campanha eleitoral antecipada e gastando dinheiro público. Quantas pessoas que estão morando nas ruas hoje porque não podem pagar um aluguel? Quantas pessoas que estão passando fome ou vivendo de donativos de cestas básicas? Quantas pessoas que estão sem ter a condição mínima de sobreviver? E o Presidente da República vai para o Amazonas para inaugurar uma ponte de R$200 mil e gasta R$700 mil; faz motociatas gastando dinheiro público; e, hoje, essa exibição totalmente desnecessária, desproporcional. É verdade que essa operação acontece há muitos anos, mas, em nenhuma vez, nós tivemos a passagem de tanques e lança-foguetes pela frente do Congresso Nacional, pela frente do Supremo Tribunal Federal, especialmente em momentos relevantes como este em que há um debate político, um debate parlamentar. Ninguém tem o direito de ganhar no grito. Ninguém tem o direito de intimidar o Parlamento brasileiro por conta de uma posição política. E tem mais: o apreço do Presidente a esse chamado voto impresso não é porque ele queira mais segurança na votação, é porque ele quer um pretexto para dizer que o sistema não é seguro, para desqualificar as urnas eletrônicas e, para o caso de ele perder a eleição, acusar a existência de fraude e tentar aplicar um autogolpe. Não! Trabalhe, melhore o Brasil que Vossa Excelência terá condições de disputar as eleições. Se continuar fazendo o que está fazendo hoje, não somente vai aprofundar a posição que o Brasil tem hoje de estar num buraco, como a população brasileira rejeitará, com toda a certeza, qualquer possibilidade de continuidade de um governo como este. Muito obrigado. Mais uma vez, parabéns, Presidente. "
"6","41","2021-08-10","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Senador Eduardo Braga. "
"7","41","2021-08-10","EDUARDO BRAGA","(Bloco Parlamentar Unidos pelo Brasil/MDB - AM. Pela ordem.)","Bloco Parlamentar Unidos pelo Brasil","MDB","AM","Pela ordem","Presidente Omar Aziz, colegas Senadores e Senadoras, democracia é o regime em que o povo, de forma soberana, escolhe, através do voto, os seus governantes. Democracia é o regime que estabelece liberdades indistintamente nos limites e na forma da lei. Democracia é o regime que respeita as minorias, sejam elas de que natureza forem. Democracia é o regime que respeita as diversidades. A minoria também é respeitada pelas suas opiniões, atos e gestos dentro da forma da lei.         Sr. Presidente, um desfile militar, no dia 7 de setembro, nada causaria neste País, porque nós estamos... E o povo brasileiro até gosta de ver o desfile militar no dia 7 de setembro. O que nos causa espécie e que causa espécie a todos aqueles que respeitam a democracia, protegem a democracia... E aqui o Senado tem uma função constitucional muito séria, Senador Renan. Nós somos os guardiões das instituições democráticas, o Senado; o Senado tem essa responsabilidade. No dia em que o Senado vai acabar com uma lei que é resquício da ditadura, a ""Lei de Segurança Nacional"", entre aspas, e vai votar a Lei do Estado Democrático, onde as liberdades estarão garantidas e as responsabilidades estarão garantidas na forma da lei. No dia em que vamos fazer isto, botar uma pedra sobre um resquício do período da ditadura, no dia em que a Câmara dos Deputados deverá também colocar uma pedra definitiva sobre a tentativa de um retrocesso... Que retrocesso é esse, Senador Omar? Voto impresso. Eu comecei na vida pública 40 anos atrás e eu sei das deficiências do voto impresso, eu sei das deficiências do mapismo manual, eu já fui vítima disso. As urnas eletrônicas brasileiras são seguras e podem ficar mais seguras, são seguras e podem ficar melhores. Agora nós estamos vivendo a época e a geração do open banking. Por que nós não podemos ter o banco de dados nas eleições salvaguardado em outro mainframe criptografado como backup das nossas eleições, podendo ser auditável em qualquer momento, em qualquer instante? Por que temos que propor uma lei em que lá em São Gabriel da Cachoeira, lá em Iauaretê, lá em Pari Cachoeira, nós vamos ter votos impressos que não vão chegar a Manaus com menos de cinco dias só para causar tumulto, só para causar instabilidade política, só para causar uma narrativa? Neste dia, Sr. Presidente, em que a Câmara, pelo que se anuncia, coloca uma pedra definitiva sobre essa tentativa, e o Senado, de forma definitiva, bota uma pedra sobre um resquício grave à liberdade, a Lei de Segurança Nacional, aí vem o Presidente da República dar uma demonstração de força, com tanques e aparatos bélicos desfilando sobre a Esplanada dos Ministérios. Quero dizer, Sr. Presidente, que fico com a democracia, fico com o artigo da Constituição que diz ""todo poder emana do povo e em nome do povo será exercido"". Fico também com a Constituição brasileira, que estabelece, nos seus direitos fundamentais, direitos individuais e coletivos, que asseguram a liberdade de expressão, que asseguram a liberdade da pluralidade da nossa sociedade, que asseguram um Estado laico, que asseguram, portanto, ao Brasil, o direito de ir e vir, e que, portanto, o fato de as Forças Armadas estarem indo e vindo não é uma questão jurídica; é uma questão do simbolismo democrático, do simbolismo do dia de hoje e do simbolismo dos tempos em que vivemos.         Portanto, Sr. Presidente, o MDB, um partido de 70 anos de tradição pela luta democrática, pela redemocratização brasileira, não poderia deixar de, lembrando Ulysses Guimarães, dizer que a nossa Constituição Cidadã é o farol que há de guiar a democracia brasileira. Já se vão 30 anos, e que nós possamos deixar um legado para as próximas gerações de mais 30, de mais 100, de mais 200 anos, como as democracias. Apenas para encerrar. Esta madrugada, fazendo minha reflexão, Sr. Presidente, me dei conta de que o Brasil é a terceira maior democracia do Planeta. Depois da Índia, depois do Estados Unidos, o Brasil é a terceira maior democracia do Planeta; décima segunda economia, terceira democracia do Planeta. Portanto, 210 milhões de brasileiros acreditam na democracia, votam pela democracia. E a nossa verdadeira arma é aquele documento verdinho, que, no dia 3 de outubro ou no primeiro domingo de outubro, irá representar a vontade do povo brasileiro para eleger o novo Presidente da República Federativa brasileira. É para isto que estamos aqui no Senado: para proteger, zelar pelas instituições democráticas. Os Poderes são independentes, entretanto harmônicos. E assim faremos, pelo nosso partido, e tenho certeza de que pelo conjunto do Senado da República, Sr. Presidente. "
"8","41","2021-08-10","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE)","Bloco Parlamentar da Resistência Democrática","PT","SE","","Sr. Presidente... "
"9","41","2021-08-10","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Muito bem lembrado, Senador Eduardo Braga, o Ulysses Guimarães. Teotônio Vilela foi outro homem que contribuiu muito pela redemocratização do País. Eu quero ouvir agora o Senador Otto Alencar, que está... "
"10","41","2021-08-10","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE)","Bloco Parlamentar da Resistência Democrática","PT","SE","","Presidente... "
