"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","44","2021-08-17","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Bom dia. Havendo número regimental, declaro aberta a 44ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações e omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se ao depoimento do Sr. Alexandre Figueiredo Costa Silva Marques, em atendimento aos Requerimentos 779, de autoria do Senador Humberto Costa, e 789, de autoria do Senador Alessandro Vieira. Eu peço que alguém possa acompanhar o nosso depoente até aqui.          A Comissão foi notificada da decisão liminar do Ministro Gilmar Mendes, no Habeas Corpus nº 203.381, nos seguintes termos: [...] concedo parcialmente a ordem de habeas corpus, para que a Comissão Parlamentar de Inquérito da Pandemia assegure ao paciente Alexandre Figueiredo Costa Silva Marques: (i) o direito ao silêncio, isto é, de não responder a perguntas que possam, por qualquer forma, incriminá-lo, sendo-lhe, contudo, vedado faltar com a verdade relativamente a todos os demais questionamentos não abrigados nesta cláusula; (ii) o direito a ser assistido por advogado [...] durante todo o depoimento; e (iii) o direito a ser inquirido com dignidade, urbanidade e respeito, ao qual, de resto, fazem jus todos depoentes, não podendo sofrer quaisquer constrangimentos físicos ou morais, em especial ameaças de prisão ou de processo, caso esteja atuando no exercício regular dos direitos acima explicitados. Os direitos acima explicitados são para não responder àquilo que possa incriminá-lo, mas não pode faltar com a verdade daquilo que não diretamente o incrimine. V. Sa. promete, quanto aos fatos de que tenha conhecimento, na qualidade de testemunha, sob a palavra de honra, nos termos do art. 203 do Código de Processo Penal, dizer a verdade ao que souber e lhe for perguntado? "
"2","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","","","","","","Senador, eu vou me valer do habeas corpus que me foi deferido. "
"3","44","2021-08-17","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","O habeas corpus... "
"4","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","","","","","","Mas vou esclarecer todos os fatos aqui. "
"5","44","2021-08-17","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","O habeas corpus... Vou esclarecer: o habeas corpus do Ministro Gilmar Mendes garante a V. Exa. não se comprometer. Caso o senhor minta em alguma questão em que nós entendemos que o senhor esteja mentindo, eu posso tomar as providências necessárias. "
"6","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","","","","","","Sim, senhor. "
"7","44","2021-08-17","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","V. Exa., se quiser, tem 15 minutos para falar. Depois eu passarei ao Relator. "
"8","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Senador Omar Aziz, Presidente desta Comissão; Senador Randolfe Rodrigues, Vice-Presidente desta Comissão; Senador Renan Calheiros, Relator desta Comissão; Sras. e Srs. Senadores; bom dia. Meu nome é Alexandre Figueiredo Costa Silva Marques, tenho 42 anos, sou casado e pai de dois filhos. Ingressei na Marinha do Brasil, aos 14 anos, para cursar o ensino médio no Colégio Naval. Sou bacharel em Ciências Navais pela Escola Naval, tendo concluído o curso de formação de oficiais fuzileiros navais em primeiro lugar na minha turma. Também sou bacharel em Direito, tendo me graduado na Faculdade Nacional de Direito da UFRJ. Trabalhei como oficial da Marinha do Brasil até 2006, quando, por questões familiares, decidi continuar servindo ao Brasil, só que não mais fardado. Passei a exercer o cargo de Especialista em Políticas Públicas e Gestão Governamental após ser aprovado no concurso público respectivo. Fiquei menos de dois anos no Ministério do Planejamento, uma vez que, logo em seguida, fui aprovado no concurso para o Tribunal de Contas da União. Assumi o cargo de Auditor Federal de Controle Externo em janeiro de 2008. Venho aqui hoje em um compromisso pessoal e de cidadania e estou à disposição pelo tempo que for necessário. No TCU, sempre atuei na área finalística, em fiscalizações e instruções de processos. Alguns dos trabalhos dos quais participei obtiveram o Prêmio Reconhecer pela sua qualidade e relevância. Minhas avaliações de desempenho sempre foram excelentes e, no último período avaliativo, fui escolhido servidor destaque da minha unidade técnica.         Como supervisor de auditoria, o meu papel era de contribuir com a equipe de fiscalização na realização da ação de controle, seja por meio da verificação da aderência aos normativos que regem os trabalhos, bem como através de uma supervisão ativa que ajude na elaboração de trabalhos com mais efetividade, seguindo as novas práticas de gestão de projetos incorporadas aos trabalhos de fiscalização do TCU a partir de 2018. Na fase de planejamento da fiscalização, cabe à equipe de auditoria e não ao supervisor definir, por meio da aplicação de técnicas de diagnóstico, a estratégia global de auditoria, o nível de asseguração, o escopo e o não escopo do trabalho, dentre outras questões. Fui designado para supervisionar o sexto ciclo do acompanhamento das medidas adotadas pelo Ministério da Saúde para o combate à crise gerada pela covid-19 no início de maio deste ano. Por já terem sido realizados anteriormente cinco ciclos neste acompanhamento, muita informação foi produzida, culminando cada ciclo com um relatório da equipe de auditoria, bem como apreciação e deliberação pelo plenário do TCU por meio de acórdãos. Ao longo das primeiras semanas de trabalho, procurei inteirar-me dos relatórios, votos do Ministro Relator e acórdãos dos quatro primeiros ciclos, bem como o relatório da equipe de auditoria referente ao quinto ciclo, o qual não havia ainda sido apreciado pela corte. Também participei, junto com a equipe, de algumas reuniões virtuais realizadas com a Fiocruz, Anvisa e Ministério da Saúde, além de termos feito algumas reuniões internas. Em um cenário no qual não havia previsão orçamentária, na Lei Orçamentária Anual 2021, de recursos para o combate à pandemia e em função da Deliberação 9.5.2 do Acórdão 2817-TCU-Plenário, comecei a pensar que seria bom discutir com a equipe se eventuais inconsistências de notificação poderiam causar uma distribuição dos recursos federais sem equidade e sem proporcionalidade às reais necessidades de cada ente subnacional. Assim, comecei a pesquisar na internet alguns pontos para começar a provocar essa discussão junto à equipe de auditoria. Peguei dados oficiais de óbitos no Portal da Transparência do Registro Civil, um site mantido pela Associação Nacional dos Registradores de Pessoas Naturais e desenvolvido para disponibilizar ao cidadão informações e dados estatísticos sobre nascimentos, casamentos e óbitos em conformidade com o Provimento nº 46 do Conselho Nacional de Justiça. Ao contrário do que foi divulgado na imprensa, apresentei essa compilação de informações à equipe de auditoria na segunda-feira, dia 31 de maio, às 14h58, em um arquivo de formato Word, dentro da área de postagens da equipe no Microsoft Teams, e falei por escrito com a equipe para ficarem à vontade para comentar, criticar ou mesmo ignorar o que eu havia escrito para provocar esse debate, uma vez que um arquivo em formato Word dentro do ambiente Microsoft Teams é um documento colaborativo e editável por todos os membros. Na conversa que tive com a colega que está coordenando o trabalho e que é aberta para toda a equipe, concordamos que seria impossível haver um conluio para deliberadamente supernotificar os casos de óbitos de covid-19. Ao longo da conversa, a fim de acrescentar mais informações ao debate, apresentei algumas considerações sobre se o próprio formulário de declaração de óbito poderia gerar inconsistências de lançamentos e, consequentemente, de notificações. No entanto, consideramos a dialética encerrada, sem que o tema entrasse no escopo do sexto ciclo de acompanhamento.         No domingo, dia 6 de junho, estava em casa com a família e aproveitei para incluir essas considerações sobre o formulário de declaração de óbito, que havia conversado com a equipe, no arquivo Word, para que, se, um dia, fosse revisitar o assunto, teria essas ideias arquivadas. Importante destacar que ainda estávamos na fase de planejamento, a qual estava prevista para se encerrar no dia 18 de junho, quando, então, seria concluída a matriz de planejamento com as questões de auditoria que seriam respondidas na execução do trabalho. Desde muito jovem, sempre conversei com meu pai sobre diversos assuntos, pois sempre tivemos uma relação franca e aberta, e ele é meu amigo e confidente. No domingo, depois de trabalhar no arquivo Word, encaminhei-o ao meu pai via Whatsapp. Assim que ele viu essa compilação de informações, perguntou-me qual era a fonte, e eu respondi que era eu, pois eu tinha compilado essas informações da internet. E, logo em seguida, mudamos de assunto, fomos conversar sobre outras coisas. Em nenhum momento, passou pela minha cabeça que ele compartilharia o arquivo com quem quer que fosse. O compilado de informações públicas que organizei para provocar um debate junto à equipe de auditoria estava em formato Word para ser trabalhado de forma colaborativa por todos os membros da equipe, sem cabeçalho nem qualquer menção ao TCU, exceto a citação da Deliberação 9.5.2 do Acórdão 2817/2020-TCU-Plenário, que é de domínio público. Como eu falei anteriormente, após conversar com a coordenadora da equipe, o debate não prosseguiu. O arquivo não era um papel de trabalho, uma instrução processual, um documento oficial do TCU, nada do tipo. Era apenas um debate preliminar e aberto, mas que foi considerado encerrado. Em nenhum momento, afirmei que houve supernotificação de óbitos por covid-19 no Brasil. Apenas havia compilado algumas informações públicas para provocar um debate junto à equipe de auditoria. A pandemia da covid-19 afeta gravemente a vida de tanta gente. Eu, assim como milhões de brasileiros, perdi pessoas próximas a mim por conta dessa doença. E, em meu trabalho no TCU, eu estava preocupado apenas com que os recursos públicos federais utilizados no combate a essa terrível doença chegassem aos entes subnacionais na proporção correta. "
"9","44","2021-08-17","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Passo a palavra ao Relator, o Senador Renan Calheiros. "
"10","44","2021-08-17","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","Como Relator","Sr. Presidente, Srs. Senadores, Sras. Senadoras, V. Sa., Alexandre Figueiredo Costa Silva Marques, é auditor e está aqui perante esta Comissão Parlamentar de Inquérito, porque foi o responsável por produzir esse relatório referido por Jair Bolsonaro, irresponsavelmente, como de auditoria de Tribunal de Contas da União para justificar o seu discurso negacionista. O tribunal imediatamente desmentiu o Presidente da República, que teve que se retratar publicamente. Na semana passada, descobriu-se adicionalmente, Senador Girão, que o relatório do Alexandre Figueiredo, não bastassem as informações equivocadas, ainda foi falsificado na Presidência da República para divulgação em redes sociais.          Antes de fazer a pergunta, eu gostaria de pedir à Isabele que, por favor, exiba o vídeo 1 e, se puder, também o vídeo 2. (Procede-se à exibição de vídeo.) "
"11","44","2021-08-17","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","V. Sa. confirma que produziu o relatório citado pelo Presidente da República, segundo o qual haveria supernotificação intencional do número de óbitos pela covid no Brasil? "
"12","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Senador, eu produzi um arquivo em Word com algumas informações públicas, mas não era conclusivo esse arquivo. Como eu falei, ele foi feito pra gerar uma discussão dentro da equipe de auditoria. Não havia uma conclusão nesse sentido. "
"13","44","2021-08-17","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","De onde foram, por favor, retiradas as informações que embasaram esse relatório desse artigo? "
"14","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","","","","","","Foi do Portal da Transparência do Registro Civil. É um site da Associação Nacional dos Registradores das Pessoas Naturais. "
"15","44","2021-08-17","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Eu peço para exibir, por favor, o vídeo 2. (Procede-se à exibição de vídeo.)         "
"16","44","2021-08-17","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Em relação ao seu interrogatório, Sr. Alexandre Figueiredo, no Tribunal de Contas da União, V. Sa. confirma que o relatório elaborado sobre supernotificação de mortes por covid no Brasil foi falsificado e utilizado indevidamente pelo Presidente da República? "
"17","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","","","","","","Senador Renan, só uma questão. Não era um relatório. Era simplesmente um arquivo em Word, sem nenhuma oficialidade, não é? "
"18","44","2021-08-17","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Não, mas o Senador Renan fala em relatório porque o Presidente Jair Bolsonaro fala que recebeu um relatório do TCU. "
"19","44","2021-08-17","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Relatório, exatamente. "
"20","44","2021-08-17","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Não é o Senador Renan Calheiros que está dizendo. "
"21","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","","","","","","Sim. Sim. "
"22","44","2021-08-17","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Ali o Presidente fala que recebeu um relatório do TCU, mas o TCU não vai mostrar e a imprensa não vai publicar. Por isso é que ele está falando de relatório. "
"23","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","","","","","","Certo. "
"24","44","2021-08-17","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","É porque é como foi chamado, segundo o Presidente – é isso mesmo –, pelo Presidente da República. "
"25","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","","","","","","O senhor pode só repetir a pergunta, Senador? "
"26","44","2021-08-17","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Em relação ao interrogatório no Tribunal de Contas da União que acabamos de ver, V. Sa. confirma que o relatório elaborado por V. Exa. sobre notificação de mortes por covid-19 no Brasil foi falsificado e utilizado indevidamente pelo Presidente da República?         "
"27","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","","","","","","Senador, isto eu não tenho como confirmar, que foi falsificado, que o que ele utilizou foi falsificado. Eu recebi – acho que circulou nas redes sociais, no WhatsApp – uma versão em PDF desse arquivo e com a inscrição do Tribunal de Contas da União no cabeçalho. "
"28","44","2021-08-17","ALESSANDRO VIEIRA","(PDT/CIDADANIA/REDE/CIDADANIA - SE)","(PDT/CIDADANIA/REDE/CIDADANIA - SE)","CIDADANIA","SE","","Sr. Relator, o senhor me permite uma pequena colaboração? "
"29","44","2021-08-17","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Por favor. "
"30","44","2021-08-17","ALESSANDRO VIEIRA","(PDT/CIDADANIA/REDE/CIDADANIA - SE. Para interpelar.)","(PDT/CIDADANIA/REDE/CIDADANIA - SE. Para interpelar.)","CIDADANIA","SE","Para interpelar","Objetivamente, o senhor só fez envio do documento para o seu pai? "
"31","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Exatamente, em Word. "
"32","44","2021-08-17","ALESSANDRO VIEIRA","(PDT/CIDADANIA/REDE/CIDADANIA - SE)","(PDT/CIDADANIA/REDE/CIDADANIA - SE)","CIDADANIA","SE","","E seu pai lhe informou que fez o envio para quem? "
"33","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","","","","","","Para o Presidente da República, o mesmo arquivo em Word. "
"34","44","2021-08-17","ALESSANDRO VIEIRA","(PDT/CIDADANIA/REDE/CIDADANIA - SE)","(PDT/CIDADANIA/REDE/CIDADANIA - SE)","CIDADANIA","SE","","Perfeito. "
"35","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","","","","","","Foi o que ele me falou. "
"36","44","2021-08-17","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","Como Relator","Então a pergunta: V. Exa. confirma que esse material foi utilizado indevidamente? "
"37","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Sim, indevidamente no sentido de... "
"38","44","2021-08-17","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","V. Sa. disse isso no interrogatório do Tribunal de Contas. "
"39","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","","","","","","Exatamente. Indevidamente pelo fato de se atribuir ao Tribunal de Contas da União um arquivo de duas páginas não conclusivo que não era um documento oficial do tribunal. "
"40","44","2021-08-17","FABIANO CONTARATO","(PDT/CIDADANIA/REDE/REDE - ES)","(PDT/CIDADANIA/REDE/REDE - ES)","REDE","ES","","Me permita, Relator? Serei breve: 30 segundos. "
"41","44","2021-08-17","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Por favor. "
"42","44","2021-08-17","FABIANO CONTARATO","(PDT/CIDADANIA/REDE/REDE - ES)","(PDT/CIDADANIA/REDE/REDE - ES)","REDE","ES","","Eu sugiro que esta Comissão recolha e solicite ao Tribunal de Contas da União todas as provas que foram coletadas, porque essa medida é autorizada nos termos do art. 372 do Código de Processo Civil, bem como com a Súmula 591. Eu acho que todas as provas coletadas no Tribunal de Contas da União no âmbito administrativo podem contribuir, e muito, para a apuração aqui na CPI. Muito obrigado, Sr. Relator. "
"43","44","2021-08-17","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Essa falsificação... Muito obrigado, Senador Contarato. "
"44","44","2021-08-17","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Senador Renan, desculpe-me. Eu vou pedir aos Senadores, por melhor que seja a contribuição, eu vou pedir aos Senadores que esperem a sua vez para citar qualquer coisa em relação... É anotar, e a gente cita, senão a gente começa a tumultuar. Eu vou pedir encarecidamente aos meus colegas Senadores para a gente se pautar nessa questão, por favor. "
"45","44","2021-08-17","SAVIO DE FARIA CARAM ZUQUIM","(Para expor.)","(Para expor.)","(Para expor.)","(Para expor.)","(Para expor","Sr. Presidente, é só um esclarecimento ao Senador: as provas já estão compartilhadas, por requerimento de V. Exas. "
"46","44","2021-08-17","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","Como Relator","E aí eu volto para a pergunta feita pelo Senador Alessandro. Então, essa falsificação foi feita após o envio dos documentos por seu pai à Presidência da República? "
"47","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Sim, senhor, foi feita após. "
"48","44","2021-08-17","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","V. Sa. afirmou também que presume que o documento foi editado depois de enviado por seu pai à Presidência da República. Em sua opinião, quem poderia ter sido o responsável pela edição, pela falsificação? "
"49","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","","","","","","Senador, isso realmente não tem como eu responder, porque, a partir do momento em que o arquivo cai na mão de outras pessoas... E, hoje em dia, a internet tudo viraliza, não é? Tudo é compartilhado rapidamente. Então, não tem como eu presumir de ninguém, a autoria de ninguém dessa alteração. "
"50","44","2021-08-17","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","V. Sa. declarou em seu interrogatório também que ficou atônito com o discurso do Presidente da República em que se divulgou seu relatório, seu documento, seu material. V. Sa. disse que o discurso do Presidente da República foi totalmente irresponsável e lhe causou indignação. V. Sa. confirma isso? "
"51","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","","","","","","Sim, senhor, eu confirmo que falei isso no depoimento. "
"52","44","2021-08-17","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","V. Sa. pode detalhar esse espanto, essa indignação? "
"53","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","","","","","","Bom, Senador, a minha indignação foi pelo fato de ter sido atribuída ao Tribunal de Contas da União a responsabilidade por um documento que não era um documento oficial, que não era uma instrução processual, que não era nada do Tribunal de Contas da União.         Então, vincular o nome do Tribunal de Contas da União a um arrazoado de duas páginas não conclusivo eu achei irresponsável. "
"54","44","2021-08-17","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Alguém determinou elaboração desse documento, ou sua elaboração decorreu de motivação pessoal? "
"55","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","","","","","","Não, senhor, não houve determinação. Dentro da nossa atuação como auditores do Tribunal de Contas da União, nós temos a nossa competência de prospecção, de identificar teses, linhas de possíveis investigações nos nossos trabalhos. "
"56","44","2021-08-17","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Mais uma vez, em que sistema corporativo esse relatório foi inserido? Ou esse documento estava apenas em suas pastas pessoais ou da unidade no Tribunal de Contas? "
"57","44","2021-08-17","ALEXANDRE FIGUEIREDO COSTA SILVA MARQUES","","","","","","Senador, como eu falei, eu compartilhei esse arquivo em Word no Microsoft Teams, que é uma sala de trabalho virtual. Hoje em dia, o tribunal trabalha muito remotamente, os servidores lotados em diversas unidades da Federação. Então, nós usamos o Microsoft Teams como uma área de trabalho virtual, mas não houve inclusão no e-TCU, que é o sistema processual formal do tribunal. Isso nunca aconteceu. "
