"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","45","2021-08-18","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP. Fala da Presidência.)","REDE","AP","Fala da Presidência","Havendo número regimental, declaro aberta a 45ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações e omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se ao depoimento do Sr. Túlio Silveira, representante da Precisa Medicamentos, em atendimento ao requerimento de autoria de S. Exa. o Senador Alessandro Vieira. Solicito que o depoente seja conduzido à mesa.           A comissão foi notificada de decisão liminar de S. Exa. o Ministro Luiz Fux, no Habeas Corpus nº 204.492, no qual o impetrante alegou que o sigilo profissional estabelecido no Estatuto da Advocacia albergaria a manutenção do seu silêncio durante todo o depoimento. A decisão de S. Exa. o Ministro Luiz Fux, Presidente do Supremo Tribunal Federal, foi no seguinte sentido: Direito contra a autoincriminação tem acento constitucional, instaurando direito subjetivo a ser exercido por qualquer cidadão de não produzir prova contra si mesmo. Por óbvio, o primeiro juízo sobre o conteúdo desse direito compete ao seu próprio titular, a quem cabe [e aqui grifo desta Comissão Parlamentar de Inquérito] a avaliação inicial sobre os impactos da produção de determinada informação sobre a sua própria esfera jurídica. Nesse sentido, é o titular do direito quem exterioriza a primeira manifestação de vontade em relação ao exercício da não autoincriminação. Por outro lado, nenhum direito fundamental é absoluto, muito menos pode ser exercido para além de suas finalidades constitucionais. Neste ponto, às Comissões Parlamentares de Inquérito, como autoridades investidas de poderes judiciais, recai o poder-dever de analisar, à luz de cada caso concreto, a ocorrência de alegado abuso de exercício do direito de não-incriminação. Se assim entender configurada a hipótese, dispõe a CPI de autoridade para adoção fundamentada das providências legais cabíveis. Concedo, portanto [e esta é a decisão de S. Exa. o Ministro Luiz Fux], a liminar pretendida a fim de que, no seu depoimento perante a CPI da Pandemia, e exclusivamente em relação aos fatos que o incriminam, o paciente tenha o direito de: i) fazer-se acompanhar de advogado; ii) permanecer em silêncio; iii) não sofrer ameaça ou constrangimento em razão do exercício do direito contra a autoincriminação, excluída a possibilidade de ser submetida a qualquer medida privativa de liberdade ou restritiva de direitos, em razão do exercício dessas prerrogativas constitucionais. Por fim, à luz dos fundamentos anteriormente lançados, indefiro o pedido de não comparecimento ou de retirar-se da sessão, impondo-se, quanto aos demais fatos de que o paciente tenha conhecimento na qualidade de testemunha, o dever de depor e de dizer a verdade, nos termos da legislação processual penal. É a síntese da decisão de S. Exa. o Ministro Luiz Fux. A decisão nos parece clara no sentido de que, quanto aos fatos de que V.Sa. o Sr. Túlio tenha conhecimento, na qualidade de testemunha, há o dever de depor, de dizer a verdade, nos termos da legislação processual penal e da decisão de S. Exa. o Ministro Luiz Fux; assim como, obviamente, o direito, e assim saúdo e dou boas-vindas à douta defesa do paciente, do depoente no dia de hoje.  "
"2","45","2021-08-18","EDUARDO DE VILHENA TOLEDO","","","","","","Sr. Presidente... "
"3","45","2021-08-18","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Pela ordem. "
"4","45","2021-08-18","EDUARDO DE VILHENA TOLEDO","","","","","","V. Exa. me permitiria um aparte, por favor? "
"5","45","2021-08-18","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Parece-me que teremos duas questões de ordem de inauguração. A Presidência concede à douta defesa; em seguida, à Senadora Simone Tebet, para darmos prosseguimento. Pois não.         "
"6","45","2021-08-18","EDUARDO DE VILHENA TOLEDO","(Para expor.)","(Para expor.)","(Para expor.)","(Para expor.)","(Para expor","Exmo. Senador Presidente desta ilustrada Comissão, Exmo. Sr. Senador Relator, eminentes relatores componentes desta Comissão Parlamentar de Inquérito e de suma relevância. Sr. Presidente, a defesa agradece a palavra concedida por V. Exa. pra colocar um assunto extremamente caro à democracia e à advocacia brasileira. Nós estamos aqui perante uma convocação de uma pessoa que, ao contrário do que a imprensa salientou e propagou, não é consultor jurídico da empresa Precisa, mas, sim, advogado, advogado contratado pela empresa Precisa. E todo conhecimento que ela detém do objeto que ora é investigado perante esta egrégia Comissão foi-lhe passado, foi-lhe dado conhecimento na qualidade de advogado. Assumimos a defesa recentemente do Dr. Túlio, já após a impetração do habeas corpus, e na impetração do habeas corpus ficou assegurado pelo Supremo Tribunal Federal que, quanto aos fatos em que ele venha a ser investigado, ele está isento de prestar compromisso e isento de responder, diante da garantia constitucional de assegurar a presunção de inocência. Mas aqui há um detalhe especial em que eu peço a deliberação da Comissão, considerando que nós temos um arcabouço jurídico que resguarda a primeira grande garantia da advocacia e do direito de defesa, que é o sigilo de comunicação e de dados entre advogados e clientes. Para que V. Exas. tenham uma ideia da irrelevância e da importância desse dado, esta Casa parlamentar, a Casa mais alta, o Parlamento mais alto brasileiro, sancionou inúmeras leis nesse sentido. Cito como exemplo o Estatuto da OAB, no art. 7º, inciso XIX: ""recusar-se a depor como testemunha em processo no qual funcionou ou deva funcionar, ou sobre fato relacionado com pessoa de quem seja ou foi advogado, mesmo quando autorizado ou solicitado pelo constituinte, bem como sobre fato que constitua sigilo profissional"". Neste mesmo diapasão, Sr. Presidente, nós temos o Código de Processo Penal, que também resguarda o advogado, que também resguarda o direito de defesa, que resguarda, além do direito de defesa, o Estado democrático de direito, no sentido de vedar ao advogado se pronunciar ao ser inquirido sobre fato de que tenha tomado conhecimento na qualidade de advogado. E mais recentemente, esta Legislatura aprovou a lei de crime de abuso de autoridade, considerando tão relevante essa garantia, seja para o exercício do direito de defesa, seja para a constituição do Estado democrático, que erigiu como crime, no sentido de que, no seu art. 5 dispôs: ""Constranger a depor, sob ameaça de prisão, pessoa que, em razão de função, ministério, ofício ou profissão, deva guardar segredo ou resguardar sigilo"". No caso, o meu cliente foi constituído pela Precisa para ser advogado da Precisa no início de 2020, ou seja, bem antes do início do processo de contratação e de compra e venda de vacinas. Então, toda essa matéria de que ele tomou conhecimento, de que teve conhecimento, em que participou de reuniões, foi na qualidade de advogado e, dentro dessa qualidade, deve ser preservado por esta Casa o seu sigilo profissional.         A decisão a ser proferida aqui, pela grandeza desta Casa, vai espelhar, caso deferido e insistido que ele viole sigilo profissional, que amanhã nós tenhamos milhares de delegados de polícia a intimar advogados para que prestem depoimento sobre fatos que tiveram conhecimento sob o sigilo profissional. A grandeza dessa matéria, o custo dessa matéria para o Estado democrático de direito e, sobretudo, para a advocacia é gravíssimo. Tivemos a oportunidade de fazer uma consulta à OAB/DF, onde o meu constituinte é registrado, e a OAB/DF foi precisa em dizer que em hipótese alguma e em circunstância alguma, seja na qualidade de investigado, seja na qualidade de testemunha, seja perante o Poder Judiciário, seja perante uma Comissão Parlamentar de Inquérito, seja perante o Ministério Público Federal, o cliente está autorizado a revelar segredo de que tomou conhecimento em razão do ofício de advogado. Assim, diante dessas circunstâncias – diante dessas circunstâncias –, é que a defesa pede a análise por parte desta Comissão para que reconsidere a possibilidade de ouvi-lo nesta Comissão, tendo em vista que o objeto certo e preciso dela envolve todos fatos relacionados ao exercício da profissão de advogado, portanto é vedado colocá-lo; ou, caso contrário, que ao menos respeite o direito ao silêncio, sem sancioná-lo em razão da farta legislação aqui citada. O prejuízo para a democracia é imensurável se obrigar um advogado a tomar conhecimento, a falar sobre fatos de que tomou conhecimento. Os prejuízos pessoais também são incalculáveis, considerando que um processo ético-administrativo – porque não há subordinação a esta Comissão, a OAB é livre para instruí-lo e julgá-lo – poderá resultar, demandando o prejuízo que cause a violação do sigilo, inclusive na cassação do seu registro profissional, ou seja, na impossibilidade de exercer a profissão para o qual se preparou. Então, diante dessas ponderações, com o mais absoluto respeito a esta Comissão, é que se pede que reconsidere a convocação ou se respeite o direito ao silêncio, porque há valores preciosos e grandiosos que irão ser respeitados nesse momento. Muito obrigado. "
"7","45","2021-08-18","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Obrigado. "
"8","45","2021-08-18","SIMONE TEBET","(Bloco Parlamentar Unidos pelo Brasil/MDB - MS)","Bloco Parlamentar Unidos pelo Brasil","MDB","MS","","Pela ordem. "
"9","45","2021-08-18","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Eu vou passar... Eu vou devolver a Presidência ao seu... Vou repassar a Presidência para o seu titular. Nós temos questão de ordem, Sr. Presidente, da Senadora Simone Tebet, do Senador Marcos Rogério e, agora, do Senador Izalci Lucas. "
"10","45","2021-08-18","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE. Fora do microfone.)","Bloco Parlamentar da Resistência Democrática","PT","PE","Fora do microfone","Eu queria pedir pela ordem depois. "
"11","45","2021-08-18","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","E, em seguida, do Senador Humberto Costa. Então, essa é a ordem das questões de ordem a serem proferidas aqui. "
"12","45","2021-08-18","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","CIDADANIA","MA","","Também solicito um pela ordem, Presidente. "
"13","45","2021-08-18","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Eu queria sugerir, para deixar já a Presidência ao seu titular, três minutos para cada colega proferir a sua questão de ordem. Ao final das questões de ordem, esta Presidência – e aqui já com seu titular – deferirá, deliberará sobre a questão de ordem aqui apresentada pela douta defesa. Então, devolvo, retorno à Presidência ao seu titular, para o encaminhamento e resolução posterior.          "
"14","45","2021-08-18","Randolfe Rodrigues","PRESIDENTE","(Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Desculpe-me. Questão de ordem começa com a Senadora Simone Tebet. "
