"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","46","2021-08-19","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Havendo número regimental, declaro aberta a 46ª Reunião da Comissão Parlamentar de Inquérito, criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações e omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se à apreciação de requerimentos e à oitiva do Sr. Francisco Emerson Maximiano, em atendimento ao requerimento do Senador Alessandro Vieira.  Passo a palavra ao Relator, para votarmos os requerimentos pautados, de transferência de sigilo, convocação, convite e outros temas. "
"2","46","2021-08-19","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","Como Relator","Sr. Presidente, há 187 requerimentos pautados, informa-nos a Secretaria da Comissão Parlamentar de Inquérito, de transferência de sigilo, convocação, convite, entre outros temas.         Eu sugiro, para maior celeridade, tendo em vista termos um depoimento importante logo em seguida, que apreciemos os requerimentos em globo. "
"3","46","2021-08-19","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Em discussão. "
"4","46","2021-08-19","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","CE","","Eu queria fazer uma solicitação, Presidente, solicitação de destaque. "
"5","46","2021-08-19","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois não. "
"6","46","2021-08-19","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE. Pela ordem.)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","CE","Pela ordem","Pela ordem, Sr. Presidente, respeitosamente, eu queria falar que tomei conhecimento... "
"7","46","2021-08-19","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","V. Exa. me diz quais são os destaques, Senador Eduardo Girão. "
"8","46","2021-08-19","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","CE","","Eu vou dizer. "
"9","46","2021-08-19","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Depois o senhor defende um a um, porque são destaques... "
"10","46","2021-08-19","EDUARDO GIRÃO","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - CE)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","CE","","Não, eu vou fazer os destaques, eu só queria, primeiramente, dizer que, mais uma vez, os requerimentos de minha autoria foram ignorados na CPI. São cento e oitenta e... Quantos requerimentos? São 187 que nós vamos votar hoje, e mais uma vez nós não tivemos requerimentos pra ouvir a Cristiana Prestes, que é da indústria que vendeu os 300 respiradores pro Consórcio Nordeste, mais uma vez a gente não vai ouvir o Bruno Dauster, que é o Secretário da Casa Civil que foi exonerado por causa do escândalo. "
