"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","47","2021-08-24","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Bom dia a todos e a todas! Havendo número regimental, declaro aberta a 47ª Reunião da Comissão Parlamentar de Inquérito, criada pelos Requerimentos nºs 1.371 e 1.372, de 2021, para apurar ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações e omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se ao depoimento do Sr. Emanuel Ramalho, em atendimento aos Requerimentos nºs 986, de autoria do Senador Alessandro Vieira, e 1.394, de autoria do Senador Randolfe Rodrigues. Solicito que o depoente seja conduzido à mesa. "
"2","47","2021-08-24","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Presidente, assim que V. Exa... "
"3","47","2021-08-24","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois não. "
"4","47","2021-08-24","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.)","(PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.)","REDE","AP","Pela ordem","Só um rápido pela ordem, Presidente, só para trazer uma informação que considero pertinente a esta Comissão Parlamentar de Inquérito. Sr. Presidente, já se comentou aqui, nesta Comissão Parlamentar de Inquérito, sobre o desenvolvimento, por parte da Pfizer, de um eventual medicamento oral, que estava sendo desenvolvido por aquela farmacêutica em relação à SARS-CoV-2, à covid-19. Já foi comentado nesta Comissão Parlamentar de Inquérito e, por conta de informações que nós entendemos que não estavam devidamente esclarecidas, nós aprovamos um requerimento de informações à farmacêutica. Eu queria comunicar a V. Exa. a resposta por parte da farmacêutica neste momento a este requerimento de informações. Diz o seguinte: Ao cumprimentá-lo respeitosamente, e conforme requerido, gostaríamos de compartilhar com V. Sa. informações sobre o andamento de um estudo para avaliar a segurança e a tolerabilidade de um medicamento antiviral para a SARS-CoV-2 que causa a COVID-19. Trata-se de um medicamento oral – a molécula PF-07321332 –, um inibidor de protease SARS-CoV-2 que demonstrou, em estudos pré-clínicos, potente atividade antiviral in vitro contra SARS-CoV-2 e outros coronavírus, revelando possível importância no tratamento farmacológico da COVID-19, além de ameaças futuras do vírus. Conforme disponível publicamente, em março de 2021, a Pfizer deu início a um estudo da Fase 1 em adultos saudáveis para avaliar a segurança, tolerabilidade e farmacocinética desse composto experimental. Em julho de 2021, progredimos para o ensaio de Fase 2/3 para avaliar a eficácia e segurança de PF-07321332 em combinação com ritonavir em voluntários com diagnósticos confirmados de infecção por SARS-CoV-2 que apresentam risco aumentado de progressão para doença grave.         Agora eu quero destacar, Sr. Presidente, Sr. Relator, este parágrafo que a farmacêutica escreve: Gostaríamos de esclarecer que o medicamento em estudo não apresenta qualquer semelhança com a hidroxicloroquina (utilizado como antimalárico para tratamento de algumas doenças reumatológicas), [com a] azitromicina ([que é um] antibiótico) ou [com a] ivermectina ([que é um] antiparasitário), ou seja, são compostos com estruturas químicas e mecanismos de ação totalmente diferentes. Eu reitero o que diz aqui a farmacêutica: ""são compostos com [...] mecanismos de ação totalmente diferentes"". Como o programa de desenvolvimento dessa molécula ainda está em fase de pesquisa e desenvolvimento, não é possível estimar neste momento quando esse medicamento seria submetido à análise das autoridades regulatórias. Agradecemos a atenção dispensada. Então, Sr. Presidente, só para deixar claro este parágrafo dito pela farmacêutica Pfizer. Tudo bem, como o negacionismo não tem limites, eu sei que deverá haver alguns que vão advogar que isso é uma fala da Pfizer e deve fazer parte de uma conspiração globalista interplanetária, talvez com conexões em Marte, e talvez também com a participação de alguma internacional socialista. Obviamente, como o negacionismo, a imaginação do negacionismo não tem limites, isso pode ser argumentado. Mas, só para informar a todos que assistem a esta Comissão Parlamentar de Inquérito: o medicamento desenvolvido pela Pfizer ainda está em desenvolvimento. E reitero o parágrafo do que a Pfizer diz: não tem nenhum tipo de relação com a hidroxicloroquina, com a ivermectina, que, como muito bem disse em relação à ivermectina a agência sanitária norte-americana, nós não somos cavalo, nós não somos gado para utilizar o antiparasitário em relação à SARS-CoV-2. Isso não foi dito por mim, Sr. Presidente; foi dito pela agência sanitária norte-americana e, também, dito agora por esta carta da Pfizer. Obrigado. "
"5","47","2021-08-24","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Então, ela explica bem aí o que é um antiviral, diferente do que para o que serve a cloroquina, a ivermectina, que não tem nada a ver com tratamento de... "
"6","47","2021-08-24","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Sr. Presidente, a Pfizer se deu ao trabalho de destinar um parágrafo desta carta dizendo que o medicamento em estudo não tem nada a ver com a hidroxicloroquina. A Pfizer ainda teve o trabalho de dizer que a hidroxicloroquina é um antimalárico e para doenças reumatológicas. A Pfizer se deu ao trabalho ainda de dizer que a azitromicina é um antibiótico. E a Pfizer se deu ao trabalho ainda de dizer que a ivermectina é um antiparasitário. Mas – eu repito –, como a imaginação negacionista não tem limites, pode ser que ainda digam que essa carta da Pfizer é o resultado de uma conspiração globalista interplanetária. "
"7","47","2021-08-24","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Eu pediria a V. Exa., Senador Randolfe, que mantivesse isso em todas as sessões que ainda nos restam, para que, quando alguém, algum Senador ou algum depoente aqui levantar essa questão, V. Exa. possa já ter em mãos e ler até eles cansarem de ouvir e a população brasileira com certeza ser esclarecida, porque o objetivo desta CPI não é criminalizar, mas esclarecer o que foi feito com o povo brasileiro em relação a esse tratamento precoce. "
"8","47","2021-08-24","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Perfeitamente, Presidente. Inclusive, o requerimento, aliás, a resposta da farmacêutica, eu queria requisitar à Secretaria da CPI que disponibilizasse para todas as Sras. e os Srs. Senadores.         "
"9","47","2021-08-24","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Obrigado. A Comissão tomou conhecimento da decisão liminar do Sr. Ministro Gilmar Mendes, no Habeas Corpus nº 205.606, nos seguintes termos: [...] concedo a ordem de habeas corpus, para que a Comissão Parlamentar de Inquérito da Pandemia assegure ao paciente Emanuel Ramalho [..]: (i) o direito ao silêncio, isto é, de não responder a perguntas que possam, por qualquer forma, incriminá-lo, sendo-lhe, contudo, vedado faltar com a verdade relativamente a todos os demais questionamentos não abrigados nesta cláusula; (ii) o direito a ser assistido por advogado ou advogada durante todo o depoimento; e (iii) o direito a ser inquirido com dignidade, urbanidade e respeito, ao qual, de resto, fazem jus todos depoentes, não podendo sofrer quaisquer constrangimentos físicos ou morais, em especial ameaças de prisão ou de processo, caso esteja atuando no exercício regular dos direitos acima explicitados. Um dos pedidos formulados no habeas corpus foi o de que V. Sa. não fosse obrigado a firmar compromisso de dizer a verdade, pedido este que não foi deferido. Nesse sentido, a V. Sa., quanto aos fatos de que tenha conhecimento na qualidade de testemunha, permanece a obrigação de firmar o compromisso de dizer a verdade. V. Sa. promete, quanto aos fatos de que tenha conhecimento na qualidade de testemunha, sob palavra de honra, nos termos do art. 203 do Código de Processo, dizer a verdade do que souber e lhe for perguntado? "
"10","47","2021-08-24","EMANUEL RAMALHO CATORI","","","","","","Sim, senhor. "
"11","47","2021-08-24","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","A partir deste momento, V. Sa. está sujeito ao compromisso de dizer a verdade quanto aos fatos de que tenha conhecimento na qualidade de testemunha, nos termos do art. 203 do Código de Processo Penal. Eu posso passar a palavra ao senhor por 15 minutos, caso deseje; se não, passarei ao Relator. Fique à vontade. O senhor tem 15 minutos, se quiser se posicionar. "
"12","47","2021-08-24","EMANUEL RAMALHO CATORI","","","","","","Sim, gostaria. Bom dia a todos! "
"13","47","2021-08-24","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Fique à vontade. "
