"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","48","2021-08-25","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Havendo número regimental, declaro aberta a 48ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos nºs 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública durante a vigência da calamidade originada pela pandemia do coronavírus. A reunião destina-se ao depoimento do Sr. Roberto Pereira Ramos Júnior, em atendimento aos requerimentos do Senador Randolfe e do Senador Tasso Jereissati. Solicito que o depoente seja conduzido à Mesa.          (Soa a campainha.) "
"2","48","2021-08-25","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Sr. Roberto, nós recebemos um habeas corpus da Ministra Cármen Lúcia, o Habeas Corpus de nº 203.381, nos seguintes termos: O mesmo dá-se com a pretensão de ""não ser obrigado a assinar termo de compromisso como testemunha ou investigado""; esse é dever imposto pelo art. 216 do Código de Processo Penal de que não se pode escusar a testemunha. Convocado como foi o paciente naquela condição, tem o dever de comparecimento e de observância dos trâmites legais inerentes à convocação, sob pena de frustrar ou dificultar as atividades investigativas da Comissão Parlamentar de Inquérito, que, nos termos do inciso V do §2º do art. 58 da Constituição Federal, pode ""solicitar depoimento de qualquer autoridade ou cidadão"". Pelo exposto, defiro parcialmente a liminar [...] para assegurar ao paciente, ao ser inquirido pela Comissão Parlamentar de Inquérito ""da pandemia"", a) o direito de ser assistido por seu advogado e com ele se comunicar pessoal e reservadamente, garantidas as prerrogativas da Lei nº 8.906/94; b) de não ser obrigado a produzir prova contra si mesmo, podendo manter-se em silêncio e não ser obrigado a responder às perguntas que possam lhe incriminar, sendo-lhe, contudo, vedado faltar com a verdade relativamente a todos os demais questionamentos não inseridos nem contidos nesta cláusula. Considerando que a decisão liminar no habeas corpus esclarece que V. Sa. obriga-se a firmar termo de compromisso, V. Sa. promete, quanto aos fatos de que tenha conhecimento na qualidade de testemunha, sob palavra de honra, nos termos do art. 203 do Código de Processo Penal, dizer a verdade do que souber e lhe for perguntado? "
"3","48","2021-08-25","ROBERTO PEREIRA RAMOS JÚNIOR","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Sim, prometo. "
"4","48","2021-08-25","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","A partir deste momento, V. Sa. está sujeito ao compromisso de dizer a verdade quanto aos fatos de que tenha conhecimento na qualidade de testemunha nos termos do art. 203 do Código de Processo Penal. "
"5","48","2021-08-25","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Presidente, pela ordem. "
"6","48","2021-08-25","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois não. "
"7","48","2021-08-25","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.)","(PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.)","REDE","AP","Pela ordem","Só duas questões rapidamente. Eu queria requerer a V. Exa. que, no momento oportuno, colocasse em apreciação, extrapauta, o requerimento de convocação do Sr. Ivanildo Gonçalves da Silva a esta Comissão Parlamentar de Inquérito. E, só complementarmente, um procedimento protocolar e regimental, só para que seja identificada à Presidência a douta e ilustre banca de advogados que acompanha o Sr. Roberto Pereira. "
"8","48","2021-08-25","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE. Pela ordem.)","Bloco Parlamentar da Resistência Democrática","PT","PE","Pela ordem","Presidente, é só para transmitir aqui um recado da nossa querida Senadora Zenaide e um presente que ela manda aqui para a nossa CPI, umas castanhas do Rio Grande do Norte, para, naquele intervalo ali, a gente poder degustar.         "
"9","48","2021-08-25","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Agradeço à Senadora Zenaide, assídua participante das nossas reuniões da CPI. Eu vou passar a palavra ao Sr. Roberto, se assim desejar, por 15 minutos; caso contrário, eu passo diretamente ao Relator. Fique à vontade o senhor. Obrigado. "
"10","48","2021-08-25","ROBERTO PEREIRA RAMOS JÚNIOR","","","","","","Na realidade, eu gostaria de agradecer à Casa; me sinto muito orgulhoso de estar aqui. E que esta Casa, de fato – de fato –, honre essas 576 mil mortes, que faça justiça de alguma maneira, já que também perdi amigos, parentes, e que se faça valer isso. Mais uma vez, agradeço e quero reafirmar que eu estou à inteira disposição dos senhores, desta Comissão, honrosa Comissão, para esclarecer todo e qualquer fato. Mais uma vez, obrigado. "
"11","48","2021-08-25","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Senador Renan Calheiros, com a palavra. "
"12","48","2021-08-25","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","CIDADANIA","MA","","Presidente... Pela ordem, Presidente, só para eu poder compreender. "
"13","48","2021-08-25","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois não, Senadora. "
