"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","49","2021-08-26","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Havendo número regimental, declaro aberta a 49ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos nºs 371 e 372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações e omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se ao depoimento do Sr. José Ricardo Santana, em atendimento ao Requerimento nº 1.436, de 2021, de autoria do Senador Renan Calheiros. "
"2","49","2021-08-26","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Fora do microfone.)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","Fora do microfone","Sr. Presidente... "
"3","49","2021-08-26","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Só um minutinho... Eu peço para o depoente ser conduzido aqui à mesa.  Eu queria pedir ao Secretário Leandro que fizesse um requerimento ao Ministério da Saúde para saber qual foi o gasto fracassado de trazer duas milhões de doses da Índia, que, segundo uma matéria na Folha de S.Paulo escrita pela jornalista Patrícia Campos Mello, foi um prejuízo de 500 mil, e não se trouxe nenhuma vacina. E o Itamaraty teria gasto em torno de 10% desse valor para trazer as vacinas, porque era uma briga ali entre o Governo Federal e o Governo de São Paulo, pra saber quem aplicava a primeira dose.         Então, eu estou requerendo essas informações do Ministério da Saúde o mais rápido possível, pra saber como é que foram gastos esses R$500 mil, que é mais um prejuízo ao Erário, sem nenhum... Aliás, tudo que se fez com a Índia, em termo de vacina, foi problemático. Então... E aí existe a matéria, ela fala até que o Presidente ligou para o Primeiro-Ministro, queria... Foi um avião da Azul pra Recife, esse avião até foi adesivado e fizeram todo um carnaval pra salvar vidas. É um verdadeiro carnaval em Recife, com o avião da Azul todo adesivado, pra buscar 2 milhões de doses de vacina, quando, bem antes disso, a Pfizer tinha oferecido já vacina para o Brasil, e o Brasil não tinha dado bola. A partir do momento em que São Paulo anuncia que a CoronaVac ia chegar pra vacinar, e São Paulo ia vacinar, o Governo Federal, naquelas operações atrapalhadas, contrata um boeing da empresa Azul e, segundo consta na reportagem, teve um custo bastante alto e sem produção nenhuma de trazer nenhuma vacina. Então, eu estou pedindo à CPI que faça esse pedido de informações hoje para o Ministério da Saúde, pedindo pra informar, o mais rápido possível, qual foi o prejuízo que o Brasil teve nessa frustrada trazida de vacinas da Índia. Senador Randolfe. "
"4","49","2021-08-26","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.)","(PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.)","REDE","AP","Pela ordem","Presidente, confirmado isso, a partir inclusive das informações requeridas por V. Exa., requeridas por esta Comissão Parlamentar de Inquérito, é inevitável o relatório final do Senador Renan Calheiros incluir lá um quesito de ressarcimento aos cofres públicos do que foi gasto nesta papagaiada – com todo respeito aos papagaios. Então, um custo de mais de meio milhão de reais é um custo que não pode deixar de ser ressarcido aos cofres públicos. Então, a partir inclusive da resposta ao requerimento de informações pedidas por V. Exa., da CPI, considero inevitável, confirmado isso, o relatório final do Senador Renan Calheiros incluir um quesito pedindo ressarcimento aos cofres públicos – ressarcimento aos cofres públicos – por parte daqueles responsáveis pela ação. Salvo melhor juízo, os responsáveis pela ação foram diretamente: o Presidente da República, Jair Messias Bolsonaro, e o Ministro Eduardo Pazuello. Então, o ressarcimento por parte deles aos cofres públicos desta operação atrapalhada, papagaiada, essa operação fracassada que ocorreu em janeiro. "
"5","49","2021-08-26","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Obrigado, Senador Randolfe. Senador Humberto Costa, por favor. "
"6","49","2021-08-26","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE. Pela ordem.)","Bloco Parlamentar da Resistência Democrática","PT","PE","Pela ordem","Sr. Presidente, Sras. Senadoras, Srs. Senadores, eu quero trazer aqui um assunto muito grave, gravíssimo. Eu recebi aqui uma correspondência, que é cópia de um processo que está sendo movido por um grupo de profissionais médicos ligados à rede Prevent Sênior, em que formalizaram uma denúncia contra essa instituição, por conta da política de coerção que foi assumida por essa direção em termos de orientações aos profissionais médicos, para adotarem aquelas orientações do chamado tratamento precoce. Inclusive, aqueles que, em algum momento, se recusaram a implementar essas medidas foram demitidos.         Para que V. Exa. tenha uma ideia do crime que aconteceu lá, os profissionais de saúde foram proibidos de usar EPIs. Há, inclusive, uma determinação que aqui consta do processo da utilização de máscaras, porque o objetivo era exatamente disseminar o vírus, no ambiente hospitalar, para que, assim, pudesse ser feita uma pesquisa que constava da utilização de cloroquina, de azitromicina, de ivermectina com os pacientes. Esse protocolo começou, esse teste começou no dia 6 de abril. Houve um pedido do Prevent Senior para que a Conep liberasse a pesquisa. No dia 14, a Conep liberou. Seis dias depois, a Conep proibiu, tal era a gravidade do experimento que estava sendo feito com vidas humanas. Uma das coisas que o hospital orientava era que os pacientes e os seus familiares não tivessem conhecimento de que essa experiência estava sendo feita, que não tivessem conhecimento de que estavam sendo administrados esses medicamentos. A informação que se tem é que isso foi um acerto entre a direção do hospital e o Governo Federal, contra aquelas orientações que havia do Ministério da Saúde, no período do Ministro Mandetta. E o chamado gabinete paralelo estaria por trás dessa... Ele era o elo entre o Prevent Senior e o Governo Federal. E lá estavam como consultores a Sra. Nise Yamaguchi, o senhor... "
"7","49","2021-08-26","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","A Dra. Nise Yamaguchi... "
"8","49","2021-08-26","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE)","Bloco Parlamentar da Resistência Democrática","PT","PE","","Dra. Nise Yamaguchi... "
"9","49","2021-08-26","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Ela esteve aqui fazendo depoimento, inclusive me processou, a mim e ao Senador Otto, por dizer que não se acreditasse nela, porque aquilo que ela pregava não salvava uma vida. Por isso eu fui processado, porque teria eu a ofendido. E ela participa... E a Prevent Senior são pessoas idosas, não é? "
"10","49","2021-08-26","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE)","Bloco Parlamentar da Resistência Democrática","PT","PE","","É, a maior parte das pessoas que foram objeto desse experimento; era a Sra. Nise Yamaguchi; o Sr. Paolo Zanotto, que também nós conhecemos; e o Sr. Anthony Wong, que era da própria Prevent Senior, adquiriu a Covid, foi tratado com esses medicamentos, faleceu, e a informação que consta aqui é que foi emitido um atestado falso, para não mostrar a correlação entre a morte dele e o uso desses medicamentos. Sabe-se que, lá, administrava-se, além de cloroquina, ivermectina, azitromicina, aquele tratamento com ozônio sobre o qual todo mundo comenta por aí. Além disso, segundo o que diz o processo... "
