"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","5","2021-05-06","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Bom dia! Havendo número regimental, declaro aberta a 5ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da Covid-19, bem como as cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se às oitivas dos Srs. Marcelo Queiroga, Ministro da Saúde, e Antonio Barra Torres, Presidente da Anvisa. E há ainda requerimentos em pauta para apreciação. Eu quero comunicar: os Requerimentos aprovados nºs 139 a 143, de autoria do Senador Ciro Nogueira, mencionavam informações de Municípios de até 200 mil habitantes. Há um erro material, uma vez que a referência será somente a Municípios a partir de 200 mil habitantes. Nesse sentido, a Secretaria fará a devida retificação nesses requerimentos. Eu vou aguardar a chegada do... Ministro, por favor, desculpa.  Eu vou aguardar a chegada do Relator para que a gente inicie os trabalhos. Pois não? "
"2","5","2021-05-06","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP. Pela ordem.)","Bloco Parlamentar Senado Independente","REDE","AP","Pela ordem","Estou com o Senador Tasso na linha, ele está pedindo uma questão de ordem antes de iniciar os trabalhos. "
"3","5","2021-05-06","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois não. "
"4","5","2021-05-06","RANDOLFE RODRIGUES","(Bloco Parlamentar Senado Independente/REDE - AP)","Bloco Parlamentar Senado Independente","REDE","AP","","V. Exa. poderia passar para ele? "
"5","5","2021-05-06","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Passo ao Senador Tasso Jereissati, por favor. Eu não o estou vendo no vídeo. Estou vendo Izalci, Marcos e Otto. Ah, estou vendo-o agora.         Senador Tasso, com a palavra, por favor. "
"6","5","2021-05-06","TASSO JEREISSATI","(Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - CE. Pela ordem. Por videoconferência.)","Bloco Parlamentar PODEMOS/PSDB/PSL","PSDB","CE","Pela ordem Por videoconferência","Presidente Omar Aziz, muito obrigado pela deferência. Eu gostaria de colocar que ontem o Presidente da República fez as declarações mais graves e sérias que eu já vi um Presidente da República do Brasil fazer, de que haveria... De que a pandemia, o coronavírus, poderia fazer parte de uma guerra química provinda da sua origem, evidentemente ele não fala o nome, mas da China. Isso é muito grave. Se nós estamos vivendo uma guerra química, é uma das piores situações mundiais desde a Segunda Guerra Mundial; se não, nós estamos fazendo uma injúria e uma calúnia contra o nosso maior fornecedor de vacinas neste momento. Eu gostaria de fazer um requerimento verbal agora, mas que estou enviando por escrito, para que convidássemos a Abin, o responsável pela Abin, para vir a esta Comissão e explicar essa questão de guerra química, se existe isso, se não existe, porque, se não existe, é um verdadeiro boicote intencional à compra de vacinas ou envio de vacinas da China. É esse o requerimento que eu vou apresentar e queria apresentar já verbalmente, Presidente. Muito obrigado. "
"7","5","2021-05-06","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Com certeza o requerimento do Senador Tasso Jereissati será apreciado pela Comissão. Eu vou passar a palavra ao Senador Izalci, que também pede uma questão ordem aqui. Senador Izalci.  Eu não estou te ouvindo. O Senador Izalci, eu não estou conseguindo ouvi-lo. É lá nele ou é aqui?  Senador Izalci, é o seu computador aí. "
"8","5","2021-05-06","IZALCI LUCAS","(Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF)","Bloco Parlamentar PODEMOS/PSDB/PSL","PSDB","DF","","Não, eu estou no celular. Agora, Presidente, está ouvindo? "
"9","5","2021-05-06","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Já estou ouvindo agora V. Exa. "
"10","5","2021-05-06","IZALCI LUCAS","(Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF. Pela ordem. Por videoconferência.)","Bloco Parlamentar PODEMOS/PSDB/PSL","PSDB","DF","Pela ordem Por videoconferência","Presidente, eu fiz uma questão de ordem que V. Exa. acatou, mas, de qualquer forma, o Senador Girão apresentou um requerimento, que é o item 47, o Requerimento 410. É só para reforçar a questão de ordem que V. Exa. já acatou, a questão é lá da 12ª Vara, está no item da pauta de hoje, o 47. Só para reforçar, para ficar aprovado o requerimento que V. Exa. acatou como questão de ordem. "
"11","5","2021-05-06","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Já foi enviado, Senador Izalci. Já foi corrigida a vara que V. Exa. pediu. Nós já corrigimos, já enviamos, tá? "
"12","5","2021-05-06","IZALCI LUCAS","(Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF)","Bloco Parlamentar PODEMOS/PSDB/PSL","PSDB","DF","","Ótimo. Muito obrigado, Presidente. "
"13","5","2021-05-06","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Alguém pediu aqui? "
"14","5","2021-05-06","REGUFFE","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - DF)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","DF","","Sr. Presidente... "
"15","5","2021-05-06","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois não, Senador. "
"16","5","2021-05-06","REGUFFE","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - DF. Pela ordem.)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","DF","Pela ordem","Só uma pergunta. Eu sei que não membros falam após os titulares e após os suplentes, mas qual é o tempo que os não membros têm para questionamentos? "
"17","5","2021-05-06","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","É o mesmo tempo de todos, Senador, quinze minutos. Geralmente, está interagindo entre o Senador e o que nós estamos ouvindo. "
"18","5","2021-05-06","REGUFFE","(Bloco Parlamentar PODEMOS/PSDB/PSL/PODEMOS - DF)","Bloco Parlamentar PODEMOS/PSDB/PSL","PODEMOS","DF","","Quinze minutos. Muito obrigado. "
"19","5","2021-05-06","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Quinze minutos. Geralmente, pergunta, responde; pergunta, responde. "
