"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","51","2021-09-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Havendo número regimental, declaro aberta a 51ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos 371 e 372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações e omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destinava-se ao depoimento do Sr. Marcos Tolentino da Silva, em atendimento ao Requerimento nº 252, de autoria do Senador Randolfe. Contudo, esta Comissão foi notificada hoje, às 8h da manhã, pelo advogado do Sr. Marcos Tolentino da Silva, o Sr. Luciano Duarte Peres, de que o depoente sofreu mal-estar, sendo socorrido no Pronto Atendimento do Hospital Sírio-Libanês, onde permanece sob cuidados médicos, estando impedido de comparecer a esta Comissão. Eu quero pedir à Secretaria da Mesa que entre em contato com a direção do Hospital Sírio-Libanês e tenha as informações corretas sobre o mal que o Sr. Tolentino teve ontem.         O Hospital Sírio-Libanês, com certeza, não negará e também não vai acolher um paciente que não poderia ser paciente, porque a informação, Senador Renan Calheiros, que eu tive é de que ontem, às 10h da noite, o Sr. Tolentino estava conversando normalmente com uma pessoa – que eu me reservo a não dar o nome, até porque, mesmo essa pessoa não pedindo sigilo –, conversava normalmente, como se não tivesse absolutamente nada. Não creio que um médico vai dar um atestado sem uma... Mas, por todas as evidências de pessoas que usam de subterfúgios para não vir à CPI depor, coincidentemente, no dia em que é marcada a vinda dele, ele teve um mal-estar. É possível, sim, que seja tudo verdade, mas também é possível que a gente desconfie desse tipo de comportamento. Por isso, a Mesa entrará em contato com o Hospital Sírio-Libanês, e eu espero que o hospital possa nos responder imediatamente qual é a situação do quadro e se realmente ele precisa estar internado no hospital. "
"2","51","2021-09-01","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Presidente... "
"3","51","2021-09-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Vai fugir hoje, amanhã, mas vai chegar aqui. Vai e vem. "
"4","51","2021-09-01","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Exatamente, Presidente. Eu queria cumprimentá-lo. É muito importante o depoimento do Sr. Marcos Tolentino. Ele é o verdadeiro dono de um banco que não é banco, que deu garantias fidejussórias aos contratos da Precisa, também a outros contratos no âmbito do Ministério da Saúde, de governos estaduais, do Ministério da Fazenda, da Advocacia-Geral da União, do próprio Tribunal de Contas da União, e não é concebível que alguém que tenha procedido dessa forma... Só com relação aos contratos da Precisa, Senador Tasso, se nós pegarmos aqueles quatro contratos principais – nós estamos tratando apenas de quatro: da Covaxin, das 20 milhões de doses; da Covaxin, no dia 6 de março, eles pediram adicional de mais 50 milhões de doses; dos testes, mais de R$1 bilhão; dos preservativos femininos, mais de R$1 bilhão. Quer dizer, é uma coisa escabrosa. Eu queria, Presidente, até colocar para V. Exa. a necessidade de nós ouvirmos o Marcos Tolentino – a qualquer pretexto se justifica – e não encerrarmos a Comissão Parlamentar de Inquérito enquanto não o ouvirmos. Ele não pode, a esta altura do campeonato, fazer uma manobra... Eu espero até que não seja manobra. Se for um problema de saúde, é muito importante que ele seja enfrentado e resolvido. O hospital é muito competente para fazer isso – todos nós sabemos –, mas ele não pode fugir da Comissão Parlamentar de Inquérito. Ele, definitivamente, não vai fugir desta Comissão. O depoimento dele é muito importante. "
"5","51","2021-09-01","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Presidente, pela ordem. "
"6","51","2021-09-01","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","O depoimento dele será tomado. "
"7","51","2021-09-01","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.)","(PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.)","REDE","AP","Pela ordem","Presidente, pela ordem. Só um encaminhamento a V. Exa.: que esta Comissão Parlamentar de Inquérito encaminhe uma junta médica – pode ser do próprio Senado –, uma junta médica independente, só para confirmar, atestar o estado de saúde do Sr. Marcos Tolentino e para que, posteriormente, V. Exa. decline, o quanto antes, a nova data de depoimento a partir do pronto restabelecimento. E que essa junta médica ainda, inclusive, dê o parecer de quanto o Sr. Marcos Tolentino pode estar disponível para depor nesta Comissão Parlamentar de Inquérito. "
"8","51","2021-09-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Eu não vejo, Senador Randolfe, com todo o respeito à sua questão de ordem... O Hospital Sírio-Libanês é um hospital de referência, um hospital com alta credibilidade da população, que tem lá grandes profissionais.         Eu acho que o próprio hospital, a própria direção pode criar uma junta... "
"9","51","2021-09-01","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Não, mas a dúvida não é sobre o hospital. É sobre o paciente. "
"10","51","2021-09-01","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Não, mas aí tem profissionais lá que com certeza não farão um diagnóstico que não existe. Eu pessoalmente vou entrar em contato com a direção do hospital pra que eles possam fazer isso o mais rápido possível. Não creio que alguém, um bom profissional, um médico... A gente não pode desacreditar. "
