"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","52","2021-09-02","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Bom dia. Havendo número regimental, declaro aberta a 52ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimento nºs 371 e 372, de 2021, para apurar as ações e omissões do Governo Federal ao não enfrentamento da pandemia da covid-19, bem como outras ações ou omissões cometidas pelos administradores públicos federais, estaduais e municipais no trato com a coisa pública durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião é para ouvir o Sr. Marconny, de quem, neste momento, a Polícia do Senado está no encalço, porque ele virá para cá baseado no que ontem o médico do Sírio-Libanês daqui, de Brasília, após ter dado um atestado de 20 dias – vejam bem: o médico deu um atestado de 20 dias... Horas depois, ele encaminha à Secretaria daqui dizendo que percebeu, na hora em que estava examinando o Sr. Marconny, que ele estava fingindo. Ora, se o médico percebeu que o paciente estava fingindo, não podia ter dado 20 dias para um homem desses! Mas deu assim mesmo! Então... E disse também, nesse documento que encaminhou para cá... Leandro, você tem o que ele encaminhou?  Falou com você por telefone. ... que estava pensando em desfazer o atestado médico e iria consultar um advogado sobre como ele não se comprometeria eticamente. O senhor já está comprometido eticamente! E o Hospital Sírio-Libanês, com cujo Diretor-Presidente ontem eu conversei – a pessoa que dirige o Sírio-Libanês de São Paulo – sobre a questão do Sr. Tolentino, que está na mesma situação: entrou lá com formigamento, mas, às 10h da noite, estava sorrindo aí e dando entrevista, horas depois de ter entrado no Hospital Sírio-Libanês de São Paulo.         E, hoje de manhã, eu mandei uma mensagem para o diretor do Sírio-Libanês perguntando se ele já tinha alguma posição sobre esses dois pacientes, porque ontem ele me informou que iria chamar o diretor do corpo clínico para que fizesse uma análise do diagnóstico que foi dado por esses dois profissionais de saúde. Então, duas pessoas importantíssimas para serem ouvidas pela CPI, por fatos que temos aqui, que são de conhecimento de alguns órgãos federais desde o ano passado. Nós estamos em setembro, mas isso... Há um ano, esses órgãos já tinham conhecimento do modus operandi de algumas pessoas, inclusive desse senhor chamado Marconny, que, se não estiver aqui, a polícia está... O Senador Randolfe vai fazer algumas solicitações como Vice-Presidente, para que a gente possa agir rapidamente, porque temos informações de que ele quer sair do País. O Senador Randolfe com a palavra, por favor. "
"2","52","2021-09-02","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.)","(PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.)","REDE","AP","Pela ordem","Presidente, Sr. Relator, Senador Renan, colegas da Comissão Parlamentar de Inquérito, desde ontem, já estava caracterizado que o Sr. Marconny Faria não pretendia comparecer a esta Comissão Parlamentar de Inquérito, como V. Exa., Presidente Omar, acaba de descrever. É importante destacar que a Secretaria desta CPI comunicou-se com a defesa do Sr. Marconny já na segunda-feira e, ainda ontem, a defesa do Sr. Marconny informou que, desde segunda-feira, ele estava ciente... Pelo menos a defesa estava ciente da necessidade de comparecimento dele a esta Comissão Parlamentar de Inquérito. A primeira tentativa o senhor também descreve. Por volta das 15h30min, chegou nesta Comissão Parlamentar de Inquérito um atestado médico descrevendo que o Sr. Marconny estava com – abre aspas – ""dor pélvica"" – fecha aspas. Logo em seguida, eu comuniquei a V. Exa., e V. Exa. de imediato pediu, determinou que tanto uma junta médica quanto o Hospital Sírio-Libanês dessem maiores informações sobre a repentina internação do Sr. Marconny. Em um intervalo de menos de três horas, o médico responsável pelo atestado desatestou o atestado. É, pode parecer paradoxal, mas é esse o termo. Entrou em contato com a Secretaria, com a direção desta Comissão Parlamentar de Inquérito e informou que percebeu que o Sr. Marconny estava se utilizando de má-fé. Pelo menos nós já estamos percebendo aí, Sr. Marconny... Estamos percebendo aí, Presidente Omar, uma das atribuições desta Comissão, uma das finalidades desta Comissão Parlamentar de Inquérito. Ela cura qualquer dor pélvica em até três horas, como podemos perceber. "
"3","52","2021-09-02","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Para não ser injusto com o profissional, ele encaminhou um e-mail para o meu gabinete e eu quero ler o e-mail aqui, e a interpretação quem pode me dar são os médicos. "
"4","52","2021-09-02","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Fora do microfone.)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","Fora do microfone","Qual o nome dele? O nome dele? "
"5","52","2021-09-02","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","O Dr. Audrien Furlan de Lucca. Ele disse: Fui informado de que meu nome foi citado sobre um atestado enviado pelo Sr. Marconny Albernaz de Faria. No conteúdo do atestado está claro que o motivo do repouso do paciente é apenas para fins laborais. E vou me comunicar com o jurídico do hospital para poder me orientar como cancelar o atestado sem ferir o Código de Ética Médica. Estou disponível para esclarecimentos.         Bem, o Sr. Marconny pode ter pedido um atestado médico sem citar a CPI. Correto? "
"6","52","2021-09-02","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Perfeitamente. "
"7","52","2021-09-02","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Deve ter sido isso que aconteceu. Eu não quero aqui julgar o médico. "
"8","52","2021-09-02","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Nenhum de nós, "
"9","52","2021-09-02","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Nós não queremos julgar o médico. Ele dizia ""apenas para fins laborais"". Para fins laborais. Quem pode esclarecer aqui o que são fins laborais? "
"10","52","2021-09-02","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Fins de trabalho. Fins de trabalho. Então, completando o comunicado... "
