"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","53","2021-09-14","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Havendo número regimental, declaro aberta a 53ª Reunião da Comissão Parlamentar de Inquérito, criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações ou omissões cometidas pelos administradores públicos federais, estaduais e municipais no trato com a coisa pública durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se ao depoimento do Sr. Marcos Tolentino da Silva, em atendimento ao Requerimento nº 1.252, de autoria do Senador Randolfe Rodrigues. Eu peço que o depoente seja conduzido à mesa.  A Comissão foi notificada de decisão liminar da Ministra Cármen Lucia, no Habeas Corpus nº 205.999, nos seguintes termos: Defiro parcialmente a liminar requerida, para assegurar ao paciente, ao ser inquerido...  (Soa a campainha.) "
"2","53","2021-09-14","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Vou pedir um pouco de silêncio...  ... ao ser inquerido pela Comissão Parlamentar de Inquérito, a) o direito de ser assistido por seu advogado e com ele se comunicar pessoal e reservadamente, garantidas as prerrogativas da Lei nº 8.906/94; b) não ser obrigado a produzir prova contra si mesmo, podendo manter-se em silêncio e não ser obrigado a responder às perguntas que o possam incriminar; c) não ser obrigado a responder questionamentos relativos a informações recebidas por força de sigilo profissional, decorrentes de relação firmada como advogado, sendo-lhe, contudo, vedado faltar com a verdade relativamente a todos os demais questionamentos não inseridos nem contidos nestas cláusulas (""b"" e ""c""); d) a faculdade de, querendo fazer-se acompanhar por profissional de saúde de sua escolha e poder requerer à direção dos trabalhos a presença de auxílio de profissional ou serviços de saúde da Casa Legislativa.  O senhor trouxe profissionais de saúde que o estão acompanhando? "
"3","53","2021-09-14","MARCOS TOLENTINO DA SILVA","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Presidente, trouxe, sim. "
"4","53","2021-09-14","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","O senhor esteve aqui no dia do depoimento do Sr. Ricardo Barros. Não estava aqui? "
"5","53","2021-09-14","MARCOS TOLENTINO DA SILVA","","","","","","Sim, é... "
"6","53","2021-09-14","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Eu estava... Eu o vi aqui. "
"7","53","2021-09-14","MARCOS TOLENTINO DA SILVA","","","","","","Sim, eu estava. Eu vim até aqui e o encontrei e percebi que sentiram até que fosse alguma afronta. Peço até desculpa...         "
"8","53","2021-09-14","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Não, não, não... Não, o senhor estava aqui nesse dia, mas o senhor não estava acompanhado de nenhum profissional de saúde... "
"9","53","2021-09-14","MARCOS TOLENTINO DA SILVA","","","","","","Não. "
"10","53","2021-09-14","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois é... "
"11","53","2021-09-14","MARCOS TOLENTINO DA SILVA","","","","","","Não, no dia, não... "
"12","53","2021-09-14","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Nesse dia o senhor não estava com profissional de saúde, nesse dia o senhor estava aqui assistindo à reunião da CPI do Deputado Ricardo Barros. Só para constar que o senhor esteve aqui já, nesta CPI, sem acompanhamento médico nenhum. Houve, ainda, indeferimento de dois pedidos de reconsideração apresentados em favor do depoente. Registro que o juiz federal tal, tal, tal... Mas isso aí...  Já está resolvida a questão dos médicos que o estão acompanhando, os profissionais de saúde. Eu vou lhe fazer uma pergunta, o senhor não está obrigado a responder, Sr. Tolentino. V. Sa. promete, quanto aos fatos de que tenha conhecimento na qualidade de testemunha, sob a palavra de honra, nos termos do art. 203 do Código de Processo Penal, dizer a verdade do que souber e lhe for perguntado? "
"13","53","2021-09-14","MARCOS TOLENTINO DA SILVA","","","","","","Sim, Sr. Presidente. "
"14","53","2021-09-14","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Sim... A partir deste momento V. Sa. está sujeito a dizer a verdade quanto aos fatos de que tenha conhecimento na qualidade de testemunha, nos termos do art. 203 do Código de Processo Penal. Eu vou passar a palavra para V. Exa., se assim desejar, por 15 minutos. "
"15","53","2021-09-14","MARCOS TOLENTINO DA SILVA","","","","","","Desejo... "
"16","53","2021-09-14","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fora do microfone.)","PSD","AM","Fora do microfone","Fique à vontade. "
