"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","54","2021-09-15","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Havendo número regimental, está aberta a 54ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações ou omissões cometidas pelos administradores públicos federais, estaduais e municipais, no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se ao depoimento do Sr. Marconny Nunes Ribeiro Albernaz de Faria, em atendimento ao Requerimento 1.366, de autoria do Senador Randolfe Rodrigues.  Havendo número regimental, coloco em votação a Ata da 53ª Reunião, solicitando a dispensa de sua leitura. Os Srs. Senadores que aprovam permanecem como se encontram.  Aprovada.          Eu vou aguardar a chegada do Relator para que a gente possa iniciar os trabalhos.  A Comissão foi notificada de decisão liminar da Ministra Cármen Lúcia no Habeas Corpus 206.092 nos seguintes termos: defiro parcialmente a liminar requerida tão somente para assegurar ao paciente, ao ser inquirido pela Comissão Parlamentar de Inquérito, a) o direito de ser assistido por seu advogado e com ele se comunicar pessoal e reservadamente, garantidas as prerrogativas da Lei nº 8.906/94; b) de não ser obrigado a produzir prova contra si mesmo, podendo manter-se em silêncio e não ser obrigado a responder àquelas perguntas que possam incriminá-lo, sendo-lhe, contudo, vedado faltar com a verdade relativamente a todos os demais questionamentos não inseridos nem contidos nesta cláusula. Questão de ordem do Senador Randolfe ontem, levantada... "
"2","54","2021-09-15","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.)","(PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.)","REDE","AP","Pela ordem","Sr. Presidente, Sr. Relator, senhor depoente, Sr. Marconny, douta defesa, é só destacar os trechos das decisões que acompanham esta Comissão Parlamentar de Inquérito até agora sobre o sagrado e inviolável direito ao silêncio que assiste a todos os depoentes que já estiveram nesta Comissão e assistirá, obviamente, também ao depoente do dia hoje. É somente destacar que, nas várias decisões já exaradas a partir da decisão do Ministro Luiz Fux... É importante destacar o que é dito: ""Por outro lado, nenhum direito fundamental é absoluto, muito menos pode ser exercido para além de suas finalidades constitucionais."" Destaco esse ponto das decisões já estabelecidas pelo Supremo Tribunal Federal sobre os depoentes para que V. Exa. ou quem estiver na Presidência, a partir de cada inquirição, peça ao depoente destacar em que sentido está utilizando o direito constitucional ao silêncio. Pode ser utilizado de duas formas, como reza a jurisprudência pátria: em primeiro lugar, para garantir o direito de não se autoincriminar; em segundo lugar, para assegurar o sigilo que está estabelecido no Estatuto da Ordem dos Advogados do Brasil entre advogado e paciente.         Então, como preliminar, a cada pergunta – essa questão de ordem foi ontem estabelecida aqui pelo Senador Alessandro Vieira –, a cada questionamento, se o direito ao silêncio for utilizado, seja dito, destacado, declarado pelo depoente em qual dos dois sentidos ele está utilizando o direito constitucional ao silêncio. É a questão de ordem que formulo a V. Exa. "
"3","54","2021-09-15","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","A sua questão de ordem está naquilo que a Ministra sabiamente coloca na sua decisão. O senhor está acompanhado, Sr. Marconny? São advogados os dois? "
"4","54","2021-09-15","MARCONNY NUNES RIBEIRO ALBERNAZ DE FARIA","(Fora do microfone.)","(Fora do microfone.)","(Fora do microfone.)","(Fora do microfone.)","(Fora do microfone","São advogados. "
"5","54","2021-09-15","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Eu só vou pedir aos advogados que, quando for feita a pergunta ao Sr. Marconny, que ele responda; não vocês responderem por ele. Está bom? V. Sa. promete, quanto aos fatos de que tenha conhecimento, na qualidade de testemunha, sob a palavra de honra, nos termos do art. 203 do Código de Processo Penal, dizer a verdade do que souber e Ihe for perguntado? "
"6","54","2021-09-15","MARCONNY NUNES RIBEIRO ALBERNAZ DE FARIA","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Sim. "
"7","54","2021-09-15","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Sim. A partir deste momento, V. Sa. está sujeito ao compromisso de dizer a verdade quanto aos fatos de que tenha conhecimento, na qualidade de testemunha, nos termos do art. 203 do Código de Processo Penal. Caso seja do seu interesse, o senhor teria 15 minutos para expor aquilo que seja interessante para o senhor. "
"8","54","2021-09-15","MARCONNY NUNES RIBEIRO ALBERNAZ DE FARIA","","","","","","Vou querer, sim, os 15 minutos, Sr. Presidente. "
"9","54","2021-09-15","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois não. Fique à vontade. "
"10","54","2021-09-15","MARCONNY NUNES RIBEIRO ALBERNAZ DE FARIA","","","","","","Exmos. Srs. e Sras. Senadores, Sr. Presidente, Sr. Relator, demais presentes, imprensa, meu nome é Marconny Albernaz, eu tenho 39 anos e quero, ao mesmo tempo, agradecer e lamentar a minha presença aqui. Agradecer porque esta é uma oportunidade para esclarecer uma série de inverdades que estão sendo divulgadas. É natural que muitas dúvidas sejam geradas a partir de um processo que é político, como é o processo de uma comissão parlamentar de inquérito. É natural que muitas dúvidas surjam; isso é natural em uma democracia. Mas, ao mesmo tempo, eu gostaria de lamentar porque, devido a um episódio pessoal que nada tem a ver com pandemia, que nada tem a ver com desvios de recursos do Ministério da Saúde, acabei vendo o meu nome tomando papel de protagonismo dentro do universo da maior pandemia da história da humanidade... O fato é que eu tive um aparelho celular apreendido a partir de uma medida cautelar de busca e apreensão em uma operação policial no Pará, após ter sido responsável por denunciar uma corrupção existente no Instituto Evandro Chagas. É isso mesmo que os senhores escutaram: eu fui responsável por denunciar uma corrupção existente no Instituto Evandro Chagas. Eu quero deixar bem claro que não era alvo de corrupção, nunca fui alvo de corrupção. Eu fui denunciante de uma corrupção, e vejam só o que aconteceu: no papel de denunciante de um ato de corrupção, eu me tornei investigado. Esses fatos fizeram com que eu tivesse as minhas comunicações privadas ilegalmente – ilegalmente – acessadas e, posteriormente, vazadas para toda a mídia nacional. Senhores, houve uma distorção dos fatos a todo momento. E a pergunta que não quer calar: o que existia dentro do meu aparelho celular? Eu sou nascido e criado em Brasília. Existiam ligações afetivas – eu gosto de manter relações afetivas e carinhosas com meus amigos e conhecidos.         A grande maioria das comunicações são de caráter extremamente privado. Nenhuma das informações vazadas é de caráter público. Eu não sou uma pessoa pública. Eu me sinto muito, mas muito constrangido de ter minha vida íntima exposta, completamente exposta. Houve uma devassa, uma verdadeira devassa na minha vida pessoal. Informações distorcidas foram reiteradamente vazadas. Qualquer um dos senhores aqui presentes se sentiria extremamente constrangido caso isso tivesse ocorrido com V. Exas. Eu sou alguém que denunciou um ato de corrupção, vejam bem, eu fui alguém que denunciou um ato de corrupção, eu não fui alvo de investigação de corrupção. Da medida cautelar de busca e apreensão que ocorreu em minha residência em outubro de 2020, ou seja, há quase um ano, sequer houve algum tipo de acusação até hoje, não teve nenhuma denúncia do Ministério Público até hoje com relação à minha pessoa. Os dados foram ilegalmente extraídos do meu celular, foram reiteradamente vazados, de modo a promover distorções dos fatos, causando prejuízos imensos a mim e, sobretudo, à minha família – sobretudo, à minha família! –, é importante frisar isso. Eu tenho formação em Direito, fiz pós-graduação em Direito Eleitoral, fiz pós-graduação em Direito Público, além de algumas especializações fora do País, na Europa e nos Estados Unidos. Os contatos que criei ao longo da minha carreira vieram em decorrência da minha formação. Além do que, cresci nessa maravilhosa capital federal. Ao longo da minha carreira, eu conheci pessoas do mundo social de Brasília, de várias tendências políticas. O extrato das minhas conversas demonstra... O que o extrato das minhas conversas demonstra – infelizmente eu lamento – é que eu tenho ótimos amigos. Ao contrário do que dizem por aí, se eu fosse um lobista, eu seria um péssimo lobista. Se eu fosse um lobista, eu seria um péssimo lobista, porque eu jamais fui capaz de transformar minhas relações sociais em contratos e resultantes... e resultados econômicos milionários, conforme falsamente divulgado pela imprensa. É importante deixar claro que eu sou do setor privado, eu não sou agente público, eu nunca recebi dinheiro público e nunca assumi qualquer tipo de cargo público. Não há nenhum tipo de contradição de eu, na figura de agente privado, promover tratativas privadas, análises de cenário político e, eventualmente, interlocuções institucionais com agentes públicos, desde que não esteja configurado nenhum ato de corrupção ativa. Interlocuções são normais. Não há, no conteúdo a que V. Exas. tiveram acesso, nada que ultrapasse a dúvida razoável em relação à minha honra e à minha imagem. É natural, sim, que, no meio de tantas indagações, tenham surgido dúvidas a meu respeito. Eu tenho apenas 39 anos e meu patrimônio é um patrimônio que condiz com a minha renda. Se eu auferisse tudo o que atribuem a mim, meu patrimônio seria cem, duzentas vezes maior. O meu patrimônio total hoje consiste em um apartamento financiado em 30 anos, que ainda está sendo pago, naturalmente, e um veículo, ano 2012.         Eu estou e sairei desse processo todo muito prejudicado, pessoalmente e principalmente profissionalmente, sem que eu tenha cometido absolutamente nenhuma ilegalidade. Para encerrar minhas considerações iniciais, eu quero terminar com as seguintes colocações: eu, em nenhum momento, quis desrespeitar o importante papel que uma Comissão Parlamentar de Inquérito tem. Porém, não fui pessoalmente intimado, nunca fui intimado, não sou foragido da CPI, nunca fui formalmente intimado! Depois que descobri que eu era foragido da CPI, eu tive a oportunidade de vir até o Senado, na semana passada, no dia 9, e me dei por citado. Isso nunca ocorreu em nenhuma Comissão Parlamentar de Inquérito; eu me dei por citado! Estou aqui, hoje, espontaneamente. "
