"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","56","2021-09-21","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Bom dia a todos! Havendo número regimental, declaro aberta a 56ª Reunião da Comissão Parlamentar de Inquérito, criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações e omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se ao depoimento do Ministro Wagner de Campos Rosário, em atendimento ao requerimento de autoria do Senador Eduardo Girão. Solicito que o depoente seja conduzido à mesa. 6  "
"2","56","2021-09-21","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE. Pela ordem.)","Bloco Parlamentar da Resistência Democrática","PT","SE","Pela ordem","Presidente, na hora em que o depoente estiver à mesa, eu gostaria de fazer uma questão de ordem. "
"3","56","2021-09-21","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE)","Bloco Parlamentar da Resistência Democrática","PT","PE","","Eu queria, também nessa ocasião, pedir a palavra pela ordem, Sr. Presidente. "
"4","56","2021-09-21","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","O.k.  Primeiro, esclareço aos Senadores e ao Ministro que eu tinha pedido à Secretaria que comunicasse ao Ministro Wagner Rosário que nós iríamos atrasar e esperar o pronunciamento do Excelentíssimo Senhor Presidente da República e depois nós começaríamos a reunião. Então, não é um atraso em que o Ministro ficou aguardando aqui, porque eu pedi que se avisasse com antecedência a ele, para que não ficasse aguardando. Sr. Ministro, V. Sa. promete, sob a palavra de honra, nos termos do art. 203 do Código de Processo Penal, dizer a verdade do que souber e lhe for perguntado? "
"5","56","2021-09-21","WAGNER DE CAMPOS ROSÁRIO","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Sim. "
"6","56","2021-09-21","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","A partir deste momento, V. Sa. está sujeito ao compromisso de dizer a verdade, nos termos do art. 203 do Código de Processo Penal. Eu quero aqui dizer que o Ministro não recorreu ao Supremo para estar nessa Comissão. Caso raro; praticamente quase todos aqueles que vieram aqui recorreram ao Supremo Tribunal Federal.         Então, eu parto do princípio de que o Ministro, naquilo que lhe for perguntado, responderá – até porque ele não procurou a Justiça para estar presente aqui. O Senador Rogério Carvalho pediu uma questão de ordem. Por favor, Senador. "
"7","56","2021-09-21","ROGÉRIO CARVALHO","(Bloco Parlamentar da Resistência Democrática/PT - SE. Para questão de ordem.)","Bloco Parlamentar da Resistência Democrática","PT","SE","Para questão de ordem","Sr. Presidente, solicito a presente questão de ordem com fundamento no art. 4º, inciso I, da Lei nº 1.579, de 1952, e no art. 412, inciso I, do Regimento Interno desta Casa. Ontem o Brasil assistiu estarrecido ao vídeo postado nas redes sociais por Jair Renan Bolsonaro, filho 04 do Presidente Bolsonaro. O vídeo contém ameaça velada aos trabalhos e aos membros desta Comissão Parlamentar de Inquérito. No vídeo, Jair Renan disse: ""Bom dia, rapaziada. Então, com vocês aí, melhor jeito de acordar: tomando um suquinho, comendo um pão de queijo e visitando a loja de um grande amigo meu aqui: Júnior. Sabe o que o cara vende? Arma, brinquedo"". Cumpre salientar que o mencionado estabelecimento comercial do amigo de Jair Renan vende não apenas armas de airsoft, mas também equipamentos letais. Sobre o vídeo, Jair Renan escreveu sua ameaça: ""Alô, CPI"", ou seja, mostrando pelo menos umas 12 pistolas, armas automáticas. Ao agir dessa forma, ele quis, obviamente, intimidar esta CPI, que levou luz sobre a troca de favores existente entre Jair Renan e o lobista da Precisa Medicamentos, Marconny Faria. A conduta de Jair Renan é inaceitável, pois numa República todos devem estar submetidos à lei, mesmo que sejam filhos do Presidente – esses devem dar exemplo, e não partir para ameaça, como ele fez à CPI, ou seja, tentando obstruir os trabalhos da CPI com ameaça aos seus membros. O art. 4º da Lei 1.579, de 1952, que trata das CPIs, estabelece que: Art. 4º Constitui crime: I - Impedir, ou tentar impedir, mediante violência, ameaça ou assuadas, o regular funcionamento de Comissão Parlamentar de Inquérito, ou o livre exercício das atribuições de qualquer dos seus membros. Ora, a conduta de Jair Renan Bolsonaro amolda-se com perfeição ao tipo penal. Por esse motivo, deve ele responder pela prática do grave crime praticado. Jair também ofende o inciso I do art. 412 do Regimento Interno, que prevê que é irregular qualquer ato que coíba a participação plena dos Senadores nas atividades legislativas. Diante dos fatos narrados, indago a V. Exa. quais medidas serão adotadas em face de Jair Renan Bolsonaro, que agiu para intimidar esta CPI, e sugiro encaminhamento de representação à Procuradoria-Geral da República, à Presidência do Senado, para que adotem as providências necessárias. Sr. Presidente, ele tem 19 anos. Um garoto de 18 anos, se cometer um crime, vai responder por isso. O fato de ele ter 19 anos já o habilita. Ele já tem todas as faculdades e todas as responsabilidades criminais.         Portanto, nós precisamos... Na condição dele, de filho do Presidente, deve servir de exemplo para todos aqueles que cometem atos de intimidação das instituições democráticas. E me parece que este é um traço familiar: agredir a democracia, o Estado democrático de direito e as instituições democráticas. É uma ameaça velada à CPI, aos membros da CPI. É importante dizer que eu também mandei para o Presidente do Senado a ameaça que sofremos por parte de algum dos seguidores do Presidente Bolsonaro que propôs e incitou a população a assassinar todos os membros do STF e a assassinar os membros do Partido dos Trabalhadores. E nós apresentamos essa denúncia, que foi feita em vídeo, ao Presidente do Senado. Então é uma questão que não pode deixar de ser discutida por esta Comissão Parlamentar de Inquérito, pela gravidade, primeiro, por se tratar do filho do Presidente, que tem que servir de exemplo. Ele teria que dar o exemplo de respeito às instituições, de respeito à democracia e ao Estado democrático de direito, e não fazer ameaças veladas, apresentando armas em loja de amigo dele, seja lá de quem for, mostrando que é na bala que ele vai se livrar daquilo que ele tem a responder perante a Justiça pelos possíveis delitos ou crimes que ele tenha cometido e que esta Comissão identificou. Muito obrigado, Sr. Presidente. "
"8","56","2021-09-21","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.)","(PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.)","REDE","AP","Pela ordem","Presidente, só para completar: temos imagens da ameaça ontem proferida pelo rapaz contra a Comissão Parlamentar de Inquérito. Temos imagens, temos foto e temos o registro da empresa, da loja de armas de onde ele proferiu a ameaça aos membros da CPI. Só uma rápida divergência. O Sr. Jair Renan, o rapaz aí, o moço aí, ele não tem foro privilegiado. Então, não é necessário encaminhar à Procuradoria-Geral da República, Sr. Presidente. Comissão Parlamentar de Inquérito tem poder de investigação própria de autoridades policiais. Então, o encaminhamento que faço a V. Exa. é que o delegado de polícia ou a delegacia de polícia que estiver à disposição desta Comissão Parlamentar de Inquérito ouça o Sr. Jair Renan pelo crime de ameaça. Não precisa mandar à PGR, é uma simples queixa-crime por ameaça, que deve ser feita na delegacia mais próxima, para que o rapaz aí responda. Ele, embora seja filho do Presidente da República, não tem foro privilegiado; ele não tem nenhum tipo de foro privilegiado. Então, a primeira delegacia de polícia tem que constar. E temos aí a imagem da ameaça perpetrada pelo rapaz contra os membros desta Comissão Parlamentar de Inquérito. Eu requeiro a V. Exa. que nós possamos ver as imagens. Eu acho que as imagens falam por si. É muito importante. "
"9","56","2021-09-21","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Esse jovem aí é o... É o Jair? "
"10","56","2021-09-21","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","É o filho do Presidente da República. "
