"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","57","2021-09-22","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Havendo número regimental, declaro aberta a 57ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos n°s 371 e 372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais e municipais no trato da coisa pública durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se ao depoimento do Sr. Pedro Benedito Batista Júnior, em atendimento ao Requerimento n° 990, de 2021, de autoria do Senador Humberto Costa, que neste momento faz uma questão de ordem ao Presidente. Eu acato a questão de ordem do Senador Humberto Costa, na qual ele corretamente diz que, quando se estiver questionando qualquer uma das pessoas que estiverem aqui para serem ouvidas, outros Senadores não podem fazer apartes ao Relator. E eu espero, Sr. Relator, que a gente possa conduzir esse trabalho, já que ontem realmente o senhor se estendeu muito, porque muitos Senadores, todas as vezes em que o senhor estava falando, faziam intervenções.         Isso foi prolongando e alguns Senadores deixaram de falar. Então, a questão de ordem... "
"2","57","2021-09-22","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","E todos nós acabamos, na prática, prejudicando o nosso querido amigo Girão. "
"3","57","2021-09-22","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Então, eu peço aos Senadores e às Senadoras que a gente possa cumprir essa questão de ordem, corretamente feita pelo Senador Humberto Costa. "
"4","57","2021-09-22","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Obrigado, Presidente. "
"5","57","2021-09-22","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Nós não vamos votar requerimentos hoje. Iremos votar os requerimentos de convocação, novas convocações e de informações, só amanhã. Apenas um requerimento de informação, que eu peço... É aquele requerimento de informação que nós votaremos, só um requerimento. Os outros, nós vamos tratar disso amanhã – novas convocações e, conforme aqui o desenrolar do depoimento do Sr. Pedro Benedito Batista Júnior, também fazer novas... (Intervenção fora do microfone.) "
"6","57","2021-09-22","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Tudo bem? "
"7","57","2021-09-22","OTTO ALENCAR","(PSD - BA)","(PSD - BA)","PSD","BA","","Sr. Presidente... Sr. Presidente... "
"8","57","2021-09-22","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pegue a outra cadeira porque essa é baixa. Pois não, Senador Otto. "
"9","57","2021-09-22","OTTO ALENCAR","(PSD - BA. Pela ordem.)","(PSD - BA. Pela ordem.)","PSD","BA","Pela ordem","Entre os requerimentos de convocação estava prevista a convocação do Ministro da Saúde, mas ele está em quarentena, lamentavelmente, nos Estados Unidos, não é? "
"10","57","2021-09-22","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","É, a gente deseja que ele se restabeleça o mais rápido possível. Você, que infelizmente teve o covid, sabe que ela é uma doença muito... que a gente não sabe o que pode acontecer no dia seguinte. "
