"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","58","2021-09-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Havendo número regimental, declaro aberta a 57ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos n°s 371 e 372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais e municipais no trato da coisa pública durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se ao depoimento do Sr. Danilo Trento, em atendimento aos Requerimentos n°s 985, de 2021, de autoria do Senador Randolfe Rodrigues, e 1.117, de 2021, de autoria do Senador Renan Calheiros. Solicito que o depoente seja conduzido à mesa.  Há um requerimento aqui de autoria do Senador Alessandro Vieira.  2ª PARTE ITEM 1 REQUERIMENTO Nº 1537, DE 2021 Requer que sejam prestadas, pelo Senhor Ministro de Estado Chefe da Casa Civil da Presidência da República, mais informações sobre o processo de solicitação de exoneração do Senhor Roberto Ferreira Dias, tramitado no mês de outubro de 2020, e acesso a esta comissão ao Processo SEI da Presidência da República de número 00025.001219/2020-08. Autoria: Senador Omar Aziz  Em discussão.  Em votação. Os que o aprovam permaneçam como se encontram.  Aprovado o requerimento de informação para a gente saber realmente por quê... Senador Renan, volto a insistir na mesma tecla da operação do dia 27 de outubro, que detecta a participação do Sr. Roberto Dias em outubro; setembro. Um mês depois, tentaram demiti-lo. "
"2","58","2021-09-23","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Perfeito. "
"3","58","2021-09-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Baseado nisso, mas não foi demitido, correto?  "
"4","58","2021-09-23","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Perfeito. "
"5","58","2021-09-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Isso é de conhecimento; então, com certeza vai colocar mais adendo ao seu... "
"6","58","2021-09-23","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Sem dúvida, Presidente, pode ficar absolutamente tranquilo. "
"7","58","2021-09-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Requerimento de convocação de Bruna Morato, advogada da Prevent Senior, de autoria do Senador Humberto Costa.  2ª PARTE EXTRAPAUTA ITEM 3 REQUERIMENTO Nº 1540, DE 2021 Requer a convocação da Dra. Bruna Morato. Autoria: Senador Humberto Costa  Em discussão.  Em votação.  Está aprovado o requerimento. A Sra. Bruna estará conosco aqui na próxima terça-feira, às 10h da manhã, para falar como advogada dos médicos da Prevent Senior.         Ela se dispôs a vir à CPI. Será um depoimento, com certeza absoluta, o da Dra. Bruna, esclarecedor para todos nós – esclarecedor! Até porque o que ficou muito claro ontem no depoimento do diretor da Prevent Senior é que ele transfere todas as responsabilidades à autonomia médica. Em momento algum ele disse que a direção era responsável por isso. "
"8","58","2021-09-23","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Pela ordem.)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","Pela ordem","Presidente, eu queria fazer um apelo, rapidamente, a V. Exa. Nós estamos, evidentemente, Senador Izalci, Senador Humberto, Senador Randolfe, Senador Omar e outros Srs. e Sras. Senadoras, nos encaminhando para a reta final da Comissão Parlamentar de Inquérito. E há um depoimento em que eu venho insistindo, considero muito importante, que é o depoimento do empresário Luciano Hang. Seria importante para esta relatoria que nós pudéssemos marcar. Eu peço a V. Exa. que nos ajude, juntamente com a Comissão Parlamentar de Inquérito, nesse propósito. Eu considero que o depoimento dele é importante. Ele é um empresário importante no Brasil, membro destacado do gabinete paralelo. Nós temos conversas dele que são absurdas sob qualquer contexto. Então, seria muito importante que nós pudéssemos trazê-lo até o final dos nossos trabalhos. Se V. Exa. pudesse especificar um dia, eu ficaria muito grato e ficaria também muito grato à Comissão Parlamentar de Inquérito. "
"9","58","2021-09-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Em discussão o requerimento do Relator para convocar o Sr. Luciano Hang. Em discussão.  Em votação. Os que o aprovam permaneçam como estão.  Aprovado. O Sr. Luciano Hang estará aqui na próxima quarta-feira, às 10h da manhã. Por favor, comunique ao Sr. Luciano Hang que, na quarta-feira que vem, ele estará aqui para contribuir com a investigação da CPI. Ele, como patriota, um brasileiro que demonstra sê-lo, faz questão, nas suas redes sociais, e que participou ativamente nas discussões sobre tratamento precoce – a gente tem vários vídeos dele participando –, com certeza, ficará muito feliz em vir aqui à CPI contribuir com a investigação para que a gente possa ver o que aconteceu, porque estamos chegando a quase 600 mil mortes. É pessoa que participou ativamente dessas manifestações. Como patriota, e nós também o somos, não é? "
"10","58","2021-09-23","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Sem dúvida, Presidente. "
"11","58","2021-09-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","A gente não veste verde e amarelo, não anda de verde e amarelo, mas também somos patriotas. Eu tenho certeza de que ele vai colaborar muito, o Sr. Luciano Hang, empresário muito conhecido no Brasil. Tenho certeza de que, como brasileiro, como patriota que é, quer realmente que a gente possa investigar as vidas perdidas na covid – infelizmente, quase 600 mil vidas perdidas. A Comissão foi notificada de decisão liminar do Ministro Roberto Barroso, no Habeas Corpus nº 206.773, nos seguintes termos.         O senhor se faz acompanhar pela advogada?   Só o nome da advogada, por favor. "
"12","58","2021-09-23","MARIA JOSÉ FERREIRA PESSOA","","","","","","Maria José Pessoa. "
"13","58","2021-09-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Maria José Pessoa. E você? "
"14","58","2021-09-23","VINICIUS LUIZ FERREIRA","","","","","","Vinicius Luiz Ferreira. "
"15","58","2021-09-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Vinicius Luiz. Diante do exposto, defiro a medida liminar, em parte. O que faço para que a Comissão Parlamentar de Inquérito conceda ao paciente o tratamento próprio à condição de investigado, assegurando-lhe o direito de não assinar termo de compromisso na qualidade de testemunha, bem assim para que o dispense de responder sobre fatos que impliquem autoincriminação e, ainda, para que não sejam adotadas quaisquer medidas restritivas de direitos ou privativas de liberdade, como consequência do uso da titularidade do privilégio contra a autoincriminação. Fica assegurado ao paciente [...] o direito de assistência por advogado e de, com esse, manter comunicação reservada durante o respectivo depoimento perante a referida Comissão Parlamentar [de Inquérito]. O depoente está desobrigado a firmar termo de compromisso, mas pode fazê-lo voluntariamente caso queira. V. Sa. gostaria de prestar esse compromisso quanto aos fatos de que tenha conhecimento na qualidade de testemunha?  Responda, por favor? "
"16","58","2021-09-23","DANILO BERNDT TRENTO","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor.)","(Para depor","Não. "
"17","58","2021-09-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Eu espero que, no nascimento do seu filho, tenha corrido tudo bem, porque era pro senhor vir aqui na semana passada, mas já tinha programado o nascimento. Eu espero que ele seja... Não sei se é homem ou mulher, mas que Deus possa abençoá-lo e que cresça com muita saúde! Sr. Danilo Trento, o senhor tem 15 minutos caso queira falar. Senão, vou passar ao Relator pra começar a fazer... "
"18","58","2021-09-23","JORGINHO MELLO","(Bloco Parlamentar Vanguarda/PL - SC)","Bloco Parlamentar Vanguarda","PL","SC","","Sr. Presidente, pela ordem. "
"19","58","2021-09-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois não, Senador. "
"20","58","2021-09-23","JORGINHO MELLO","(Bloco Parlamentar Vanguarda/PL - SC. Pela ordem.)","Bloco Parlamentar Vanguarda","PL","SC","Pela ordem","Eu só queria fazer um registro e consignar o meu voto contrário à convocação do empresário Luciano Hang. Eu queria que ficasse consignado, por favor. "
"21","58","2021-09-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Pois, não. Voto contrário do Senador Jorginho Mello na convocação do Sr. Luciano Hang. O senhor pode fazer uso da palavra durante 15 minutos se assim desejar. "
"22","58","2021-09-23","DANILO BERNDT TRENTO","","","","","","Não irei utilizar o tempo, Senador. "
"23","58","2021-09-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Eu queria que o senhor falasse alto e no microfone, por favor. "
"24","58","2021-09-23","DANILO BERNDT TRENTO","","","","","","Sim. "
"25","58","2021-09-23","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","O Senador Renan Calheiros, por favor, com a palavra. "
"26","58","2021-09-23","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Como Relator.)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","Como Relator","Já posso iniciar, Presidente? Eu peço pra... Eu vou começar e vou tentar ser sucinto, Senador Humberto, hoje definitivamente, Senador Izalci. Peço, primeiro, pra Izabelle começar exibindo um vídeo pra que nós lembremos por que é que todos nós estamos aqui trabalhando nesta Comissão Parlamentar de Inquérito. Por favor, Izabelle. (Procede-se à exibição de vídeo.) "
"27","58","2021-09-23","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","","Reinicie, por favor, porque não estava parecendo a imagem. Reinicie, por favor, Presidente. (Procede-se à exibição de vídeo.)         "
