"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","64","2021-10-07","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Havendo número regimental, declaro aberta a 64ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia, bem como outras ações e omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se ao depoimento dos Srs. Walter Correa de Souza Neto e Tadeu Frederico de Andrade, em atendimento aos Requerimentos nºs 1.560 e 1.561, ambos de autoria do Senador Humberto Costa.         "
"2","64","2021-10-07","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Presidente, pela ordem. "
"3","64","2021-10-07","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Solicito que os depoentes sejam conduzidos à mesa. Pois não. "
"4","64","2021-10-07","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.)","(PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.)","REDE","AP","Pela ordem","Sr. Presidente, Sr. Relator, queria pedir atenção de V. Exas. e dos colegas membros desta Comissão Parlamentar de Inquérito. Veja, Sr. Presidente, esta CPI tomou a decisão de encaminhar a S. Exa. o Sr. Ministro de Estado da Saúde uma série de questionamentos de autoria, da lavra do Senador Alessandro Vieira, para que inclusive se tornasse desnecessária a vinda do Sr. Ministro de Estado da Saúde a esta Comissão Parlamentar de Inquérito. O Senador Alessandro encaminhou o requerimento que esta CPI aprovou, pedindo as seguintes informações do Sr. Ministro de Estado da Saúde, são elas: o detalhamento do Plano Nacional de Imunizações; o detalhamento do programa de acompanhamento epidemiológico; o apontamento dos membros da equipe técnica responsável pelo acompanhamento do contexto da pandemia; a descrição da atual situação de imunização; e a programação da imunização para o ano que vem. São questionamentos, Sr. Presidente, simples que ainda não chegaram a esta Comissão Parlamentar de Inquérito, embora esta Comissão Parlamentar de Inquérito tenha determinado o prazo de 48 horas – aguardar os senhores depoentes –, embora esta CPI tenha estimado o prazo de 48 horas para a chegada dessas informações. Senhor Presidente, Sr. Relator e colegas membros desta CPI, já se completaram 48 horas, e o Sr. Ministro de Estado da Saúde não respondeu a esses questionamentos! Corrobora um segundo fato, Sr. Presidente, estava prevista para hoje – para hoje –, agora às 9h, uma reunião da Conitec, que é a Comissão Nacional de Incorporação de Tecnologia do Sistema Único de Saúde, para finalmente emitir um parecer técnico sobre o que todo o planeta Terra já sabe: da ineficácia do uso de cloroquina. E o que é que ocorre? O Senhor Presidente da República se irrita com o Ministro Marcelo Queiroga e determina, lá do Palácio do Planalto, a retirada, na pauta da Conitec, desse tema, inclusive subvertendo a equipe técnica, designada pelo próprio Ministro Marcelo Queiroga. Aliás, eu tenho dúvida de quanto tempo o Sr. Marcelo Queiroga ainda ficará no Ministério da Saúde, porque ele está cada vez mais se ""pazuellando"", está cada vez mais parecido com o Pazuello.         E aí tem uma outra circunstância e consequência, Sr. Presidente, Sr. Relator, daqui para duas semanas, acabando esta CPI, o Senhor Presidente da República simplesmente decide... Eu acho que não está bom, mas tem aquela máxima: o que é ruim, às vezes, piora. Eu não duvido de o Presidente da República, daqui a duas, três semanas, terminada a CPI, demitir o Sr. Marcelo Queiroga e botar o Pazuello de volta lá, ou – quem sabe? – ainda Mayra Pinheiro – ou ainda Mayra Pinheiro. A intervenção, o negacionismo continua ocorrendo. Então, diante disso, Sr. Presidente, eu venho requerer a V. Exa. dois encaminhamentos. O primeiro, a apreciação de um requerimento à Conitec para que, no prazo de 48 horas, sejam prestadas as seguintes informações: relação de todos os processos e consultas públicas no âmbito da Conitec, encaminhamento de toda a documentação dos referidos processos e procedimentos, pauta das reuniões agendadas e realizadas. Corroborado isso, Sr. Presidente, eu queria rogar a V. Exa., meu colega Presidente desta Comissão Parlamentar de Inquérito, ao Senador Renan e aos colegas da CPI que não descartemos a vinda ainda do Sr. Marcelo Queiroga a esta CPI – não vamos descartar! Ainda tem duas semanas para terminar. Tem uma semana que estaria para os ajustes finais do Relator. Ainda teria, então, um tempo... Tempo hábil existe, mas eu queria pedir, apelar aqui para que não descartemos, porque nós não podemos terminar esta CPI sem a Conitec dar uma posição clara sobre a ineficácia de cloroquina. Nós não podemos terminar esta Comissão Parlamentar de Inquérito com uma briga de interesses entre Mayra Pinheiro e Marcelo Queiroga no âmbito do Ministério da Saúde e sem nenhuma resposta sobre a vacinação de brasileiros no ano que vem – nenhuma resposta! Enquanto a ciência toda, o planeta se prepara para a vacinação, não tem nenhuma resposta... Nós não podemos terminar esta CPI sem uma resposta sobre a vacinação de adolescentes e crianças. Então, é o primeiro pedido que faço a V. Exa. E um segundo pedido, Sr. Presidente... Aliás, na verdade, é uma comunicação que faço rapidamente ao senhor e ao Sr. Relator. Eu queria pedir que colocassem a foto acima. Esse senhor da foto que está aqui, Sr. Presidente e Sr. Relator, esse senhor da foto que está apresentada para nós é o Sr. Márcio Antônio. Ele foi pai... Ele é pai de uma das vítimas da pandemia. Essa cena correu o planeta. Esse daí foi um dos atos realizados pela ONG Rio da Paz na praia de Copacabana, no Rio de Janeiro. Amanhã, quando, lamentavelmente, pelo que a estatística indica, o Brasil pode vir a completar 600 mil mortos pela pandemia, a ONG Rio da Paz estará na praia de Copacabana levantando 600 lenços brancos. Sr. Relator, Sr. Presidente, acabei de receber um comunicado da ONG Rio da Paz, da coordenação da ONG, de que eles estarão aqui, Sr. Relator. No dia 19, para entregar para esta Comissão Parlamentar de Inquérito os 600 lenços brancos que eles erguerão amanhã na praia de Copacabana. Eu queria requerer também a V. Exa., Sr. Presidente, que nós convidássemos... O Sr. Márcio Antônio se tornou um símbolo, um símbolo contra o negacionismo. No dia em que essas cruzes foram colocadas, fundamentalistas derrubaram as cruzes. Ele colocou uma cruz atrás de outra. Ele se tornou um símbolo dos brasileiros que se resignam e resistem tanto ao negacionismo do Governo quanto insistem em sobreviver diante da pandemia.         Eu acho que esse taxista, o Sr. Márcio Antônio, que deve ser uma das pessoas a serem... É a ele que nós dirigimos o trabalho desses quase cinco meses de Comissão Parlamentar de Inquérito. Eu queria só fazer este registro do ato amanhã da ONG Rio da Paz, e comunicar, Sr. Relator, a presença da ONG do Sr. Márcio Antônio na apresentação do relatório final no dia 19. E, por fim, reitero, Sr. Presidente, que nós não descartemos a possibilidade de esta CPI ainda concluir... desta CPI, antes de concluir, ouvir o Sr. Marcelo Queiroga. Há uma necessidade, há uma emergência diante desses notórios fatos, desses notórios acontecimentos. Existe uma crise no âmbito do Ministério da Saúde enquanto brasileiros ainda morrem, enquanto a pandemia ainda assola as famílias brasileiras. São os termos que faço do requerimento a V. Exa. "
"5","64","2021-10-07","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Senador Humberto; depois o Senador Alessandro. "
"6","64","2021-10-07","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE. Pela ordem.)","Bloco Parlamentar da Resistência Democrática","PT","PE","Pela ordem","Sr. Presidente, Sras. Senadoras, Srs. Senadores, ilustres depoentes, primeiro eu queria aqui registrar a correspondência que recebi da Associação Brasileira de Saúde Coletiva (Abrasco) em que ela nos lembra aqui de que foi, a partir de uma iniciativa sua, da Abrasco, que a Ministra Rosa Weber reavaliou ou avaliou o posicionamento da Procuradoria-Geral da República quanto à relevância do uso das máscaras faciais como medida para a prevenção da covid-19. Todos se lembram de que a Vice-Procuradora, a Sra. Lindora Araújo, apresentou um posicionamento, numa das ações movidas contra o Presidente da República pelo não uso de máscaras, de que não havia comprovação científica de que as máscaras protegessem. A Abrasco contestou essa decisão, e agora a Ministra Rosa Weber, com muita propriedade, determinou que a PGR fizesse um outro parecer levando em consideração aspectos científicos, pesquisas já realizadas, enfim. Queria fazer esse registro. Segundo, quero reforçar aqui a preocupação do Senador Randolfe Rodrigues. Esta matéria que saiu hoje na CBN é muito preocupante: de que o Presidente da República teria pressionado o Ministério da Saúde para retirar de pauta da reunião de hoje da Conitec o parecer emitido por um eminente infectologista de São Paulo, solicitado pela própria Conitec, acerca da utilização da cloroquina ou não; que teria o próprio Presidente interferido diretamente para que essa decisão não fosse tomada hoje. Há uma informação de que realmente foi retirado de pauta, mas há uma contestação entre os integrantes da própria Conitec. E, sem dúvida, a demanda do Senador Randolfe é muito justa. E o outro aspecto da matéria que saiu é de que o que está em jogo hoje no ministério é uma disputa política, que, inclusive, foi parar numa delegacia de polícia. Veja que Governo está administrando o nosso País!         Parece que o Chefe de Gabinete do Sr. Queiroga teria, de alguma forma, cobrado um posicionamento da Sra. Mayra Pinheiro, que, segundo ele, juntamente com o Ministro Onyx Lorenzoni, estaria fazendo uma conspiração para derrubar o Ministro Marcelo Queiroga, e aí a Dra. Mayra teria registrado um boletim de ocorrência no dia 25 de setembro numa delegacia de polícia – posteriormente isso foi para a Polícia Federal –, dizendo que estava sofrendo ameaças, enfim. Então, é como disse o Senador Randolfe, parafraseando o ditado utilizado pelo próprio Presidente da República: não há nada que esteja tão ruim que não possa piorar. O Brasil ardendo em meio a essa pandemia – realmente nós estamos aí muito perto de chegar a 600 mil mortes –, e o Ministério da Saúde envolvido numa disputa intestina de poder, onde, inclusive, o tema cloroquina deve ser uma questão muito importante. É lamentável, realmente é muito triste um país como o Brasil, que já ocupou espaços tão importantes no cenário internacional, se ver hoje administrado por um Governo de uma incompetência, de uma descompostura, de uma absoluta e total... É difícil encontrar aí o substantivo e os adjetivos para qualificar o que é esse Governo Bolsonaro. E, por último, eu queria fazer um registro e sugiro a todos os integrantes dessa Comissão que leiam o Editorial da Folha de S.Paulo de hoje, que analisa o papel do Conselho Federal de Medicina em todos esses episódios relativos à pandemia, em particular em relação à Prevent Senior, em que há uma crítica muito contundente, mas ao mesmo tempo muito bem feita em relação à postura que o nosso órgão de regulamentação profissional adotou. Obrigado, Sr. Presidente. "
"7","64","2021-10-07","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Senador Alessandro, depois o Senador Tasso, que está me pedindo a palavra pela via remota. Senador Alessandro. Depois passarei ao Senador Tasso Jereissati. "
"8","64","2021-10-07","ALESSANDRO VIEIRA","(PDT/CIDADANIA/REDE/CIDADANIA - SE. Pela ordem.)","(PDT/CIDADANIA/REDE/CIDADANIA - SE. Pela ordem.)","CIDADANIA","SE","Pela ordem","Obrigado, Sr. Presidente. De forma muito objetiva, quero pedir a inclusão extrapauta e votação do Requerimento 1.570, que, na linha do que o Senador Randolfe adianta, mas de uma forma um pouco mais objetiva, pede que a Conitec, no prazo de 24 horas, encaminhe pra essa Comissão o parecer que seria votado, uma vez que ele já está redigido e pronto pra análise – então a gente, em 24 horas, precisa receber esse documento – e que aponte as razões pelas quais ocorreu o adiamento da discussão, diante das notícias de interferência política direta do próprio Presidente da República. "
"9","64","2021-10-07","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Subscrevo e apoio. "
"10","64","2021-10-07","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Em votação o requerimento do Senador Alessandro. Em discussão.   Em votação. Aqueles que aprovam permaneçam como estão.  Eu peço que seja imediatamente encaminhado ao Ministério da Saúde, à pessoa, ao órgão competente.... "
"11","64","2021-10-07","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Conitec. "
"12","64","2021-10-07","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","... Conitec, para que possa nos dar essa resposta imediatamente. E além disso, se alguém tiver a informação que também é noticiada, um BO que a Dra. Mayra teria feito... "
"13","64","2021-10-07","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.)","(PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.)","REDE","AP","Pela ordem","Sr. Presidente, nesse sentido, há requerimento também que faço para que seja requisitado à Polícia Civil do Distrito Federal cópia do boletim de ocorrência apresentado pela Sra. Mayra Pinheiro contra o Sr. João Lopes de Araújo Júnior, Chefe de Gabinete do Ministério da Saúde. Não temos nada a ver se tiver alguma relação privada. Tem tudo a ver se ocorreu no âmbito do Ministério da Saúde e no âmbito de conflitos internos do Ministério da Saúde que prejudicam o combate à pandemia no País.  É o requerimento que faço a V. Exa.         É o requerimento que faço a V. Exa. "
"14","64","2021-10-07","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Eu peço que a Polícia Legislativa entre em contato com o Secretário de Segurança do Distrito Federal, para que ele possa no prazo mais rápido nos informar. E, se for um negócio sigiloso, ficará sob sigilo na Comissão Parlamentar de Inquérito. "
"15","64","2021-10-07","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE)","Bloco Parlamentar da Resistência Democrática","PT","PE","","Sr. Presidente... "
"16","64","2021-10-07","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Em votação, o requerimento do Senador Randolfe. Em discussão.  Aqueles que aprovam permaneçam como estão.  Aprovado. Senador Humberto, eu vou passar, primeiro, a palavra ao Senador Tasso. "
"17","64","2021-10-07","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE)","Bloco Parlamentar da Resistência Democrática","PT","PE","","Ah, tá! "
"18","64","2021-10-07","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Senador Tasso, por favor. "
"19","64","2021-10-07","TASSO JEREISSATI","(Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - CE. Pela ordem. Por videoconferência.)","Bloco Parlamentar PODEMOS/PSDB/PSL","PSDB","CE","Pela ordem Por videoconferência","Presidente... Presidente... Presidente Omar... "
"20","64","2021-10-07","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Nós estamos lhe ouvindo, Senador Tasso, estamos lhe ouvindo! "
