"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","65","2021-10-15","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Havendo número regimental, declaro aberta a 65ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos nºs 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública, durante a vigência da calamidade originada pela pandemia do coronavírus. Coloco em votação a Ata da 64ª Reunião, solicitando a dispensa de sua leitura. As Sras. e os Srs. Senadores que a aprovam permaneçam como se encontram.  Aprovada. Os membros da Comissão desejam se manifestar em alguma coisa?  Então, vamos à pauta. Há uma discussão... Temos o requerimento do Senador Randolfe, Requerimento nº 1.578, Requerimento nº 1.579, Requerimento 1.580, Requerimento 1.581, Requerimento 1.582 e Requerimento 1.583. O Requerimento 1.578 convoca o Dr. Carlos Carvalho, que e o coordenador do protocolo do SUS para a covid. O Requerimento 1.579 é para audiência, com o objetivo de ouvir relato de familiares de vítimas da covid. Item 1 e item 2 em discussão.  Em votação. Os que aprovam permaneçam como estão.  Aprovados. Item 3: convocação do representante da Agência Nacional de Saúde Suplementar Carlos Eduardo Menezes de Rezende. É isso, Senador Randolfe?  Tem que ligar seu som, Randolfe.         "
"2","65","2021-10-15","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Está ligado aqui. Está me ouvindo? O senhor me ouve? "
"3","65","2021-10-15","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Nelson Mussolini, do Conselho Nacional de Saúde; Elton da Silva Chaves, representante do Conasems; e Luis Cláudio Lemos Correia, Presidente do Conass. Correto? "
"4","65","2021-10-15","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP. Fora do microfone.)","(PDT/CIDADANIA/REDE/REDE - AP. Fora do microfone.)","REDE","AP","Fora do microfone","Perfeitamente. "
"5","65","2021-10-15","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","O Senador Randolfe acha que a gente não deve levar o Dr. Carlos Carvalho. O Dr. Carlos Carvalho teve uma conversa, primeiramente, com o Senador Randolfe e o Senador Humberto no domingo passado. E eu conversei com ele. O que eu conversei com ele, depois, numa entrevista, ele disse totalmente diferente. Pergunto ao Senador Humberto e ao Senador Randolfe: ele vai apresentar o relatório que apresentaria na reunião da Conitec? "
"6","65","2021-10-15","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Sr. Presidente, o colega Humberto pode completar, porque nós tivemos um contato com o Dr. Carlos Carvalho no sábado. Agora, a impressão que tenho é que o relatório que ele iria apresentar, no dizer do Dr. Carlos Carvalho, como ele está ainda em reserva, não apresentará. É diante disso, Sr. Presidente, colegas Senadores, que, complementarmente, nós apresentamos esse requerimento de convocação dos membros da Conitec que participaram da dita reunião onde foi retirada de pauta a votação do protocolo do enfrentamento da pandemia. Por isso, nós encaminhamos os requerimentos de convocação do representante da ANS, do representante do Conasems, do representante do Conass e do representante do Conselho Nacional de Saúde que, na Conitec, participaram dessa reunião. Não estou dizendo que, propriamente, nós vamos convocar todos eles, mesmo porque V. Exa. já decidiu que nós teremos apenas uma oitiva na segunda-feira a partir das 9h da manhã. Eu encaminhei para apreciação esses requerimentos para a direção da Comissão Parlamentar de Inquérito posteriormente decidir, desses membros da Conitec, quais deles ou qual deles pode ser mais oportuno para o rumo para o qual estão sendo conduzidas as investigações, em substituição ao Dr. Carlos Carvalho. "
"7","65","2021-10-15","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Então, em votação o item 3, o item 4, o item 5 e o item 6... "
"8","65","2021-10-15","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Sem embargo de mais alguma consideração do Senador Humberto. "
"9","65","2021-10-15","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Em votação os requerimentos: item 3, item 4, item 5 e item 6. Em discussão.  Em votação. Os que aprovam permaneçam como estão.  Estão aprovados. Eu peço ao Senador Randolfe que abra um link agora para termos uma reunião, eu e os companheiros que estão aqui, um link nosso, para a gente discutir quem a gente vai levar, porque nós temos que fazer esse convite hoje, essa convocação hoje. "
"10","65","2021-10-15","HUMBERTO COSTA","(Bloco Parlamentar da Resistência Democrática/PT - PE)","Bloco Parlamentar da Resistência Democrática","PT","PE","","Eu queria só perguntar uma coisa, Presidente Omar: o Dr. Carlos, de todo jeito, está convocado ou não? "
