"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","66","2021-10-18","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Havendo número regimental, declaro aberta a 66ª Reunião da Comissão Parlamentar de Inquérito, criada pelos Requerimentos n°s 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais ou municipais no trato com a coisa pública durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se à realização de audiência pública para ouvir o depoimento de vítimas direta e indiretamente atingidas pela covid-19, em atendimento ao requerimento do Senador Randolfe Rodrigues. A reunião será interativa, transmitida ao vivo e aberta à participação dos interessados por meio do Portal e-Cidadania, na internet, em senado.leg.br/ecidadania, ou pelo telefone da ouvidoria. Estão presentes, e eu quero convidá-los: Mayra Pires Lima, enfermeira em Manaus que perdeu a irmã por conta da crise da falta de oxigênio em Manaus – deixou quatro filhos –; Giovanna Gomes Mendes da Silva, órfã da covid, jovem de 19 anos que perdeu a mãe e terá a guarda da irmã, de 10, sendo a nova chefe da família.  Sra. Mayra... É você? Venha cá, Mayra.  Giovanna Gomes Mendes da Silva.  Katia Shirlene Castilho do Santos.          Arquivaldo Leão Leite.   Troque com o Sr. Arquivaldo, por favor. Coloque-o lá na ponta, por favor, porque ele tem dificuldade de locomoção. Sente-se ali, Sr. Arquivaldo, por favor. Rosane Maria dos Santos Brandão.  Cadê a Sra. Rosane? É você?    Sente-se aí por favor. Márcio Antonio Silva. "
"2","66","2021-10-18","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Márcio Antonio, ali. "
"3","66","2021-10-18","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Márcio Antonio do Nascimento Silva. Cadê o Márcio? "
"4","66","2021-10-18","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Aqui o Márcio. "
"5","66","2021-10-18","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Bom dia. Antonio Carlos Alves de Sá Costa, fundador da ONG Rio de Paz. "
"6","66","2021-10-18","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","O Antonio Carlos está aqui. "
"7","66","2021-10-18","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Cadê o Antonio Carlos? "
"8","66","2021-10-18","RANDOLFE RODRIGUES","(PDT/CIDADANIA/REDE/REDE - AP)","(PDT/CIDADANIA/REDE/REDE - AP)","REDE","AP","","Está aqui. "
"9","66","2021-10-18","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Para interpelar.)","PSD","AM","Para interpelar","Sente-se aí, amigo, por favor. Eu vou aqui... A Mayra é da minha cidade, é enfermeira em Manaus. Ela perdeu a irmã por conta da crise de falta de oxigênio de Manaus, que deixou quatro filhos. A Giovanna Gomes Mendes da Silva, órfã da covid, jovem de dezenove anos, perdeu a mãe e terá a guarda da irmã de dez anos, sendo a nova chefe da família. Você é de onde, Giovanna? (Intervenção fora do microfone.) "
"10","66","2021-10-18","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Você é de São Luís do Maranhão. Katia Shirlene Castilho dos Santos, órfã da covid, perdeu pai e mãe. Acompanhou a mãe em sua internação na Prevent Senior, em São Paulo, e o tratamento recebido pelo kit covid. Katia Shirlene, você é de São Paulo? "
"11","66","2021-10-18","KATIA SHIRLENE CASTILHO DOS SANTOS","(Para expor.)","(Para expor.)","(Para expor.)","(Para expor.)","(Para expor","Eu estou representando São Paulo, mas sou de João Pessoa. Meus pais moravam em São Paulo. "
"12","66","2021-10-18","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Para interpelar.)","PSD","AM","Para interpelar","Tá. Arquivaldo Leão Leite, vítima da covid, em tratamento, com graves sequelas. O senhor é de onde, Sr. Arquivaldo? "
"13","66","2021-10-18","ARQUIVALDO BITES LEÃO LEITE","(Para expor.)","(Para expor.)","(Para expor.)","(Para expor.)","(Para expor","Trindade, Goiás. "
"14","66","2021-10-18","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Para interpelar.)","PSD","AM","Para interpelar","O senhor é de Goiás. Rosane Maria dos Santos Brandão, viúva da covid, perdeu o marido, professor da Universidade Federal de Pelotas. "
"15","66","2021-10-18","ROSANE MARIA DOS SANTOS BRANDÃO","(Para expor.)","(Para expor.)","(Para expor.)","(Para expor.)","(Para expor","Sou eu. O meu marido era servidor da Universidade Federal de Pelotas. "
"16","66","2021-10-18","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","E a senhora é gaúcha? "
"17","66","2021-10-18","ROSANE MARIA DOS SANTOS BRANDÃO","","","","","","Sou. "
"18","66","2021-10-18","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Dê um abraço no povo de Cacequi. "
"19","66","2021-10-18","ROSANE MARIA DOS SANTOS BRANDÃO","","","","","","Está certo. "
"20","66","2021-10-18","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Márcio Antonio do Nascimento Silva, vítima indireta da covid, perdeu o filho. Ele é uma pessoa que é conhecida no Brasil. O Márcio, apesar da maldade de alguns, sem respeitar o sofrimento do próximo... Pessoas que abrem a boca para falar em Deus e família não tiveram a consideração de ver o Márcio homenageando o filho dele morto pela covid. Márcio, seja bem-vindo aqui juntamente com todos! Vocês representam hoje aqui para nós, para mim, para o Presidente desta CPI, para o Vice-Presidente, para o Relator, para o Senador Humberto... Para todos os Senadores e Senadoras da CPI, vocês estão aqui representando aquilo que todos nós perdemos: amigos, familiares, perdemos pessoas conhecidas, perdemos boa parte da esperança de muitos brasileiros que infelizmente se levaram nessa covid. E recebo o Antonio Carlos Alves de Sá Costa, fundador da ONG Rio de Paz, que é muito conhecida por todos nós, pelos brasileiros. Prazer tê-lo aqui.         O que nós definimos aqui é que nós vamos abrir para cada um fazer o depoimento e deixar muito à vontade. Seriam dez minutos, mas quem quiser se estender pode – se quiser falar menos, fale menos –, não depende da gente. Vocês fiquem muito à vontade. Vocês estão aqui como... É o que disse o Humberto, o Renan e Randolfe: esta audiência hoje é a causa por que nós estamos fazendo a CPI, é por pessoas como vocês, que tiveram a infelicidade de perder alguém – e nós todos perdemos, de uma forma ou de outra, e perdemos muito. É por isto que esta CPI existe: por pessoas como vocês. O meu Estado sofreu muito com isso. Só nós sabemos o que a gente passou por lá. Mayra, você quer ser a primeira a falar? "
"21","66","2021-10-18","MAYRA PIRES LIMA","","","","","","Bom dia. O senhor que sabe. "
"22","66","2021-10-18","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Eu vou deixar vocês à vontade. Veja bem, não é fácil chegar aqui. Então, eu quero pegar... Primeiro, eu vou fazer o seguinte: o Antonio Carlos é o fundador da ONG Rio. Vou abrir para ele primeiro. Ele é uma pessoa já experiente. Eu só queria que o senhor colocasse a máscara. Aqui não é permitido ficar sem máscara. "
"23","66","2021-10-18","ANTONIO CARLOS ALVES DE SÁ COSTA","","","","","","Eu estava bebendo água. "
"24","66","2021-10-18","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Está bem. Obrigado. Eu vou passar para a pessoa... Depois, vocês vão ficando mais à vontade, vou passar a palavra para todos. Pode ser assim, Randolfe?  Pode ser assim, Renan? "
"25","66","2021-10-18","RENAN CALHEIROS","(Bloco Parlamentar Unidos pelo Brasil/MDB - AL. Fora do microfone.)","Bloco Parlamentar Unidos pelo Brasil","MDB","AL","Fora do microfone","Pode. "
"26","66","2021-10-18","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Então, querido Antonio Carlos, com a palavra. Fique à vontade, por favor. "
