"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","67","2021-10-19","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Havendo número regimental, declaro aberta a 67ª Reunião da Comissão, criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar ações e omissões do Governo Federal no enfrentamento da pandemia, bem como outras ações e omissões cometidas por administradores públicos federais, estaduais e municipais no trato com a coisa pública, durante a vigência da calamidade. A reunião destina-se ao depoimento de Elton da Silva Chaves, representante do Conselho Nacional de Secretarias Municipais de Saúde junto à Comissão Nacional de Incorporação de Tecnologias no Sistema Único de Saúde, em atendimento ao requerimento de Randolfe Rodrigues. Peço para o nosso depoente ser encaminhado à Mesa. "
"2","67","2021-10-19","IZALCI LUCAS","(Bloco Parlamentar PODEMOS/PSDB/PSL/PSDB - DF. Pela ordem.)","Bloco Parlamentar PODEMOS/PSDB/PSL","PSDB","DF","Pela ordem","Presidente, uma questão de ordem, por favor. Presidente, quero primeiro agradecer; como não membro da Comissão, agradecer a V. Exa. e a todos os membros pela participação que tive, mas gostaria de entregar ao Relator um complemento de voto relacionado aqui às ações do GDF. Então, Senador Renan, já protocolei e vou entregar oficialmente a V. Exa. "
"3","67","2021-10-19","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA. Pela ordem.)","(PDT/CIDADANIA/REDE/CIDADANIA - MA. Pela ordem.)","CIDADANIA","MA","Pela ordem","Pela ordem, Presidente. Eu queria cumprimentar o Senador Renan Calheiros por ter admitido as contribuições que nós fizemos em relação às mulheres.         Nós tivemos um encaminhamento de um capítulo designado às mulheres e, nesse capítulo, nós fazemos exatamente um levantamento da situação das mulheres na pandemia no Brasil, da quantidade de mulheres, inclusive, que vieram a óbito, muitas delas grávidas e algumas delas deixando realmente aí milhares de crianças órfãs no Brasil. Nós temos novos órfãos no Brasil fruto da pandemia; são números realmente preocupantes que requerem do Congresso Nacional uma resposta em relação a essas crianças e adolescentes. E, dentre esses encaminhamentos, nós pedimos, por exemplo – e aí, destacando, inclusive, a atuação feminina aqui na CPI, quero cumprimentar o Presidente Omar, que, de forma imediata, naquele momento até de forma unilateral pelo respeito que ele tem às mulheres, deu o direito à voz às mulheres aqui nesta Comissão –, nós, então, fizemos alguns dos encaminhamentos que o Senador Renan admite no relatório. Eu vou destacar apenas alguns, entre os quais aqui o projeto de resolução, Senador Renan, que já está tramitando na Casa e que estabelece que, em sendo montada uma Comissão pelos Líderes do Senado Federal e nenhuma mulher tendo sido indicada, então a Bancada Feminina indicará uma mulher. Não queremos um direito a mais: queremos simplesmente a garantia de que a mulher participará das Comissões. A outra é um projeto de lei criando, na verdade, o Fundo de Amparo às Crianças Órfãs pela Covid-19, que é o Facovid – e aí destacando que, inclusive, o Maranhão foi o primeiro Estado brasileiro a adotar essa ajuda emergencial, pelo Governador Flávio Dino –, e, em nível nacional, nós indicamos a fonte no projeto de lei que é destinada através de um percentual das casas lotéricas, não é? E a segunda proposta que eu queria destacar dentre as várias que nós apresentamos, a última que eu quero destacar aqui nesta minha fala, é exatamente a alteração na Lei de Registros Públicos que o Dr. Márcio Thadeu, Promotor de Justiça da área da infância e da juventude, estabeleceu no Estado do Maranhão, em que, no falecimento, tanto do homem quanto da mulher, haverá o registro se eles deixam órfãos, ou seja, crianças menores de 17 anos. Isso facilita, Senador Renan, o encaminhamento dessas informações à rede municipal de criança e adolescente, pra que elas, na verdade, possam ser contempladas e amparadas nesses programas. Além dos vários outros que nós faremos o destaque aí no dia da discussão do relatório que será lido por V. Exa. amanhã. Muito obrigada, Presidente. "
"4","67","2021-10-19","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Senadora Eliziane, ontem talvez um dos depoimentos mais chocantes, que eu digo, que mais penalizou aqui a todos os Senadores que estavam presentes – e principalmente ao jovem que traduz e ficou emocionado – foi o depoimento da jovem Giovanna, do Maranhão... "
"5","67","2021-10-19","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","CIDADANIA","MA","","Exatamente. "
"6","67","2021-10-19","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","... de 19 anos. Uma menina que perdeu o pai e a mãe pra covid, que tem uma irmã de 10 anos e que se torna prematuramente mãe – mãe e irmã. A vida a colocou numa situação dessa, e o depoimento dela ontem nos chocou.         Assim olhando para aquela jovem, a gente olha para várias outras jovens também que tiveram esse destino. E foi muito, muito emocionante aquele depoimento da sua conterrânea, a Giovanna. E acho que ela representa essas crianças que você disse agora... "
"7","67","2021-10-19","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","CIDADANIA","MA","","Exatamente. "
"8","67","2021-10-19","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","... de uma forma bastante clara, sem subterfúgios, porque querem colocar narrativas de que não, de que está tudo bem. Uma pena. Uma pena que algumas pessoas ainda defendem tratamentos que não servem absolutamente para nada, e pessoas que defendem um governo que é responsável por tudo isso não estiveram aqui ontem para ver ao vivo o depoimento dessa menina. Foi um depoimento com que todos nós aqui, sem exceção, ficamos muito consternados, e dizer que a gente torce muito para que a adolescência dela não se torne a maturidade apressada que nós não queremos do jovem, e que ela possa ter um final feliz com a irmã, e que ela possa fazer dessa tarefa que ela vai ter de ser mãe e irmã um exemplo para todos os brasileiros e brasileiras, para que nós não permitamos mais que tantos órfãos que deixaram essa covid... Nós não podemos punir quem são os responsáveis. E são muitos os responsáveis. Inclusive pessoas que claramente, de forma bem descarada, eu diria, promoveram aglomerações, desrespeitaram a ciência, vendo, e não se comovem com um relato feito por essa jovem. Não se comovem. Parece que não aconteceu nada. Então, aqui para deixar claro, eu estava tendo uma conversa agora com o Senador Tasso – nós teremos hoje uma reunião na sua casa, Senador Tasso –, deixar claro que o relatório desta CPI será para pedir a punição dos verdadeiros responsáveis por esse morticínio que aconteceu no Brasil. Não adianta tapar o sol com a peneira, não adianta vir com narrativas, não adianta fazer com que as pessoas pensem que alguém é melhor do que o outro aqui não. Ontem, eu vi o xeique Duduzinho Bolsonaro lá, travestido de xeique árabe, enquanto, Duduzinho Bolsonaro, milhões de brasileiros estão passando fome. Esse tipo de acinte. Você deveria ser exemplo, mais do que ninguém! Duduzinho Bolsonaro, o xeique do Brasil, deveria ser exemplo para os brasileiros num momento de tanta tristeza, de tanto sofrimento, de tantas mortes, de pessoas passando fome. A pandemia, Senador Humberto, está diminuindo, mas tem uma pandemia que já está sendo vivenciada nos bairros, nos becos, nas ruas, nas cidades brasileiras, que é a pandemia da fome e da miséria. E nós não temos o direito, nenhum Parlamentar tem o direito de publicar fotos em que estão numa boa enquanto esses brasileiros estão passando necessidade, Senador Randolfe. É uma falta de respeito!         Isso vem de berço, essa falta de respeito. E nós não vamos nos permitir não punir, não é? Agora, a fake news é o xeique fazendo propaganda de Dubai. (Intervenção fora do microfone.) "
"9","67","2021-10-19","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","O xeique, o xeique Duduzinho fazendo propaganda de Dubai, não é? Deveria ir para um bairro, uma cidade, pra ver as pessoas passando fome, não ir pra Dubai. Sr. Elton... "
"10","67","2021-10-19","ELIZIANE GAMA","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","(PDT/CIDADANIA/REDE/CIDADANIA - MA)","CIDADANIA","MA","","Só para... Só um dado, Sr. Presidente... "
