"","reuniao","data","nome","funcao_blocoPar","BlocoParl","partido","estado","complemento","fala"
"1","68","2021-10-20","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM. Fala da Presidência.)","PSD","AM","Fala da Presidência","Bom dia, Srs. Senadores; bom dia, Senadoras. Havendo número regimental, declaro aberta a 68ª Reunião da Comissão Parlamentar de Inquérito, criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais ou municipais no trato com a coisa pública durante a vigência da calamidade originada pela pandemia do coronavírus. A presente reunião destina-se à apresentação do relatório final pelo Senador Renan Calheiros.  Ontem o Senador Marcos Rogério me fez uma questão de ordem. Na reunião anterior foi apresentada uma questão de ordem pelo Senador Marcos Rogério a respeito dos procedimentos a serem adotados na apresentação e apreciação do relatório final. Solicitou esclarecimento sobre: o tempo destinado à leitura de votos em separado; o procedimento relativo a eventuais requerimentos de destaque para votação em separado; e o quórum e modalidade da votação. O quórum é a maioria simples, e a votação também será por maioria simples, a partir da votação do relatório. Esse será o quórum da votação. Na data de hoje será exclusivamente lido o relatório do Senador Renan Calheiros. Os possíveis destaques serão lidos na terça-feira, dia 26... (Intervenção fora do microfone.) "
"2","68","2021-10-20","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Sim, V. Exa. perguntou isso. Eu estou respondendo a sua questão de ordem.  V. Exa. falou em destaques, eu estou dizendo em substitutivo ou... "
"3","68","2021-10-20","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","É porque voto em separado e destaque são coisas diferentes, Presidente. "
"4","68","2021-10-20","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Sim, sim, sim. O voto em separado é um novo, um outro relatório paralelo. Destaques, não vai haver destaques. Em relação ao relatório do Senador Renan, não há destaques a serem votados.         "
"5","68","2021-10-20","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Ou concorda 100% com o relatório e vota a favor ou discorda e vota contra? "
"6","68","2021-10-20","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Sim. "
"7","68","2021-10-20","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Não pode aperfeiçoar com destaque aditivo ou supressivo? "
"8","68","2021-10-20","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Não. Não há precedente na CPI sobre isso. "
"9","68","2021-10-20","MARCOS ROGÉRIO","(Bloco Parlamentar Vanguarda/DEM - RO)","Bloco Parlamentar Vanguarda","DEM","RO","","Não? "
"10","68","2021-10-20","Omar Aziz","PRESIDENTE","(Omar Aziz. PSD - AM)","PSD","AM","","Segundo a informação que eu tenho da Secretaria. Não se utiliza esse artifício em CPIs. "
