"","data","reuniao_dia","Depoente.tema","link_notaTaquigrafica"
"1","2021-09-14",53,"Oitiva - Marcos Tolentino da Silva",NA
"2","2021-09-03",53,"Oitiva Francisco Araújo Filho",NA
"3","2021-09-02",52,"1ª PARTE - Oitiva Francisco Araújo Filho, 2ª PARTE - Deliberativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10191"
"4","2021-09-01",51,"1ª PARTE - Oitiva Ivanildo Gonçalves da Silva, 2ª PARTE - Deliberativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10190"
"5","2021-08-31",50,"1ª PARTE - Oitiva Ivanildo Gonçalves da Silva, 2ª PARTE - Oitiva Andreia Lima, 3ª PARTE - Deliberativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10189"
"6","2021-08-26",49,"1ª PARTE - Oitiva José Ricardo Santana, 2ª PARTE - Deliberativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10177"
"7","2021-08-25",48,"1ª PARTE - Oitiva Roberto Pereira Ramos Júnior, 2ª PARTE - Deliberativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10176"
"8","2021-08-24",47,"Oitiva Emanuel Catori","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10175"
"9","2021-08-19",46,"1ª PARTE - Deliberativa, 2ª PARTE - Oitiva Francisco Emerson Maximiano.","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10157"
"10","2021-08-18",45,"Oitiva de Túlio Silveira","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10156"
"11","2021-08-17",44,"1ª PARTE - Oitiva - Alexandre Figueiredo Costa Silva Marques, 2ª PARTE - Deliberativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10155"
"12","2021-08-12",43,"Oitiva - Ricardo Barros","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10139"
"13","2021-08-11",42,"1ª PARTE - Oitiva - Jailton Batista, 2ª PARTE - Deliberativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10138"
"14","2021-08-10",41,"Oitiva - Helcio Bruno de Almeida","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10137"
"15","2021-08-05",40,"1ª PARTE - Oitiva - Airton Antônio Soligo, 2ª PARTE - Deliberativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10113"
"16","2021-08-04",39,"Oitiva - Marcelo Blanco","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10112"
"17","2021-08-03",38,"1ª PARTE - Deliberativa, 2ª PARTE - Oitiva - Amilton de Paula","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10111"
"18","2021-07-15",37,"1ª PARTE - Deliberativa, 2ª PARTE - Oitiva - Cristiano Carvalho","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10095"
"19","2021-07-14",36,"1ª PARTE - Oitiva - Emanuela Medrades, 2ª PARTE - Oitiva - Francisco Maximiano","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10094"
"20","2021-07-13",35,"1ª PARTE - Oitiva - Emanuela Medrades, 2ª PARTE - Deliberativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10093"
"21","2021-07-09",34,"Oitiva - William Amorim Santana","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10091"
"22","2021-07-08",33,"Oitiva","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10088"
"23","2021-07-07",32,"1ª PARTE - Deliberativa, 2ª PARTE - Oitiva - Roberto Ferreira Dias","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10079"
"24","2021-07-06",31,"Oitiva","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10078"
"25","2021-07-02",31,"Deliberativa",NA
"26","2021-07-01",30,"Oitiva - Luiz Paulo Dominguetti Pereira","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10068"
"27","2021-06-30",29,"1ª PARTE - Pedidos de substituição de convocados, 2ª PARTE - Deliberativa, 3ª PARTE - Oitiva","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10067"
"28","2021-06-29",28,"1ª PARTE - Deliberativa, 2ª PARTE - Oitiva","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10066"
"29","2021-06-25",27,"Oitiva","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10054"
"30","2021-06-24",26,"Oitiva","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10053"
"31","2021-06-23",25,"Deliberativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10052"
"32","2021-06-22",24,"1ª PARTE - Deliberativa, 2ª PARTE - Oitiva","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10051"
"33","2021-06-18",23,"1ª PARTE - Deliberativa, 2ª PARTE - Audiência Pública Interativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10045"
"34","2021-06-17",22,"1ª PARTE - Oitiva - Carlos Wizard, 2ª PARTE - Oitiva - Alexandre Marques","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10043"
"35","2021-06-16",21,"1ª PARTE - Reclassificação de documentos, 2ª PARTE - Deliberativa, 3ª PARTE - Oitiva","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10042"
"36","2021-06-15",20,"Oitiva","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10041"
"37","2021-06-11",19,"Audiência Pública Interativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10033"
"38","2021-06-10",18,"1ª PARTE - Deliberativa, 2ª PARTE - Oitiva","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10032"
"39","2021-06-09",17,"1ª PARTE - Deliberativa, 2ª PARTE - Oitiva","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10031"
"40","2021-06-08",16,"1ª PARTE - Deliberativa, 2ª PARTE - Oitiva","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10030"
"41","2021-06-02",15,"1ª PARTE - Oitiva, 2ª PARTE - Deliberativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10022"
"42","2021-06-02",15,"Audiência Pública Interativa",NA
"43","2021-06-01",14,"1ª PARTE - Oitiva, 2ª PARTE - Deliberativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10018"
"44","2021-05-27",13,"Oitiva","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10007"
"45","2021-05-26",12,"Deliberativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/10005"
"46","2021-05-25",11,"Oitiva","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9999"
"47","2021-05-20",10,"1ª PARTE - Deliberativa, 2ª PARTE - Oitiva","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9998"
"48","2021-05-20",11,"1ª PARTE - Oitiva, 2ª PARTE - Deliberativa",NA
"49","2021-05-19",10,"Oitiva","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9996"
"50","2021-05-18",9,"1ª PARTE - Oitiva, 2ª PARTE - Deliberativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9995"
"51","2021-05-13",8,"1ª PARTE - Oitiva, 2ª PARTE - Deliberativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9987"
"52","2021-05-12",7,"Oitiva","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9985"
"53","2021-05-11",6,"Oitiva","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9984"
"54","2021-05-06",5,"1ª PARTE - Oitiva, 2ª PARTE - Oitiva, 3ª PARTE - Deliberativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9975"
"55","2021-05-05",4,"1ª PARTE - Oitiva, 2ª PARTE - Deliberativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9973"
"56","2021-05-04",3,"1ª PARTE - Oitiva, 2ª PARTE - Oitiva, 3ª PARTE - Deliberativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9972"
"57","2021-04-29",2,"Deliberativa","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9968"
"58","2021-04-27",1,"Instalação e Eleição","http://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/9956"
